Uniprot,Gene
A0A024QYW7,PIM2
A0A024QZ12,NLK
A0A024QZ20,MAPK7
A0A024QZA8,EPHA2
A0A024QZP7,CDK1
A0A024QZV1,PLK2
A0A024R048,FLJ30596
A0A024R0L5,GSK3A
A0A024R1D8,ADRBK2
A0A024R230,NTRK2
A0A024R244,SYK
A0A024R273,SYK
A0A024R2A0,ROR2
A0A024R2W7,MAPKAPK3
A0A024R328,PRKCD
A0A024R3C7,ATM
A0A024R495,DGKD
A0A024R4H1,PIK3CD
A0A024R567,MAP4K2
A0A024R5E6,MAP3K11
A0A024R5W3,hCG_2004507
A0A024R5X5,MAP2K5
A0A024R5Y2,MAP2K5
A0A024R5Z9,PKM2
A0A024R603,DAPK2
A0A024R604,hCG_2004507
A0A024R609,PKM2
A0A024R6N2,CDC42BPB
A0A024R720,PIK3CG
A0A024R728,MET
A0A024R759,MET
A0A024R7E4,TYK2
A0A024R7J0,PRKACA
A0A024R7M7,JAK3
A0A024R7P8,FGFR4
A0A024R7Q5,TSSK6
A0A024R7S1,FGFR4
A0A024R7S5,RET
A0A024R7T1,RET
A0A024R7T2,RET
A0A024R807,SGK3
A0A024R880,CDK9
A0A024R8A6,NEK6
A0A024R8E2,ABL1
A0A024R8K3,MAP2K6
A0A024R8N6,TK1
A0A024R8R3,CDK3
A0A024R996,PCTK3
A0A024R9Q5,LTK
A0A024RA53,STK17A
A0A024RAY5,MAP3K12
A0A024RB10,CDK2
A0A024RB23,DGKA
A0A024RB77,CDK2
A0A024RBB6,CDK4
A0A024RBQ3,CAMKK2
A0A024RBU5,PRKX
A0A024RBY6,GK
A0A024RC92,FES
A0A024RD18,STK38
A0A024RD25,PIM1
A0A024RDL4,hCG_18830
A0A059VC25,FAK
A0A087WSY1,MUSK
A0A087WUH9,PLK2
A0A087WV00,DGKI
A0A087WV31,PIK3C2G
A0A087WVC4,PRKACB
A0A087WY58,NEK3
A0A087WZL3,ALK
A0A087WZT9,PSKH1
A0A087X203,NEK3
A0A090N7W4,CDK5
A0A097F6U9,ALK
A0A097ZMP4,CUX1-RETc
A0A097ZMP6,CUX1-RETa
A0A0A0MR25,FGFR2
A0A0A0MRJ0,CDC42BPA
A0A0A0MSE1,ERBB4
A0A0A0N0M2,JAK1
A0A0B4J1S8,PI4KB
A0A0B4J1T8,EPHA6
A0A0B4J2B1,PIK3C3
A0A0B4J2F2,SIK1B
A0A0C4DFZ9,PAN3
A0A0C4DGC9,STK35
A0A0C4DGF9,PIK3C2A
A0A0D9SFP6,NTRK3
A0A0D9SFR6,DGKH
A0A0G2JM58,CSNK2B
A0A0G2JR38,PANK4
A0A0J9YXB6,GRK1
A0A0K2YUJ3,ALK
A0A0P0IT07,ERBB4
A0A0S2Z2Y3,ACVR1
A0A0S2Z2Y4,ACVRL1
A0A0S2Z310,ACVRL1
A0A0S2Z345,ACVR1
A0A0S2Z392,ADRBK1
A0A0S2Z3F9,CDK7
A0A0S2Z3I6,ADRBK1
A0A0S2Z3Q6,FGFR1
A0A0S2Z3T3,LCK
A0A0S2Z3T4,FGFR1
A0A0S2Z3T9,FGFR1
A0A0S2Z3Y4,LCK
A0A0S2Z3Y8,LCK
A0A0S2Z485,JAK3
A0A0S2Z4D1,STK11
A0A0S2Z4H5,TGFBR2
A0A0S2Z535,CDK20
A0A0S2Z539,TGFBR2
A0A0S2Z557,CDK20
A0A0S2Z562,CDK20
A0A0S2Z566,CDK20
A0A0S2Z5B6,CDK20
A0A0S2Z601,UCK1
A0A0U1RQT7,CSNK1G1
A0A0U1RQY7,CSNK1G1
A0A0U1RR14,CSNK1G1
A0A0U2N547,KIT
A0A0U4CQG9,AKT2
A0A140VJJ0,EPHA3
A0A140VJM3,PRKG2
A0A140VJW0,STK32C
A0A140VK84,FN3KRP
A0A140VK93,AK2
A0A141AXF0,FGFR2
A0A141AXF1,FGFR2
A0A141AXF2,FGFR2
A0A141AXF3,FGFR2
A0A141AXF4,FGFR2
A0A141AXF5,FGFR2
A0A141AXF6,FGFR2
A0A141AXF7,FGFR2
A0A141AXF8,FGFR2
A0A169TED2,PRKCA
A0A1B0GTR9,JAK2
A0A1B0GTX4,CDKL5
A0A1B0GUS4,UBE2L5
A0A1B0GWC2,MVK
A0A1B0RPQ4,FGFR1
A0A1G4P1I6,NDEL1-PDGFRB
A0A1S5UZ27,PRKD3
A0A2D3C335,SEC61G-EGFR
A0A2D3C337,SEC61G-EGFR
A0A2H4FYY8,CCDC6-RET
A0A2K8FKQ1,PIK3CD
A0A2K8FKR1,PIK3CD
A0A2K8FKT1,PIK3CD
A0A2K8FKV1,PIK3CD
A0A2P0XI22,PIK3CA
A0A2P9A9X3,glpK
A0A2P9AE50,eryA
A0A2P9AEA1,xylB
A0A2P9AEW8,rbsK
A0A2P9AFA7,BQ8482_111736
A0A2P9AGZ6,rbsK
A0A2P9AIB7,BQ8482_180080
A0A2P9AMH4,tdk
A0A2P9ANK3,BQ8482_310055
A0A2P9AQA5,rbsK
A0A2P9AQQ5,pyk
A0A2P9AQR0,pgk
A0A2P9AVP9,adk
A0A2P9AWP5,rbsK
A0A2P9DU05,ROCK2
A0A2R8Y2F6,PIK3CA
A0A2R8Y443,DYRK1A
A0A2R8Y492,BRAF
A0A2R8Y4D6,CSNK2A1
A0A2R8Y4H0,CSNK2A1
A0A2R8Y4U5,MYLK4
A0A2R8Y5A0,CSNK2A1
A0A2R8Y644,CDK13
A0A2R8YD28,CDK13
A0A2R8YD58,CSNK2A1
A0A2R8YDP2,CSNK2A1
A0A2R8YDY7,CSNK2A1
A0A2R8YFJ4,TRRAP
A0A2R8YFU2,CSNK2A1
A0AVT1,UBA6
A0JLT6,PRKD2
A0ZT98,TSSK1
A0ZT99,TSSK2
A1L167,UBE2QL1
A1L4F5,ROR2
A1L4Q0,DGKE
A2PYH4,HFM1
A2RTX5,TARS3
A2RUF7,PIK3C2B
A2VCQ3,ROR1
A3KFJ0,AURKA
A3KMH1,VWA8
A3QNQ0,TGFBR2
A4D150,LOC402468
A4D151,LOC402468
A4QPA9,MAP2K1
A4QPH2,PI4KAP2
A5YM72,CARNS1
A6NCM1,IQCA1L
A6NDB9,PALM3
A6NHR9,SMCHD1
A6NHV6,PKMYT1
A6NIT2,PHKA1
A6NM43,CCT8L1P
A6NMB9,FIGNL2
A6NMN0,PHKA1
A6NNM8,TTLL13
A6P4T4,ALK
A6P4T4,EML4
A6P4V4,ALK
A6P4V4,EML4
A6PVC2,TTLL8
A6PVV8,PI4KB
A7E2E0,PIK3CD
A7E2Y1,MYH7B
A8K161,CAMK2A
A8K3Y2,MAP2K6
A8K6P8,CCRK
A8K7I0,CLK2
A8MPP1,DDX11L8
A8MPP7,SRPK3
A8MT37,GSK3A
A8MTF1,PI4KA
A8MYT4,PIK3C3
A9UEZ6,BCR/ABL
A9UF02,BCR/ABL
A9UF07,BCR/ABL
A9YLN4,CD74/ROS
A9YLN5,SLC34A2/ROS
A9YLN6,SLC34A2/ROS1
A9YLN7,EML4/ALK
B0I1T2,MYO1G
B0LPE5,AKT1
B0QY34,CSNK1E
B0QY35,CSNK1E
B0QY36,CSNK1E
B0YIY3,CAMK1
B0YJ89,RIOK3
B1AKC9,EPHB2
B1AKP8,MTOR
B1AKQ2,MTOR
B1APF7,PRKACB
B1APF8,PRKACB
B1APF9,PRKACB
B1APG0,PRKACB
B1APG1,PRKACB
B1APG2,PRKACB
B1APG3,PRKACB
B1AVT0,CLK2
B2R6Q4,CSK
B2R6S5,CMPK1
B2RB89,PRKACB
B2RDU6,MVK
B2RTY4,MYO9A
B4DDH2,STK33
B4DFY5,MAP2K1
B4DGX8,RET
B4DNK4,PKM
B4DTR1,ERBB2
B4DUJ4,CSNK2B
B4DY26,TGFBR1
B4E1Q4,RIOK3
B5BU16,MAP2K6
B5BU32,TK1
B5BU41,CAMK1
B5BU52,CSK
B5BU53,CDK9
B5BU64,MKNK1
B5BU77,PRKCH
B5BUC0,GSK3B
B5BUF9,TK1
B5BUG9,BMPR1A
B5BUH5,CSNK2A1
B5BUJ6,MKNK1
B5BUJ8,MAPKAPK3
B5BUK7,PRKCI
B5MBY2,DGKB
B5MCD5,DGKB
B6D4Y1,ALK
B6D4Y2,ALK
B6D4Y3,ALK
B6D4Y5,ALK
B6D4Y6,ALK
B6D4Y7,ALK
B6D4Y8,ALK
B7Z7U4,NTRK3
B7Z8V7,NADK2
B7Z9H7,STK32A
B7ZA25,PRKG2
B7ZC32,KIF28P
B7ZKJ3,EPHA5
B7ZKW7,EPHA5
B7ZL31,CLK4
B7ZL83,DGKB
B7ZLY6,PIK3C2G
B7ZM44,PIK3CD
B7ZM86,PIK3C2B
B9EG64,CLK4
B9EGA7,CDC42BPA
B9EIS4,GRK1
C1PHA0,EML4-ALK
C1PHA1,EML4-ALK
C1PHA2,KIF5B-ALK
C7DUW4,MAP2K3
C9IYV2,CAMK1G
C9J1X3,TNK2
C9J319,STK33
C9J345,PIK3CB
C9J5X1,IGF1R
C9J8E1,MAPKAPK3
C9JAM9,PIK3CA
C9JB09,PNCK
C9JDA4,STK36
C9JJ18,PNCK
C9JUK9,MAPK7
C9JXA2,EPHA3
C9JYX0,PIK3CB
D1MAM0,ALK
D1MAM1,ALK
D1MAM2,ALK
D1MAM3,ALK
D1MAM4,ALK
D1MAM5,ALK
D2CGD1,FGFR2
D2JYI1,TGFBR2
D3DNT9,EPHB3
D3DPA4,ACVR1
D3DRD3,FGFR2
D3DRD4,FGFR2
D3DRD5,FGFR2
D3DRD6,FGFR2
D3DSX2,FGFR1
D3DW67,hCG_40815
D6R938,CAMK2D
D6REE7,ROCK2
D6RHC7,GRK6
D6RHX8,GRK6
D9ZGF8,ROCK1
E3WH17,SQSTM1-ALK
E5RGN0,CDK16
E5RI85,MOK
E5RIU6,CDK1
E7BSV0,EGFR
E7EM72,DGKI
E7EN07,ACVRL1
E7ENM8,FES
E7ESA6,PTK2
E7ESI2,CDK2
E7EU09,FGFR1
E7EU96,CSNK2A1
E7EVR7,FGFR2
E7EWQ4,DGKI
E9PBE1,PRKCZ
E9PBE8,CAMK2B
E9PBK7,MAPK3
E9PD35,FLT4
E9PDN7,PIK3CG
E9PEI4,PTK2
E9PF63,ROCK2
E9PFD7,EGFR
E9PFX6,DGKI
E9PG71,EPHA4
E9PGT3,RPS6KA1
E9PHX8,MERTK
E9PIA0,MKNK1
