,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Parthenolide
0,P49327,FASN,1.145664678465687,0.9588206228533525,1.1312442385726307,1.1333236241014877,1.1468952188409087,1.1468952188409087,0.9588206228533525,1.1468952188409087,1.1312442385726307,1.0693869697691984,1.1173398011754705,1.0429479468475573,1.145664678465687,1.1312442385726307,1.1269179630177388
1,Q09666,AHNAK,1.0306625187563914,0.9729203420832396,1.0460426614817144,1.0830131605355964,1.0649596355283601,1.054857069128652,1.0543959247259416,1.0678909692156244,1.051501634594306,1.048921925624337,1.0678909692156244,1.054857069128652,1.0543959247259416,1.027833376223563,1.054857069128652
2,Q14204,DYNC1H1,1.0530062605819586,1.0559337717053194,1.0279816513761468,1.037188164951233,1.0055651303184063,1.0280643383076742,1.0530062605819586,1.0055651303184063,1.0474248927038627,1.0279816513761468,1.0280643383076742,1.0603949285348662,0.9945456599885474,1.0559337717053194,1.0054842529919796
3,P08238,HSP90AB1,1.1610618263722594,1.0286792810736474,0.9721202889945306,1.1838304948305232,1.0613173993455685,1.1373661892235825,1.1286494310119815,1.1473392339498216,1.0531834779722102,1.1473392339498216,1.1373661892235825,1.1023893837691034,1.1610618263722594,1.0531834779722102,1.1286494310119815
4,P06733,ENO1,1.2043983120190496,0.9836441317256165,1.1240102069433529,1.0798131820647427,1.023653760261475,1.0872757862994051,1.2063179766293706,1.2816694094824812,1.023653760261475,1.2043983120190496,1.0872757862994051,1.0798131820647427,1.2063179766293706,1.0166278308860444,1.2063179766293706
5,P12270,TPR,1.0207076993511743,1.0359477946435953,1.0359477946435953,0.9886593891558724,1.0313361537549108,1.0262713622479274,1.02625723826332,1.02625723826332,1.0313361537549108,1.02625723826332,1.0313361537549108,1.065975277378372,1.0164624437023964,1.0114706955383395,1.0164624437023964
6,P11142,HSPA8,1.1111447419108622,0.9619815880696767,1.0475196358403147,1.1026602095531146,1.0403487758333672,1.103538332332385,1.1937576716107932,1.1122705096701178,1.0403487758333672,1.1415990926862183,1.103538332332385,1.1026602095531146,1.1122705096701178,1.03952093512165,1.1415990926862183
7,P14618,PKM,1.1912145443926756,1.01028827324041,1.0935760089083437,1.0975953152580022,1.0558175421418423,1.1470591302670103,1.2207744633587367,1.1642397332241756,1.0558175421418423,1.1912145443926756,1.1470591302670103,1.0975953152580022,1.1912145443926756,0.9898164974167113,1.1880806063466156
8,P07900,HSP90AA1,1.1024059718278525,1.0671058201221677,0.9681387026163095,1.147145245061841,1.0873898897893732,1.0525439037228441,1.0860520372126938,1.099909470945735,1.0860520372126938,1.0646622882572494,1.0873898897893732,1.0329098478323282,1.1024059718278525,1.0860520372126938,1.0512489233419466
9,P35579,MYH9,1.0162035605424746,1.040511110129434,1.0924843505567448,1.0599828126835944,1.0792413619911483,1.0792413619911483,1.05751866413394,0.9840548083360141,1.0853375602765638,1.047362724742678,1.0924843505567448,1.1727601770339668,1.0924843505567448,1.0853375602765638,1.1030778198372966
10,Q7Z6Z7,HUWE1,1.027906277973571,1.046857883304434,1.027906277973571,1.0344444719359667,1.0244083480756623,1.0367013252039137,1.0130924137240296,0.9989217779233258,1.0367013252039137,1.0259406944644411,1.0367013252039137,1.046857883304434,1.0010793858943747,1.04919905601913,1.0010793858943747
11,P04075,ALDOA,1.0819543668250338,1.0313645238300166,1.044516219632074,1.0683312804270044,1.0214053390471618,1.0580151328523668,1.1044647779928443,1.1188245644905859,1.0214053390471618,1.1431110329051557,1.0683312804270044,1.0683312804270044,1.1044647779928443,0.9790432473486674,1.1188245644905859
