Accession,# PSMs,Gene Symbol,Abundances_Pool_0,Abundances_Pool_1,Abundances_Pool_2,Abundances_Pool_3,Abundances_Pool_4,Abundances_Pool_5,Abundances_Pool_6,Abundances_Pool_7,Abundances_Pool_8
P49327,500,FASN,78784.6,79874.6,78483.3,88187.2,71409.7,80930.3,79788.9,74476.6,69644.2
Q09666,271,AHNAK,41852.4,44693.8,44129.0,43135.7,41967.6,45326.7,43899.9,44148.3,47367.4
Q14204,278,DYNC1H1,53635.1,52219.5,53202.9,55686.1,53486.4,50794.0,51930.5,52215.3,53861.7
P08238,685,HSP90AB1,98385.2,111900.0,111042.4,126845.5,112881.2,116471.4,114231.3,105435.0,108458.8
P06733,628,ENO1,108769.0,118261.9,131210.0,117450.2,145460.3,139405.9,131001.2,129856.0,115529.2
P12270,269,TPR,57642.0,57385.4,56557.8,55641.8,57102.8,55916.4,57074.3,60377.5,59605.5
P11142,419,HSPA8,83587.4,92241.9,99783.1,92168.5,107337.5,92971.8,92877.7,95423.3,88664.4
P14618,414,PKM,76708.6,87989.3,93643.9,83337.6,99614.0,89307.2,91376.4,91136.0,84195.0
P07900,600,HSP90AA1,33436.8,35193.7,35150.4,40086.1,35598.9,37127.7,35679.7,32365.3,34537.2
P35579,239,MYH9,47108.1,46843.5,47878.1,46007.6,43404.1,45274.0,47418.3,58233.4,50902.6
Q7Z6Z7,200,HUWE1,33521.7,33122.4,32368.1,33847.4,32333.2,31949.8,32841.4,32778.6,33446.9
P04075,579,ALDOA,85245.0,90190.5,94150.1,88300.4,97444.5,95374.2,92231.2,98894.4,91069.9
P78371,324,CCT2,44192.3,50376.2,52172.7,51799.5,52827.0,56020.8,52153.5,50649.3,50163.9
P18206,258,VCL,61306.4,58152.0,57433.9,54647.2,56992.7,56589.2,56695.8,61173.8,60040.6
P13639,411,EEF2,87748.3,98352.9,104900.1,95540.9,105067.3,102983.9,101884.3,103537.7,93937.2
P04406,490,GAPDH,81515.8,86295.2,92398.7,80384.6,102112.9,91531.7,87052.4,92669.4,83239.6
P35580,200,MYH10,23672.2,26233.8,31200.9,26925.9,23214.9,23939.4,23211.0,40845.6,28145.9
P38646,310,HSPA9,55859.1,62894.3,65802.5,61610.9,68553.1,65717.8,64745.5,67657.5,63984.8
Q9UM54,199,MYO6,40045.7,41647.2,42379.4,38972.4,42781.1,38147.2,40650.1,42719.2,40865.6
Q99832,325,CCT7,55177.7,53694.8,57313.4,54431.6,60212.1,55590.3,55856.8,53650.6,53080.6
P60709,492,ACTB,74920.0,75150.9,81881.5,73572.1,90514.5,83679.9,79889.1,81161.7,74185.2
Q9Y490,181,TLN1,24344.6,22038.8,21036.2,23033.3,21913.3,21961.8,21721.6,17652.1,21156.1
P48643,287,CCT5,60918.9,70478.8,72379.1,71446.6,72950.9,73696.8,72385.9,70602.0,69822.2
P26038,298,MSN,57434.0,62206.4,64201.6,61281.3,65241.4,66736.0,63016.0,65868.7,60612.4
P49368,219,CCT3,50196.0,51437.1,54392.0,52269.5,55807.1,53348.8,53608.6,51432.1,49922.9
P34932,224,HSPA4,43568.3,41672.6,39929.8,40989.5,40188.4,41236.6,40117.4,40623.6,40388.6
P0DMV9,226,HSPA1B,28055.2,30359.6,31193.7,31496.1,32624.3,32059.6,30711.8,31730.1,30537.7
O00410,196,IPO5,35551.8,37842.9,39118.3,36047.6,39925.8,36264.7,38988.2,40324.5,37036.9
Q5T4S7,152,UBR4,20169.4,20530.2,19061.0,23698.2,18729.4,19216.1,19290.6,16581.7,19737.9
P49321,196,NASP,32764.2,39398.4,40997.2,37886.4,40971.5,37587.1,39472.3,42807.3,39667.2
Q15075,168,EEA1,35038.3,35058.9,34691.4,33618.0,34723.7,33795.6,35716.0,37601.9,37883.7
P00558,343,PGK1,74387.1,82100.3,85098.4,77414.5,90958.3,84440.4,82023.3,86453.7,80699.2
P10809,243,HSPD1,30499.0,33760.7,35236.5,37537.7,35144.6,38120.8,34252.0,30893.4,34187.9
Q14315,184,FLNC,33471.3,31147.9,31043.9,30746.8,30707.8,30293.3,30623.0,30773.0,31259.3
P46821,139,MAP1B,21270.0,24672.4,24500.5,25450.6,23416.8,23555.3,24722.0,24402.5,25344.8
O43707,190,ACTN4,31451.7,30843.3,31668.5,29348.5,31912.7,29313.0,30760.2,31956.1,31141.6
P50990,299,CCT8,54996.9,55918.4,56421.7,56001.3,56309.0,55268.1,55697.2,56106.8,55788.4
Q16531,190,DDB1,44628.7,46268.8,47238.0,44496.8,47567.3,44562.8,46435.3,47257.8,45322.6
P50395,230,GDI2,52173.4,54651.6,56906.4,53747.4,60444.0,56573.6,56309.6,58321.8,53798.3
Q92945,163,KHSRP,28412.9,29728.5,27684.9,28528.8,26376.1,32233.5,31067.7,31933.7,31483.0
