,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Parthenolide
0,P49327,FASN,0.0,0.0,0.0,0.0,0.0,0.016613193145095097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039732615953825906,0.0
1,Q09666,AHNAK,0.0,0.0,0.0,0.006108407699057725,0.0,0.0,0.0,0.0,0.0,0.0,0.02458025980091045,0.0,0.0,0.0,0.0
2,Q14204,DYNC1H1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008989074617257623,0.0,0.01946405414623393,0.0
3,P08238,HSP90AB1,0.06409967201327445,0.0,0.0,0.04927947770124781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,P06733,ENO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005765565708169551,0.0,0.023184417001551,0.0,0.0,0.0,0.0,0.0
5,P12270,TPR,0.0,0.0,0.008922666914235853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014749115355414306,0.0,0.0,0.0
6,P11142,HSPA8,0.0,0.0,0.0,0.0,0.0,0.0,0.022467515918094656,0.0,0.0,0.02372920409469193,0.0,0.0,0.0,0.0,0.0
7,P14618,PKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0024074971889317953,0.0,0.0,0.041869035537514594,0.0,0.0,0.0,0.0,0.0
8,P07900,HSP90AA1,0.055979128556642596,0.0,0.0,0.06283459007325058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,P35579,MYH9,0.0,0.0,0.021685204888997063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055781435430060665,0.0,0.0,0.0
10,Q7Z6Z7,HUWE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00990523259986506,0.0,0.004505890191903313,0.0
11,P04075,ALDOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042284584205807094,0.0,0.0,0.0,0.0,0.0416476095233254
12,P78371,CCT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017215047851003647,0.0,0.0,0.0,0.0,0.03323574195350411,0.0,0.0
13,P18206,VCL,0.0,0.017492097406792508,0.027212210294498197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,P13639,EEF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020858091126525424,0.0,0.0,0.0,0.0,0.023224420878008703
15,P04406,GAPDH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019204602075798778,0.0,0.03441725877857461,0.0,0.0,0.0,0.0,0.0
16,P35580,MYH10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10149798191353619,0.0,0.0,0.13451244604471996
17,P38646,HSPA9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028579086621425397,0.0,0.0,0.0,0.0,0.009791461505573699
18,Q9UM54,MYO6,0.0,0.0,0.0,0.0,0.0,0.0,0.012142369173332723,0.0,0.0,0.023962368086322565,0.0,0.0,0.0,0.0,0.0
19,Q99832,CCT7,0.013280911126535129,0.0,0.0,0.0,0.0,0.0,0.013720807595821456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,P60709,ACTB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016801345053640206,0.0,0.03886447057233809,0.0,0.0,0.0,0.0,0.0
21,Q9Y490,TLN1,0.0,0.0,0.0,0.0,0.031080757188580062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031857389708128694,0.0
22,P48643,CCT5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031086383377105804,0.0,0.0,0.0,0.0,0.016692005456536436,0.0,0.0
23,P26038,MSN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001084883455206298,0.0,0.0,0.0,0.0,0.0,0.0,0.029784273791549416
