ID	ATP.binding
Q9BRS2	yes
Q99570	yes
Q9BVS4	yes
P60891	yes
P11908	yes
P53041	yes
Q13546	yes
Q9BXM7	yes
Q16512	yes
Q9NYY3	yes
P17980	yes
P62333	yes
Q15257	yes
P43686	yes
Q13523	yes
Q92620	yes
Q96S44	yes
P21108	yes
Q15835	yes
P35998	yes
P12081	yes
P29597	yes
P41252	yes
O94804	yes
Q15831	yes
Q9UH65	yes
Q496M5	yes
Q9ULI2	yes
O15067	yes
Q6J9G0	yes
Q5JPH6	yes
Q6IBS0	yes
Q9Y285	yes
O95363	yes
Q9UBP0	yes
P49589	yes
Q9HA77	yes
Q9BXA7	yes
Q96PF2	yes
Q5TCY1	yes
Q6IQ55	yes
A6NNM8	yes
Q9BWV7	yes
Q14679	yes
Q6ZT98	yes
A6PVC2	yes
Q8NG68	yes
Q12792	yes
Q6ZRS2	yes
P12931	yes
Q9UEE5	yes
Q8WU08	yes
Q86UX6	yes
O00506	yes
Q9C0K7	yes
Q9NRP7	yes
Q15477	yes
O94768	yes
Q9Y2H1	yes
Q9BXU1	yes
Q7RTN6	yes
Q96I99	yes
Q96PN8	yes
Q9BXA6	yes
Q9UNY4	yes
P33981	yes
Q9Y4R7	yes
Q6EMB2	yes
Q8N841	yes
Q3SXZ7	yes
Q9H6E5	yes
P49588	yes
Q6SA08	yes
Q8N2I9	yes
Q13043	yes
Q9Y6E0	yes
Q9BYT3	yes
Q8TDR2	yes
Q08AF3	yes
O00442	yes
Q96T60	yes
O43353	yes
Q13882	yes
P53350	yes
Q969G6	yes
Q8IXN7	yes
P07949	yes
Q9NRF8	yes
O43502	yes
O75943	yes
Q92878	yes
P11498	yes
Q13308	yes
O14730	yes
P62195	yes
P62191	yes
P17812	yes
P04049	yes
Q06609	yes
Q8IYM2	yes
Q68D06	yes
P0C7P3	yes
A6NHR9	yes
Q96Q15	yes
Q9H4L7	yes
Q6IEE8	yes
Q499Z3	yes
Q9HBY8	yes
Q01974	yes
Q13950	yes
P34925	yes
Q9Y2P5	yes
Q9H015	yes
Q9UBT2	yes
P0C263	yes
Q01196	yes
P21817	yes
Q9NZ71	yes
Q9Y3I0	yes
Q13761	yes
O76082	yes
Q9Y230	yes
Q9Y265	yes
Q6P3W7	yes
Q52WX2	yes
Q9UQE7	yes
Q8NDV3	yes
O95347	yes
P28370	yes
O14975	yes
Q5K4L6	yes
Q9NZC9	yes
Q8IWB6	yes
Q96KG9	yes
Q15569	yes
Q96S53	yes
P0C264	yes
Q9H2G2	yes
Q9Y572	yes
P57078	yes
P23921	yes
Q01973	yes
Q13464	yes
Q04912	yes
P08922	yes
Q9Y6S9	yes
Q05823	yes
O75116	yes
Q9H477	yes
Q92698	yes
O15315	yes
P46063	yes
O94761	yes
O94762	yes
O75771	yes
Q9Y620	yes
P35250	yes
P51606	yes
Q9NZN4	yes
O00311	yes
Q8IZL9	yes
Q00537	yes
Q8N884	yes
Q96M86	yes
Q8WW22	yes
A5YM72	yes
P07333	yes
Q9HBU6	yes
P00533	yes
Q9H4M9	yes
Q9NZN3	yes
Q9H223	yes
P11802	yes
Q9H8M5	yes
Q14565	yes
Q09013	yes
P49336	yes
Q9BWU1	yes
P50613	yes
P06493	yes
Q14004	yes
Q00535	yes
Q00534	yes
O76039	yes
P61604	yes
P14625	yes
P04626	yes
Q16875	yes
Q16877	yes
Q8IXL6	yes
O75879	yes
P57058	yes
Q8IVS8	yes
O14976	yes
Q6PIY7	yes
P60842	yes
Q02790	yes
Q05932	yes
P36888	yes
P19447	yes
P49841	yes
P22413	yes
P54756	yes
Q5JZY3	yes
P29323	yes
Q05397	yes
Q9BX63	yes
O75355	yes
P29317	yes
Q96L91	yes
Q15375	yes
P29322	yes
P16452	yes
Q14296	yes
P22607	yes
Q6PIW4	yes
A6NMB9	yes
P54764	yes
Q14289	yes
Q5H9U9	yes
O14757	yes
Q9P1U1	yes
Q6ZW61	yes
Q96D53	yes
Q9UIG0	yes
Q9Y276	yes
O14646	yes
Q12873	yes
Q14839	yes
Q8TDI0	yes
O96017	yes
Q8TAM1	yes
O14874	yes
Q13873	yes
P36894	yes
P54132	yes
Q06187	yes
P11021	yes
Q13075	yes
P51451	yes
O14981	yes
P11586	yes
P50747	yes
P16591	yes
P11362	yes
Q8IYD8	yes
Q9BVA6	yes
P22455	yes
Q8NFF5	yes
P07332	yes
Q5HY92	yes
Q8NFZ0	yes
P21802	yes
P09769	yes
P42685	yes
Q8N568	yes
O00238	yes
Q8TDC3	yes
Q00975	yes
Q9C098	yes
P33076	yes
Q6UB35	yes
P15056	yes
Q8IWQ3	yes
P51813	yes
Q9NSY1	yes
Q8NCB2	yes
O43683	yes
Q14692	yes
O60566	yes
O15075	yes
Q5RIA9	yes
Q4V339	yes
P21127	yes
Q9BRT8	yes
Q8IUF1	yes
Q5JTY5	yes
P50750	yes
Q15131	yes
Q92772	yes
P24941	yes
Q5MAI5	yes
O94921	yes
Q00536	yes
Q9NYV4	yes
Q00532	yes
Q8IVW4	yes
Q96Q40	yes
Q07002	yes
Q9UQ88	yes
Q9UMR2	yes
Q92499	yes
Q92841	yes
Q9H0S4	yes
Q16760	yes
P00367	yes
Q9NXZ2	yes
Q9BQ39	yes
P17844	yes
Q08345	yes
Q8N8A6	yes
Q8TDD1	yes
A8MPP1	yes
P53355	yes
O43293	yes
O43237	yes
Q5D0E6	yes
Q9NUU7	yes
Q8WVC6	yes
Q7L014	yes
Q9NR30	yes
Q9NQI0	yes
Q92771	yes
Q86XP3	yes
O95786	yes
Q96GQ7	yes
Q9H8H2	yes
Q8NHQ9	yes
Q9UHI6	yes
Q9BUQ8	yes
Q96FC9	yes
Q9H0R6	yes
Q9NQX3	yes
Q12905	yes
O75351	yes
O43542	yes
Q96TA2	yes
P43403	yes
P07947	yes
O43543	yes
O75191	yes
Q5FWF4	yes
Q9H6S0	yes
P21281	yes
Q96C45	yes
P49459	yes
Q9C0C9	yes
Q8IYT8	yes
Q9NWZ5	yes
Q9UKE5	yes
P63146	yes
P62256	yes
P61088	yes
P17948	yes
O43314	yes
P38606	yes
Q15904	yes
P15313	yes
Q8TAS1	yes
O75385	yes
Q6PHR2	yes
Q86Y07	yes
Q6PFW1	yes
Q9UN37	yes
Q99986	yes
P30291	yes
P35916	yes
Q8IV63	yes
Q96J92	yes
Q9Y3S1	yes
Q96S55	yes
O43615	yes
Q3LXA3	yes
Q9NXH8	yes
P51668	yes
P62837	yes
P61077	yes
Q9Y2X8	yes
Q5T160	yes
Q59H18	yes
Q8WZ42	yes
Q13470	yes
Q03519	yes
P50990	yes
P42680	yes
P37173	yes
Q9UHD2	yes
P50991	yes
P35590	yes
Q14191	yes
Q02763	yes
Q8TEA7	yes
A6NM43	yes
Q9UKI8	yes
Q86UE8	yes
P11388	yes
P49591	yes
Q7L7X3	yes
Q9H2K8	yes
P40227	yes
Q13569	yes
Q587J7	yes
Q9NWX6	yes
P36897	yes
Q9H4A3	yes
Q9BYP7	yes
Q92526	yes
Q99832	yes
P48643	yes
P26639	yes
P54577	yes
P23381	yes
Q9BZX2	yes
Q96SF2	yes
A2RTX5	yes
Q9Y2Z4	yes
P21675	yes
P13984	yes
Q9UL54	yes
P78371	yes
P17987	yes
P26640	yes
Q9HA47	yes
P30530	yes
Q5ST30	yes
Q9UGM6	yes
Q03518	yes
Q8NDG6	yes
P49368	yes
P35249	yes
P35251	yes
Q92900	yes
P40937	yes
O94955	yes
P0C1S8	yes
P35968	yes
A3KMH1	yes
O75063	yes
P12956	yes
P13010	yes
Q9UEW8	yes
Q13188	yes
O75716	yes
Q8NE28	yes
Q9P289	yes
Q9P2R7	yes
P14868	yes
Q6PI48	yes
Q6ZVT0	yes
Q8NHH1	yes
Q14166	yes
O95922	yes
P07814	yes
A1L167	yes
P17600	yes
O14994	yes
O43776	yes
P51965	yes
Q96LR5	yes
P62253	yes
P68036	yes
Q7Z7E8	yes
Q8WVN8	yes
P22314	yes
Q8TBC4	yes
P61081	yes
P63279	yes
P54136	yes
Q9NSD9	yes
P42681	yes
P49590	yes
Q06418	yes
Q9P2J5	yes
Q15031	yes
Q92777	yes
O14647	yes
Q9P2D1	yes
P10809	yes
Q86WJ1	yes
Q8TD26	yes
Q9HCK8	yes
Q3L8U1	yes
P25098	yes
Q9Y4B4	yes
P16066	yes
Q8NFD2	yes
P35626	yes
P06576	yes
Q13057	yes
O14983	yes
O43520	yes
O60423	yes
Q9NVI7	yes
Q5T9A4	yes
Q5EBM0	yes
Q5T2N8	yes
P51790	yes
P51793	yes
P51795	yes
P51797	yes
P49759	yes
P49761	yes
Q92989	yes
O43861	yes
P25705	yes
Q9UQB9	yes
P46100	yes
Q13535	yes
O14965	yes
Q96GD4	yes
P27037	yes
Q13705	yes
P11274	yes
Q8NI60	yes
O60306	yes
P10398	yes
Q9HD20	yes
Q9NQ11	yes
P20020	yes
Q16720	yes
Q8NBU5	yes
Q6PL18	yes
P35670	yes
O76031	yes
P61160	yes
P50993	yes
P13637	yes
Q13733	yes
P23634	yes
Q9ULI0	yes
P51798	yes
Q13315	yes
P49760	yes
Q9HAZ1	yes
P20648	yes
Q9H078	yes
Q04656	yes
O75110	yes
O60312	yes
O94823	yes
Q9P241	yes
P54707	yes
Q9H7F0	yes
Q01814	yes
P98194	yes
Q96QE3	yes
O75185	yes
Q9Y2Q0	yes
Q8TF62	yes
P61221	yes
Q13131	yes
Q8IZY2	yes
Q9H221	yes
Q9NUT2	yes
P45844	yes
Q5FVE4	yes
P62736	yes
P60709	yes
P00519	yes
P54646	yes
Q9UGJ0	yes
Q2M3G0	yes
Q9UG63	yes
Q9BZC7	yes
P78363	yes
Q07912	yes
Q9UGI9	yes
Q9BTE6	yes
Q9NP78	yes
Q8WWZ7	yes
O14678	yes
O00763	yes
P42684	yes
P28288	yes
Q8NE71	yes
O14727	yes
Q9UM73	yes
Q96L96	yes
P31751	yes
Q8NER5	yes
Q4L235	yes
Q08AH1	yes
Q8WYK0	yes
Q68CK6	yes
Q86TW2	yes
P40145	yes
Q53H12	yes
O95342	yes
Q9H172	yes
Q86UK0	yes
Q86UQ4	yes
P33897	yes
Q96GR2	yes
Q08828	yes
Q4G176	yes
Q53FZ2	yes
Q6NUN0	yes
P68133	yes
P37023	yes
Q09428	yes
P54619	yes
Q99758	yes
P53396	yes
Q9BYX7	yes
O60266	yes
Q96PN6	yes
Q9H222	yes
O75027	yes
Q9NRK6	yes
O60488	yes
Q9ULC5	yes
Q9H6R3	yes
Q9Y243	yes
Q9NUB1	yes
Q08462	yes
P55263	yes
P20594	yes
Q9NR19	yes
Q8WV93	yes
P51828	yes
Q96QP1	yes
Q16671	yes
Q96CM8	yes
P36896	yes
Q04771	yes
P42025	yes
Q9UKU0	yes
P63267	yes
P33121	yes
P68032	yes
P61163	yes
Q08AH3	yes
P0C7M7	yes
Q9Y4W6	yes
Q562R1	yes
P63261	yes
Q6P461	yes
O60503	yes
O43306	yes
P31749	yes
O95573	yes
O95622	yes
Q8NB90	yes
Q86TB3	yes
Q8NFM4	yes
Q7Z695	yes
Q9UBJ2	yes
Q13085	yes
O95477	yes
Q9NUQ8	yes
Q8WWZ4	yes
Q9NP58	yes
Q86V21	yes
Q8IUA7	yes
Q4W5N1	yes
O60706	yes
Q2M2I8	yes
Q9UNQ0	yes
Q8N139	yes
O94911	yes
Q96J66	yes
Q9H981	yes
Q9Y2G3	yes
P16615	yes
Q93084	yes
Q9NTI2	yes
P98198	yes
Q9Y259	yes
P61158	yes
Q9C0K3	yes
Q9UHD1	yes
Q8N3C0	yes
P00966	yes
P05023	yes
P98196	yes
Q8NB49	yes
Q4VNC1	yes
Q4VNC0	yes
P35790	yes
O43681	yes
P08243	yes
P22234	yes
P22102	yes
P27708	yes
Q9HCE1	yes
P45985	yes
O14733	yes
Q9Y5S2	yes
O15381	yes
P06737	yes
Q9Y2K2	yes
P57059	yes
Q9UHJ6	yes
Q149N8	yes
O00141	yes
Q96BR1	yes
Q9NY93	yes
Q16854	yes
O43716	yes
Q6ZR08	yes
Q0VDD8	yes
Q9P2D7	yes
Q8TD57	yes
Q8WXX0	yes
Q96JB1	yes
Q9NR20	yes
Q9BQI3	yes
Q9NZJ5	yes
P49961	yes
P51530	yes
P31689	yes
O60884	yes
Q96EY1	yes
P52429	yes
O00418	yes
Q13206	yes
