,Group 0,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9,Group 10,Group 11
0,Cinolazepam,Reserpine,2'deoxy-Thymidine-5'-Diphospho-Alpha-D-Glucose,Nortriptyline,Ketamine,Spirapril,Cilazapril,Brigatinib,Tetrafluoroaluminate Ion,Ketazolam,Moexipril,Tolazoline
1,Mesalazine,Carbamazepine,1-Naphthoxyacetic acid,Celiprolol,Etorphine,2-(3-NITROPHENYL)ACETIC ACID,Allylestrenol,N-{(4S)-4-Amino-5-[(2-aminoethyl)amino]pentyl}-N'-nitroguanidine,Moricizine,Treprostinil,4-bromo-3-hydroxy-3-methyl butyl diphosphate,"6-METHYL-2(PROPANE-1-SULFONYL)-2H-THIENO[3,2-D][1,2,3]DIAZABORININ-1-OL"
2,Glyphosate,N-[3-(N'-HYDROXYCARBOXAMIDO)-2-(2-METHYLPROPYL)-PROPANOYL]-O-TYROSINE-N-METHYLAMIDE,Epicaptopril,1(R)-1-Acetamido-2-(3-Carboxyphenyl)Ethyl Boronic Acid,Ubiquinone Q2,Glutamine hydroxamate,beta-D-Ribopyranose,Metyrapone,"2-amino-3-[4-hydroxy-6-oxo-3-(2-phenyl-cyclopropylimino)-cyclohexa-1,4-dienyl]-propionic acid","Bishydroxy[2h-1-Benzopyran-2-One,1,2-Benzopyrone]",Propyl Gallate,Bepridil
3,"N-[(2S,4S,6R)-2-(dihydroxymethyl)-4-hydroxy-3,3-dimethyl-7-oxo-4lambda~4~-thia-1-azabicyclo[3.2.0]hept-6-yl]-2-phenylacetamide",Phenolphthalein,"2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium",Phenytoin,Tazobactam,"2,3-DIPHENYL-N-(2-PIPERAZIN-1-YLETHYL)FURO[2,3-B]PYRIDIN-4-AMINE",Mianserin,Nelotanserin,Nitrous acid,Ripretinib,Neramexane,Talbutal
4,Arginine,Phenylalanine,2-(6-methylpyridin-2-yl)-N-pyridin-4-ylquinazolin-4-amine,Myristic acid,"N-cyclopropyl-2',6-dimethyl-4'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-3-carboxamide",Apatorsen,Ethyl loflazepate,Encainide,Haloperidol,Dabrafenib,Brexanolone,Cromoglicic acid
5,Stanolone,S-Methyl glutathione,Isosorbide mononitrate,2-[4-chloro-2-(phenylcarbonyl)phenoxy]-N-phenylacetamide,"2-Acetamido-2-Deoxy-D-Glucono-1,5-Lactone",Sinapoyl coenzyme A,"4-(2,2,2-TRIFLUOROETHYL)-L-PHENYLALANINE",Dextroamphetamine,"2-[2-(1,3-Dioxo-1,3-Dihydro-2h-Isoindol-2-Yl)Ethyl]-4-(4'-Ethoxy-1,1'-Biphenyl-4-Yl)-4-Oxobutanoic Acid",Nedocromil,Blonanserin,Lurasidone
6,Remoxipride,Guanine,Beta-3-Serine,Paromomycin,4-hydroxybenzoic acid,Sri-9662,Cholic Acid,Danazol,Tramadol,Hexadecanal,"3,3',5,5'-tetrachlorobiphenyl-4,4'-diol","2,3-diphenyl-1H-indole-7-carboxylic acid"
7,AP-22408,Glycerin,Custirsen,"Adenosine 3',5'-diphosphate","5-[(3R)-3-(5-methoxybiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine",GC-376 free acid,Methylumbelliferyl sialic acid,6-CHLORO-4-(CYCLOHEXYLOXY)-3-PROPYLQUINOLIN-2(1H)-ONE,Lacidipine,"1-Ethyl-Pyrrolidine-2,5-Dione",LY-294002,3-Methylcytosine
8,"3-Hydroxymethyl-5-Aziridinyl-1methyl-2-[1h-Indole-4,7-Dione]-Propanol",Norelgestromin,Norgestimate,2-HYDROXY-5-{[(1E)-2-PHENYLETHYLIDENE]AMINO}-L-TYROSINE,7-Nitroindazole,AR-AO-14418,S-Hydroxycysteine,Baloxavir marboxil,Apomorphine,Lonidamine,OSI-930,TAS-108
9,Sucralfate,Oxazepam acetate,Amoxapine,8-(Pyrimidin-2-Ylamino)Naphthalene-2-Carboximidamide,Mezlocillin,Dipyrromethane Cofactor,Testosterone,Butabarbital,Elinogrel,Antimonous acid,Pimavanserin,Phthalic Acid
10,S-2-(Boronoethyl)-L-Cysteine,"5-{4-[(3,5-DIFLUOROBENZYL)AMINO]PHENYL}-6-ETHYLPYRIMIDINE-2,4-DIAMINE",Acetylsalicylic acid,"1,2-dihexadecanoyl-sn-glycero-3-phosphoethanolamine","4-[3-Methylsulfanylanilino]-6,7-Dimethoxyquinazoline",Rescinnamine,6-amino-1-methyl-7H-purin-1-ium,Risperidone,Capravirine,3-isobutyl-1-methyl-7H-xanthine,Porphyrin Fe(III),Gemfibrozil
11,"(2E,4R,5S)-2,3,4,5-TETRAHYDROXY-6-(PALMITOYLOXY)HEX-2-ENOIC ACID",Bacampicillin,Phosphonothreonine,N(G)-Iminoethylornithine,Ergotamine,Cefotaxime,N-BENZYLOXYCARBONYL-ALA-PRO-3-AMINO-4-PHENYL-BUTAN-2-OL,"2-(2,6-DIFLUOROPHENOXY)-N-(2-FLUOROPHENYL)-9-ISOPROPYL-9H-PURIN-8-AMINE",Chlordiazepoxide,4-Morpholin-4-Yl-Piperidine-1-Carboxylic Acid [1-(3-Benzenesulfonyl-1-Propyl-Allylcarbamoyl)-2-Phenylethyl]-Amide,SD-0006,Cyclo(prolylglycyl)
12,"ALPHA-(2,6-DICHLOROPHENYL)-ALPHA-(2-ACETYL-5-METHYLANILINO)ACETAMIDE",Felodipine,1-METHYL ETHYL 2-CHLORO-5-[[[(1-METHYLETHOXY)THIOOXO]METHYL]AMINO]-BENZOATE,"2-(4-ETHYLPIPERAZIN-1-YL)-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE",Dexfosfoserine,Fluoxymesterone,Oxcarbazepine,Pipotiazine,Zinc acetate,Uridine-5'-Diphosphate,Methylphenobarbital,Remimazolam
13,Cefotetan,Epicept NP-1,Heptyl 1-Thiohexopyranoside,Tasimelteon,Clonazepam,"Heptane-1,2,3-Triol",11-MERCAPTOUNDECANOIC ACID,Segesterone acetate,1-hydroxy-2-isopropylguanidine,GLYCYLALANYL-N-2-NAPHTHYL-L-PROLINEAMIDE,Dipraglurant,Ocaperidone
14,Fluticasone furoate,"(3AS,4R,9BR)-4-(4-HYDROXYPHENYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-9-OL",Enalapril,Triazolam,"5,8-Di-Amino-1,4-Dihydroxy-Anthraquinone",5-N-Allyl-arginine,Procainamide,Pentazocine,"(1S,2R,3S,4R,5R)-2,3,4-trihydroxy-N-octyl-6-oxa-8-azabicyclo[3.2.1]octane-8-carbothioamide",Emodin,Estradiol valerate,Zonisamide
