Accession,logFC,-logPval,-logAdjPval,"Abundances (Normalized): F9: 126, Sample","Abundances (Normalized): F9: 127N, Sample","Abundances (Normalized): F9: 127C, Sample","Abundances (Normalized): F9: 128N, Sample","Abundances (Normalized): F9: 128C, Sample","Abundances (Normalized): F9: 129N, Sample","Abundances (Normalized): F9: 129C, Sample","Abundances (Normalized): F9: 130N, Sample","Abundances (Normalized): F9: 130C, Sample","Abundances (Normalized): F9: 131N, Sample"
P52564,1.2925,12.2764,8.6292,1443.1,1384.1,1466.3,1410.3,1458.1,3483.8,3687.4,3426.9,3528.0,3419.6
Q00535,1.2852,12.0377,8.6292,3876.2,3778.5,3791.9,3726.8,3839.1,8760.7,9498.6,9648.7,9045.2,9408.2
Q10713,0.7605,11.3896,8.1571,6373.4,6395.0,6416.2,6361.0,6551.7,10669.0,10854.1,11094.3,10903.8,10854.9
Q9Y2H1,1.0023,10.8819,7.7744,1168.3,1214.4,1235.2,1189.8,1236.3,2466.4,2430.2,2279.7,2502.1,2432.0
Q13557,0.7683,10.2981,7.2874,8257.8,7997.6,7894.7,7975.6,7986.4,12942.6,13885.4,13769.1,13849.9,13893.4
P36507,0.988,10.1338,7.2436,10062.4,9615.9,9298.5,9543.6,9503.4,17749.7,19963.0,18757.9,19234.0,19592.4
Q00526,1.3399,10.1081,7.2436,490.6,428.9,478.1,456.1,481.8,1076.7,1167.2,1245.0,1193.6,1230.4
Q13043,1.0821,9.9213,7.1147,3374.2,3590.2,3282.2,3419.5,3398.6,6545.7,7420.7,7506.2,7329.8,7354.8
Q9Y6E0,0.8334,9.6169,6.9073,2004.5,1993.3,1865.2,1879.6,1933.5,3432.2,3453.9,3322.9,3669.9,3365.6
Q02750,0.883,9.618,6.9073,7886.5,7723.8,7851.7,8035.9,8042.0,13832.5,15270.6,14128.8,14206.1,15551.7
Q05513,0.9551,9.5673,6.899,195.1,187.1,189.0,193.4,174.5,346.8,371.6,370.7,349.2,382.3
P51812,0.656,9.408,6.7776,9591.3,9034.1,8881.8,8925.6,9502.4,14447.7,14352.4,14286.3,14676.9,14581.2
Q15208,0.8068,9.116,6.6756,2325.4,2107.9,2186.3,2065.3,2293.2,3893.5,3801.7,3710.7,3940.2,3842.3
O14965,0.7056,9.106,6.6756,1989.5,2051.7,2105.2,2087.0,2216.8,3279.5,3372.0,3479.4,3413.1,3491.6
Q9P289,0.6385,9.0911,6.6756,5760.0,5504.3,5475.2,5454.5,5543.3,8453.8,8479.1,8344.4,9025.7,8886.9
P19784,1.1284,9.169,6.6756,2171.7,2047.6,2093.9,1992.3,2268.2,4414.6,4465.3,4657.2,4431.7,5164.9
P15735,0.7697,9.0842,6.6756,3705.3,3872.1,3598.3,3672.7,3684.9,5934.2,6468.8,6145.8,6378.5,6687.1
P49841,0.5693,9.1701,6.6756,6065.7,6087.8,5896.8,5908.2,6026.8,8531.4,8855.8,8966.4,9247.8,8902.6
Q96RR4,0.8943,9.1001,6.6756,1230.3,1337.7,1246.9,1271.5,1377.7,2249.6,2488.7,2373.3,2397.1,2503.6
Q13188,0.69,9.1866,6.6756,7049.6,7390.2,7021.8,7433.3,7314.8,11445.3,11239.9,12010.0,12231.4,11500.8
Q13555,0.7796,9.0331,6.6457,3778.6,3837.4,4155.4,3779.2,3800.1,6243.4,6885.0,6790.8,6674.6,6622.0
Q96SB4,0.5697,8.9651,6.6173,8709.5,8491.6,8259.1,8505.0,8382.3,12371.4,12463.4,12129.7,13050.5,12851.5
P41240,0.6767,8.9795,6.6173,6278.1,5943.3,5840.8,6061.3,6495.6,9512.8,9835.0,9932.7,9720.6,9914.4
P22830,0.5168,8.6454,6.316,4174.3,4241.0,4262.2,4115.3,4340.4,5933.5,6231.2,6228.4,5935.6,5912.2
Q2M2I8,0.7763,8.6192,6.3075,2210.6,2138.0,2146.2,2240.7,2287.4,3510.1,3794.1,3638.8,4009.4,3943.1
O14757,0.6762,8.4632,6.185,1719.7,1851.3,1803.9,1819.3,1854.8,2793.9,3018.6,2718.7,2960.4,2974.3
Q9UHD2,0.9223,8.4702,6.185,574.1,550.6,556.4,537.2,581.9,1106.8,1073.5,942.7,1140.9,1051.7
Q9NWZ3,0.9665,8.3049,6.0424,405.0,352.0,407.8,406.6,443.2,776.1,752.3,811.4,795.2,792.3
P31323,-0.5479,8.2608,6.0136,902.7,891.5,869.1,863.3,922.3,613.1,587.3,589.0,618.2,636.1
P55263,0.5336,8.2329,6.0004,16819.2,17279.8,16705.9,16788.5,16826.1,22980.5,25588.0,24776.3,24152.9,24774.6
Q9BYT3,0.7428,8.2044,5.9862,475.2,498.7,519.3,470.5,540.3,798.0,856.2,824.4,847.6,859.9
Q9H2G2,-0.4367,8.1544,5.9499,37426.8,35927.0,36657.3,36721.5,35662.2,26560.5,26400.5,26604.5,27981.4,27221.5
P24941,0.4702,8.0865,5.8954,8364.0,8313.0,8490.4,8540.3,8460.4,11035.0,11725.3,11903.0,11685.9,12089.6
P13861,-0.3661,7.5371,5.359,15556.2,15314.7,15398.4,15438.8,15409.4,11779.0,11524.9,11980.6,12168.7,12398.6
Q14012,0.5915,7.4883,5.3228,6765.9,6489.1,6317.8,6247.0,6590.1,8909.4,9892.7,10179.6,9852.3,10034.8
Q8N5S9,0.8301,7.4374,5.2841,697.4,804.0,713.9,784.8,789.7,1392.0,1433.5,1392.1,1213.9,1306.5
O75439,0.3762,7.073,4.9316,7790.9,8030.0,7496.7,7695.5,7840.4,9854.0,10049.9,9802.7,10472.3,10253.7
Q9BUL8,0.4358,6.9261,4.7962,8155.0,8167.2,7779.9,7870.9,8143.8,10284.0,10695.9,10715.1,11567.9,11031.0
Q93100,0.4407,6.8477,4.7359,1814.5,1867.7,1728.3,1743.8,1811.5,2370.0,2371.2,2349.6,2567.5,2513.9
