Accession,# PSMs,Gene Symbol,Abundances_Pool_0,Abundances_Pool_1,Abundances_Pool_2,Abundances_Pool_3,Abundances_Pool_4,Abundances_Pool_5,Abundances_Pool_6,Abundances_Pool_7,Abundances_Pool_8
Q14204,582,DYNC1H1,267738.4,232571.3,259798.2,265162.2,274846.0,258739.2,263512.7,260460.1,274267.6
P35579,393,MYH9,134660.1,122730.1,140944.3,142764.2,134616.9,142939.9,143230.0,131218.8,136631.4
P12270,330,TPR,153192.2,127698.8,156399.1,149214.6,141560.4,148473.6,145380.7,155204.2,152907.5
Q13813,317,SPTAN1,151671.5,144903.0,149898.2,150222.1,148824.6,142705.2,147464.9,149544.0,152900.6
O75369,333,FLNB,166931.5,164691.8,164933.9,162607.0,169366.9,160095.5,162368.6,165571.8,163603.7
Q01082,291,SPTBN1,122536.7,112650.7,120941.9,118717.0,124408.7,116820.8,119430.0,122446.7,122847.0
P21333,324,FLNA,112517.2,102474.0,109686.3,112103.0,118057.3,107578.5,111194.2,109594.1,112910.2
P49327,369,FASN,110099.9,103106.0,112411.2,111097.9,110966.9,110126.8,109355.2,92331.4,108860.2
P07900,744,HSP90AA1,151994.9,126826.1,143220.0,144260.8,152438.4,142872.4,142256.4,147411.4,146824.5
Q7Z6Z7,290,HUWE1,100425.8,93109.3,104627.7,105320.0,99185.5,98628.5,103047.7,101250.6,101837.9
P13639,727,EEF2,318683.1,286344.0,315635.2,309638.9,323371.7,323514.6,320668.7,330828.6,313445.5
P08238,733,HSP90AB1,260247.6,220983.2,244515.2,256184.2,265675.9,248749.4,254423.2,246990.6,259989.5
Q9Y490,262,TLN1,89811.6,78837.7,85560.7,89596.3,87099.9,86924.3,85445.6,78892.6,89580.4
P11142,643,HSPA8,257206.4,265197.1,246571.4,247848.5,267230.9,257627.1,255233.0,259193.0,256588.3
P35580,246,MYH10,66665.2,61308.3,73887.8,71113.6,68647.0,72331.6,71873.9,66068.8,72285.4
P06733,672,ENO1,246402.3,277695.8,233930.1,248418.0,257628.0,255286.7,245551.5,263834.9,244348.4
