Accession,# PSMs,Gene Symbol,Abundances_Pool_0,Abundances_Pool_1,Abundances_Pool_2,Abundances_Pool_3,Abundances_Pool_4,Abundances_Pool_5,Abundances_Pool_6,Abundances_Pool_7,Abundances_Pool_8
Q02952,543,AKAP12,205985.3,201028.7,177108.8,207106.2,210063.4,207345.9,208370.2,217725.4,205595.9
P35579,632,MYH9,225087.9,208708.2,205310.9,215222.4,222006.0,224954.6,201621.2,215081.2,209323.1
P08238,1275,HSP90AB1,359760.5,371590.0,310502.0,361316.3,353056.0,342504.8,363661.1,312431.4,360669.0
P07900,1177,HSP90AA1,150886.7,155064.5,129387.4,149304.0,145724.4,139922.5,150542.9,129554.9,147564.0
P49327,458,FASN,100110.5,105728.5,94030.5,102659.1,98321.2,98202.0,101002.5,75499.2,97286.0
P06733,971,ENO1,357046.7,364332.1,315144.0,384494.2,359566.9,375672.7,415468.7,367700.3,371331.4
P14618,838,PKM,297208.4,296746.0,260297.8,308208.1,303046.1,308949.0,319525.0,321418.2,309577.8
P13639,720,EEF2,246152.9,242663.6,208483.4,247002.8,244424.2,252580.8,259266.8,248748.6,245211.6
P04406,1035,GAPDH,302259.3,302544.0,266413.4,316255.8,306825.0,318774.2,352177.8,336257.2,322807.8
P21333,273,FLNA,84324.5,86072.5,84073.7,83289.4,82183.0,77809.1,80430.5,75927.3,82292.2
P18206,350,VCL,168863.8,172011.9,144407.4,153540.8,164544.0,170754.3,168966.7,178488.8,170804.4
P11142,633,HSPA8,234083.4,230179.0,192166.2,226527.8,226292.6,223887.8,228587.5,208343.1,227545.7
P10809,515,HSPD1,162926.3,162651.9,141820.7,163941.4,164012.7,164339.3,167925.7,157901.8,164424.0
O43707,354,ACTN4,123864.6,124387.8,111352.3,124084.1,126442.7,125894.8,124253.1,130741.8,125142.3
P60709,786,ACTB,216297.4,219683.9,199515.0,222474.9,214755.9,224423.5,239763.9,212809.7,225636.4
Q9Y490,232,TLN1,56293.2,55117.3,50578.3,53911.4,54934.1,53850.1,53978.6,42637.2,52114.4
P04075,645,ALDOA,198472.6,196233.9,174136.5,204576.3,201458.8,203298.8,209464.1,211470.2,201178.1
P34932,289,HSPA4,117485.3,115008.7,96413.9,111437.8,112436.2,110421.4,107697.8,102853.6,109397.3
O00410,301,IPO5,122600.9,122280.9,103866.4,124189.1,123885.6,127885.3,124139.8,131849.3,123522.5
O75369,212,FLNB,70585.4,69515.7,65545.2,66718.2,68383.8,66168.1,66240.8,65303.2,66997.9
P78371,413,CCT2,116545.7,118761.5,103009.3,120350.3,118692.7,117660.5,124666.6,119248.7,119193.8
P27816,268,MAP4,116092.9,113179.3,101277.5,115165.1,117919.7,114991.4,116319.7,123702.9,116742.5
P12270,235,TPR,91798.3,89473.7,78352.9,88884.0,90845.6,86779.0,82580.1,91246.0,89795.5
P55072,244,VCP,83319.3,84526.9,78578.3,84322.7,84317.0,85537.5,88268.5,87525.1,85874.4
P07814,209,EPRS1,57406.7,59096.6,52485.2,57292.8,56614.2,54388.7,55476.2,40790.1,55633.3
P15311,562,EZR,206541.3,203760.9,183759.6,216120.5,211547.9,216462.6,220760.6,222181.1,212434.0
P48643,372,CCT5,167555.9,168401.7,142725.3,167354.6,165550.3,165606.3,171353.4,170613.5,168665.1
P0DMV9,305,HSPA1B,89282.5,87750.5,79553.3,88505.9,87308.5,85808.0,88295.2,80156.4,87906.1
P38646,261,HSPA9,104219.0,101020.2,88472.3,100623.3,101446.0,100261.2,100869.5,99493.2,100680.9
P11021,312,HSPA5,106709.4,105911.9,93254.4,107207.4,103970.4,103097.8,108054.1,99307.3,106077.3
P15924,232,DSP,38818.0,37159.7,437955.9,42081.2,37263.1,41340.0,42967.3,42508.4,42090.7
P29401,371,TKT,146484.4,145349.5,124207.6,147727.6,146053.6,150970.0,157874.6,153903.3,148963.5
Q99832,385,CCT7,115840.8,115893.3,101758.4,115312.7,115326.4,115462.8,120815.2,114540.3,115983.3
P12814,288,ACTN1,57801.5,58273.2,48100.8,57119.2,58364.6,58109.3,56035.2,60832.6,57069.5
Q92598,222,HSPH1,81959.1,83373.1,75358.3,80994.0,79743.7,75186.2,79356.1,70873.4,79872.2
Q09666,179,AHNAK,70153.4,69482.8,76984.3,67123.3,70972.7,72358.9,63170.6,77402.8,72054.0
P49368,302,CCT3,129545.1,132446.9,108990.9,129991.3,129697.7,127884.6,132290.7,132094.8,129605.4
P00558,365,PGK1,164786.6,162162.2,144840.4,170120.0,164454.0,168697.7,180674.5,168057.4,167567.8
P50991,329,CCT4,116410.6,118609.2,100659.5,120939.2,116235.4,116180.6,127133.2,121930.8,119378.2
Q13813,145,SPTAN1,52075.3,51166.5,48853.7,50310.6,50733.6,48382.5,48969.5,50560.7,49518.8
Q15075,187,EEA1,82688.9,81161.0,69047.1,80472.1,81371.5,79693.2,74841.2,86647.6,81112.4
P07237,361,P4HB,159232.5,157406.4,136336.8,165147.5,160894.8,161680.1,169301.2,167532.8,162997.2
Q92945,198,KHSRP,59303.7,58826.8,56347.8,57218.1,62595.0,63444.5,57963.2,66351.8,61842.7
P50990,336,CCT8,133560.0,133257.9,120422.8,135690.4,134628.2,131148.0,135684.7,137202.5,131663.3
P26038,339,MSN,69391.4,65620.9,60664.1,70409.5,70622.0,68552.3,68449.7,71684.8,68524.0
P14625,244,HSP90B1,85252.9,85291.7,71144.0,84542.7,84965.7,79210.5,81050.9,71682.1,82657.4
P31948,266,STIP1,116594.5,109563.5,95613.0,110298.4,111863.1,102169.9,108724.8,102394.1,109615.6
P33176,181,KIF5B,57162.4,55759.1,46995.3,55645.5,56718.9,51668.0,51568.9,47906.4,53187.8
Q16531,227,DDB1,103246.5,103921.2,88732.0,103681.9,105782.5,104645.2,105974.4,110860.5,105282.2
Q01813,186,PFKP,62086.2,64752.0,59391.7,65715.5,60449.0,68559.0,72434.5,66230.2,61209.7
Q5T4S7,141,UBR4,34764.2,36019.3,31044.6,35096.7,33748.0,31824.0,32061.5,28838.3,33467.4
Q7Z6Z7,148,HUWE1,42406.1,42215.4,36616.0,42341.7,42147.5,40819.5,39924.6,41841.4,41213.6
P68104,324,EEF1A1,98503.2,98260.6,88563.7,100441.6,96823.7,95985.2,103177.2,91272.9,99802.9
Q00610,190,CLTC,43577.7,45652.5,40674.4,43745.6,42098.6,41030.5,42673.2,32702.5,42106.6
Q99460,200,PSMD1,69040.8,69903.4,60125.6,70208.2,69973.9,67867.3,70231.7,70681.8,70395.3
P26639,251,TARS1,113263.4,115700.0,95357.0,119819.9,114086.8,117905.0,120629.8,118428.3,115902.3
P17987,304,TCP1,115306.4,117719.5,103198.6,118158.7,116737.1,116312.9,121774.1,120884.7,119178.8
P53396,211,ACLY,77786.5,80029.5,66390.0,78904.2,75102.6,75768.3,75982.3,69004.5,71496.5
Q15149,141,PLEC,42096.0,41734.5,57845.3,40725.0,40529.0,40029.3,39266.7,39308.5,40688.9
P04264,150,KRT1,34423.9,38266.2,94566.8,40450.7,30264.9,45032.5,30914.7,33746.5,43135.0
P22102,162,GART,37345.4,40032.7,33968.8,41818.3,35997.3,40157.5,39374.4,29628.0,40094.0
P49321,163,NASP,60512.1,59467.9,50617.5,59882.3,61026.9,59666.3,59318.0,62728.7,59357.1
Q13263,189,TRIM28,54675.3,54156.0,46824.3,53357.0,52949.7,51090.7,54127.3,48312.4,53034.6
Q02790,183,FKBP4,69325.6,70261.1,59044.9,67794.3,67608.5,64747.8,68017.9,60869.2,67852.1
Q13200,189,PSMD2,63494.6,64128.6,54912.8,63430.8,63675.0,61701.4,63235.4,63267.6,64006.6
P55786,195,NPEPPS,100185.7,100058.3,83495.2,101334.5,95790.9,103745.5,101593.6,107225.4,97384.5
Q9C0C9,168,UBE2O,52913.7,52776.9,45780.0,53880.4,53838.2,54398.3,52711.4,54103.4,53112.3
Q01082,117,SPTBN1,37221.5,37925.3,33461.6,36552.9,36570.0,36263.9,34256.0,36734.9,35322.9
Q86VP6,201,CAND1,95182.4,95285.7,82452.6,94722.9,96074.6,97973.9,95573.3,100944.4,95349.1
P63104,393,YWHAZ,150731.3,150926.0,129132.3,155950.9,156870.0,161046.6,161460.8,164764.5,156203.6
P22314,171,UBA1,41230.9,42563.5,39427.2,40794.1,40082.2,39148.6,40717.2,32449.6,40163.7
