Accession,# PSMs,Gene Symbol,Abundances_Pool_0,Abundances_Pool_1,Abundances_Pool_2,Abundances_Pool_3,Abundances_Pool_4,Abundances_Pool_5,Abundances_Pool_6,Abundances_Pool_7,Abundances_Pool_8
Q14204,515,DYNC1H1,199812.6,191723.0,188892.6,198325.4,200641.9,185907.4,180754.3,193354.0,194929.5
O75369,554,FLNB,241859.9,240703.6,242219.6,245114.5,243736.6,249444.0,254302.0,259938.5,238625.2
Q09666,426,AHNAK,171840.0,179768.5,191614.6,177229.0,186256.6,197170.1,188135.5,185796.7,170091.9
P21333,542,FLNA,191179.7,184575.3,187640.6,194788.7,194159.2,193916.0,194328.1,205419.0,193686.2
Q13813,453,SPTAN1,205590.4,196452.3,204547.4,195374.3,202219.8,195210.6,186489.9,217246.1,205253.6
Q01082,410,SPTBN1,161917.7,156693.3,160126.0,155273.0,159939.1,152667.7,149249.6,163911.9,159636.1
P49327,576,FASN,172741.7,166792.9,168906.6,173263.6,168686.1,165050.4,163699.4,162308.8,165307.1
P08238,931,HSP90AB1,353490.3,331660.9,333535.1,341197.2,347411.5,317068.9,334573.7,330060.9,350214.7
P06733,812,ENO1,345211.2,339309.3,324413.5,340611.7,321013.6,317531.6,322295.1,328211.7,360566.9
P07900,809,HSP90AA1,140216.4,130784.6,131637.6,132983.0,137850.4,127414.2,132436.6,132540.6,135918.6
P12270,297,TPR,124119.8,126483.4,129879.1,125441.3,130316.4,133958.8,128737.0,136139.8,123435.8
O43707,534,ACTN4,208240.5,205603.0,206318.9,204066.8,205642.0,197526.9,199360.2,212471.3,211858.4
P10809,586,HSPD1,188283.3,189622.3,185127.5,191719.0,188222.9,190392.4,192673.2,177480.8,185934.4
Q9Y490,309,TLN1,97066.6,95649.6,96258.2,99208.9,99733.4,99735.4,97143.4,93601.0,98808.9
P13639,599,EEF2,251747.0,248189.6,248630.4,244963.3,247855.7,248555.2,250663.6,251830.2,252710.7
P12814,417,ACTN1,100948.1,98976.8,99326.9,98518.2,102162.1,95966.1,94405.8,104154.8,102811.7
P04406,706,GAPDH,273102.7,250117.1,250285.2,254086.8,249718.3,246316.8,244851.1,266992.8,265719.5
P14618,430,PKM,182133.4,181790.4,179340.9,180763.7,180714.8,185583.1,187808.9,192036.1,182688.2
P11021,357,HSPA5,165954.4,157494.4,156490.2,158659.8,158294.0,150530.6,154126.6,158759.7,162934.9
P55072,346,VCP,128937.3,124913.0,125693.1,124975.2,126096.3,125500.1,127166.5,128801.0,128285.8
P13667,310,PDIA4,138258.2,133941.8,136059.0,136399.4,135342.3,133813.3,136152.8,138133.9,134931.6
P07237,469,P4HB,228732.4,216845.7,217774.4,217785.6,219995.6,214812.9,224924.3,225343.8,220918.2
Q7Z6Z7,194,HUWE1,62939.5,64261.8,66872.2,64856.1,63557.4,63128.5,62484.8,67412.8,63583.5
P04075,589,ALDOA,215353.0,212026.0,208505.1,214153.8,208993.0,216210.9,220000.1,228715.3,216821.4
Q15075,225,EEA1,104090.2,105601.0,105328.8,103039.3,103354.6,105493.0,101158.6,110882.2,102605.2
P11142,390,HSPA8,157098.2,144983.7,149469.0,150189.7,153901.0,138524.2,139904.0,146914.8,154970.7
P00352,442,ALDH1A1,218304.4,202810.4,206049.4,200308.2,208519.0,196730.5,204330.3,203838.4,211468.0
P78371,263,CCT2,96521.7,91852.0,92379.5,91584.2,92782.4,87844.7,89303.2,92227.8,91557.6
P29401,285,TKT,135106.3,131303.1,130978.4,130859.8,129198.1,127507.0,128899.8,128641.1,133923.2
P34932,205,HSPA4,83241.7,80557.8,80540.8,81567.5,81517.2,82313.2,81979.9,81964.6,82334.5
P00558,324,PGK1,196158.2,179899.7,180737.9,181164.7,178211.6,164011.9,168220.5,168850.3,185112.4
P04114,206,APOB,90960.6,91567.0,92116.6,90811.1,91636.4,90128.1,88549.6,96700.0,93456.8
P18206,215,VCL,101244.6,100877.4,105842.0,99633.4,112163.8,105920.4,103145.4,115346.0,107524.2
P14625,335,HSP90B1,150994.0,141968.5,143541.6,145096.6,148635.6,142122.2,144147.1,149286.9,150545.7
P27816,209,MAP4,90845.0,93132.9,93610.6,92119.6,93308.9,101535.0,101298.7,110963.7,90403.0
Q00610,206,CLTC,61600.3,58640.7,58365.8,62254.7,59132.7,56066.7,55510.7,51529.9,59467.2
Q5T4S7,183,UBR4,62779.8,62796.2,61479.3,64930.7,61832.6,61419.3,61688.4,63121.9,62555.2
P60709,482,ACTB,118005.0,114137.9,112920.6,118164.9,114151.8,109356.9,110834.5,96370.2,119564.1
P0DMV9,221,HSPA1B,56092.1,53558.6,53243.8,55036.5,54777.9,53853.3,52287.5,51032.0,54020.1
P49321,184,NASP,86136.4,87155.2,89634.8,86551.3,85404.3,83248.8,87081.4,89720.4,86395.0
Q99832,245,CCT7,101083.1,97280.2,97141.2,98502.2,97942.6,90600.5,93212.5,100362.0,97845.4
P04264,187,KRT1,86322.4,128565.9,69896.8,93674.6,95646.5,77862.7,48054.6,100411.9,65114.0
P50395,243,GDI2,134210.7,125931.6,126657.6,125577.4,129558.6,119960.7,126013.9,120966.7,129610.9
P49368,213,CCT3,115068.8,109230.3,111628.9,107822.9,112977.1,107372.1,109154.6,113208.7,108433.5
P42704,197,LRPPRC,47528.2,45573.5,45019.0,47419.5,46174.8,42979.0,42723.7,22546.4,43946.3
Q92945,200,KHSRP,63637.5,67514.0,68624.4,65090.6,69696.3,74076.9,71523.7,76120.7,63648.2
P38646,241,HSPA9,94210.0,95091.1,94503.7,95437.7,94902.8,95010.3,95436.2,98357.5,94910.5
P48643,262,CCT5,139690.2,142309.7,134782.6,138567.6,135832.1,133894.8,138512.4,144401.3,138838.1
Q9P2E9,160,RRBP1,49865.2,53599.2,52595.6,51329.6,50931.4,60087.4,55883.4,63218.7,50211.9
O60701,252,UGDH,117244.6,104899.7,104938.9,108645.8,110121.4,104577.6,110380.2,109637.7,113409.6
P06744,250,GPI,111211.7,103983.1,105781.0,103750.5,106133.8,104442.6,107254.3,109921.6,108442.4
