Accession,# PSMs,Gene Symbol,Abundances_Pool_0,Abundances_Pool_1,Abundances_Pool_2,Abundances_Pool_3,Abundances_Pool_4,Abundances_Pool_5,Abundances_Pool_6,Abundances_Pool_7,Abundances_Pool_8
P49327,488,FASN,172298.2,160318.9,159758.7,168489.4,154831.8,155736.5,156489.6,133223.6,161807.5
Q09666,363,AHNAK,170664.3,174444.8,174366.3,169679.0,178962.3,187217.6,186365.2,176940.2,174641.6
P08238,975,HSP90AB1,358009.8,334045.3,332522.2,354202.1,331394.0,328983.1,333117.6,305109.4,343866.9
P06733,937,ENO1,370525.7,376231.4,395044.7,384473.3,358768.5,387471.1,369858.2,417777.3,347472.0
P07900,771,HSP90AA1,128704.5,116062.9,114903.8,123510.2,114320.3,109789.2,114335.6,103513.2,115694.6
O43707,449,ACTN4,205683.3,206644.5,207855.2,203100.3,210332.7,210451.9,208310.7,222986.3,205483.9
P35579,293,MYH9,121875.6,118039.0,134431.2,136308.8,132687.1,137429.9,135042.4,128158.2,136211.5
P12270,247,TPR,120616.5,119508.8,119059.4,114497.7,121247.1,123278.8,119265.4,126820.7,119489.3
P13639,624,EEF2,306265.9,310915.2,318331.1,309076.2,307094.6,319410.0,307515.8,331169.4,300475.4
P07814,233,EPRS1,66475.9,59100.8,58284.6,61873.5,57777.2,57397.2,56905.0,31104.4,61612.0
P11142,518,HSPA8,228652.7,218822.7,222900.1,229894.5,224279.5,220855.2,220020.4,215683.6,225548.1
P04406,758,GAPDH,231623.6,241445.7,250829.5,248178.8,240048.4,233084.5,236844.8,268583.0,239292.9
P26038,382,MSN,120312.7,116256.1,124369.3,120310.0,114983.0,120729.2,117524.8,133444.1,115186.2
P35580,241,MYH10,83267.6,83825.1,89553.2,83650.5,91519.2,91321.2,90061.0,94768.1,93592.1
P10809,346,HSPD1,119209.7,113128.4,114195.7,109156.8,107048.1,110264.5,110733.3,93721.9,108272.6
P18206,288,VCL,139465.7,139797.7,140563.4,141116.6,141143.7,139010.1,138890.1,151746.2,137732.8
P04075,678,ALDOA,239632.1,244637.0,250573.2,242913.9,240527.0,246279.2,242518.7,270638.5,242975.3
P14618,464,PKM,224945.9,232834.2,231634.4,225280.4,231235.9,232432.2,227252.9,250143.7,228442.5
P78371,365,CCT2,127375.2,123569.3,127614.3,129848.8,124578.4,127237.3,123910.5,132221.4,124844.7
P38646,349,HSPA9,148087.0,147757.5,150656.5,150640.9,150555.3,149182.1,149756.6,159227.8,150290.9
Q92945,279,KHSRP,109663.6,117623.5,113606.7,114740.6,119825.9,128722.2,124243.6,129556.0,119203.4
Q7Z6Z7,187,HUWE1,70191.9,69830.3,69797.5,71979.8,71205.7,70621.4,70450.9,71628.1,71717.1
Q9Y490,198,TLN1,66980.1,63184.2,63373.1,65882.0,69050.1,64703.2,64561.0,56564.8,65505.1
P21333,191,FLNA,68746.9,64895.7,63001.7,67417.2,66823.8,63697.6,65428.7,63005.2,68060.1
Q01082,188,SPTBN1,67910.8,68845.6,67846.5,68480.3,71340.2,69262.2,68581.7,70203.8,71272.4
P48643,327,CCT5,169195.1,166681.9,166264.6,164987.6,165366.7,165537.2,165054.4,172000.3,166119.6
O75369,201,FLNB,94467.4,93359.2,90858.0,92820.1,95151.4,92418.7,93174.1,95646.3,93469.7
P60709,562,ACTB,150572.3,149917.4,163437.1,161593.5,152599.9,159133.7,153005.6,146940.4,153461.6
Q13813,170,SPTAN1,72478.3,73977.6,71367.4,73352.2,76093.1,72358.1,72903.1,78030.8,76604.2
P22102,198,GART,64138.5,61083.8,60141.6,67949.7,58927.7,62388.0,60784.7,46188.8,66185.6
Q5T4S7,184,UBR4,55335.0,51460.7,50261.5,56587.4,50363.6,49925.0,51861.4,45260.7,54553.2
Q99832,346,CCT7,120360.6,119918.9,123657.7,122010.4,117980.9,120898.7,118182.6,125613.8,118056.6
Q15075,186,EEA1,104150.7,104542.9,104368.1,99403.8,105436.5,106777.1,103504.8,112311.0,102170.6
P50991,286,CCT4,124085.1,124524.1,127562.1,127893.0,121472.0,122868.0,122063.7,127480.3,122224.9
P49368,280,CCT3,148063.9,145403.3,144619.6,145698.1,146920.6,143839.3,143413.8,151940.6,143576.9
P34932,221,HSPA4,108828.8,101640.7,100735.5,100035.2,102675.3,101288.4,100181.2,98587.6,104597.7
P0DMV9,253,HSPA1B,84607.9,78928.0,80221.5,81934.6,79724.8,80054.0,81399.9,75119.6,83407.8
P55072,235,VCP,101151.6,104081.3,105845.0,105805.3,104633.9,107016.4,103269.4,111605.7,103732.4
P00558,307,PGK1,156130.3,156468.9,170836.4,167519.2,156455.2,158603.4,154459.8,174300.1,150655.4
P27816,193,MAP4,99918.2,96953.3,97299.2,95648.0,97221.4,94332.8,97332.6,99212.7,103491.2
P29401,267,TKT,130895.7,133656.5,136427.7,131822.7,130562.4,131334.6,128954.6,141859.9,125776.3
Q14315,193,FLNC,73342.7,68506.3,76613.4,69676.0,76866.5,70715.6,72756.3,74220.3,70333.3
Q14204,170,DYNC1H1,53244.8,50086.2,50235.0,55324.2,53067.9,50746.4,52739.1,43087.6,54983.9
P50395,238,GDI2,120306.4,117626.2,119195.8,119393.1,122351.6,122775.1,117997.7,126115.8,117605.3
P31948,248,STIP1,133532.4,119351.8,117322.2,125058.0,118911.8,114934.2,120995.8,111764.1,125038.5
P49321,203,NASP,101469.3,101921.0,104358.0,99677.0,102259.8,104933.8,101221.6,112461.3,100942.4
P50990,310,CCT8,160890.5,163516.0,163966.7,166429.2,162116.1,158812.4,159495.8,168374.8,161214.5
P46940,154,IQGAP1,51019.1,47063.7,47241.0,50620.8,47990.6,46906.1,48760.5,32096.2,50212.6
Q13263,234,TRIM28,86749.9,84442.6,84152.9,89326.7,84960.0,80942.1,84431.3,80839.1,88353.4
O00410,204,IPO5,103644.0,107580.4,106689.1,105451.1,109706.3,106871.7,104912.2,114475.8,105939.9
P68104,379,EEF1A1,122255.5,119077.0,123228.9,118358.4,116457.2,119958.8,116961.0,103187.6,119469.0
P15311,375,EZR,171964.1,177180.6,186069.8,179465.0,178786.4,177139.5,175488.8,193311.4,179024.6
Q16658,308,FSCN1,106851.5,108168.0,111171.3,107312.0,105502.7,109279.9,105257.4,111571.5,102933.5
Q9UM54,148,MYO6,87159.4,83553.9,81111.7,76591.1,83636.6,86259.0,80451.6,88186.2,85536.3
P12814,242,ACTN1,54377.0,55606.3,54120.0,53809.4,56757.9,55626.1,54089.1,58686.8,55181.4
P17987,274,TCP1,126816.3,128259.5,131027.9,128674.0,124363.6,125679.3,126542.1,130426.4,125216.8
P33176,143,KIF5B,48338.9,46153.5,47848.3,49295.8,47981.2,49376.4,48311.7,44814.9,50045.2
Q16531,189,DDB1,106027.3,106943.4,106061.8,104383.0,108163.3,106677.3,103823.1,113201.5,104288.8
P06744,249,GPI,114047.5,119694.6,124482.2,126501.4,119910.0,116163.2,115577.7,128331.4,116481.8
Q86VP6,186,CAND1,121858.4,121050.4,120434.1,115893.0,121260.3,124955.2,118608.6,134196.8,118807.2
Q12888,106,TP53BP1,34819.9,33373.3,33075.7,34148.8,32654.3,32656.7,33494.6,32706.5,34504.6
P27708,132,CAD,36972.6,34653.7,35973.4,36289.1,34305.1,35707.7,35696.1,28070.0,35274.1
Q92598,153,HSPH1,66255.9,61443.3,60293.4,65375.6,61230.5,59700.7,61904.7,56487.6,64266.5
P13796,237,LCP1,128218.9,132693.7,133113.7,129218.7,134009.7,135537.4,130114.8,143775.4,128274.4
P04264,180,KRT1,56162.7,101572.2,73199.5,81481.2,54461.0,79575.8,181724.5,79370.2,73743.4
P14625,205,HSP90B1,107241.6,99216.3,95469.7,104139.9,103573.2,94414.5,99963.6,96491.7,104533.7
P49588,163,AARS1,69606.1,63968.8,63451.1,66603.1,62131.0,61189.9,64101.7,54480.2,66296.0
P22234,234,PAICS,113043.6,122847.6,130019.8,126778.9,119919.2,121741.9,119889.2,133258.6,115478.1
P42704,155,LRPPRC,37435.3,34002.9,34522.5,36064.1,34511.8,34941.2,33868.2,16226.9,34660.9
P46821,134,MAP1B,67058.9,64869.2,65453.0,63036.1,64817.3,65567.4,65224.1,69619.1,67431.1
P26640,171,VARS1,46012.5,42744.3,43603.8,44915.8,42267.4,43018.4,42696.0,28742.5,44374.5
P30622,117,CLIP1,65666.4,65906.8,65829.2,62958.7,66963.1,69439.8,66469.5,71484.1,66508.2
P05455,176,SSB,120179.4,113744.6,111921.8,108174.7,110974.4,112081.1,110188.6,107537.0,108702.7
P41250,171,GARS1,87170.2,90991.3,91242.4,88588.5,93228.3,87631.8,87921.7,93828.4,89447.4
P40227,245,CCT6A,101628.8,100909.5,102171.1,102191.5,99831.6,101255.5,99971.9,106556.0,100891.1
P26639,167,TARS1,87928.0,88037.0,90464.2,93004.5,88518.8,87306.6,87872.5,92709.3,89132.5
P30613,219,PKLR,83891.8,85953.0,86291.8,83208.3,86144.5,86697.9,84522.4,91478.7,84338.7
P07437,296,TUBB,17578.9,17377.5,17843.5,16757.3,17676.8,18082.9,17540.1,15543.5,17999.2
P31939,134,ATIC,43788.2,39913.8,39848.8,41070.9,38284.3,40051.3,39946.8,30108.5,41602.3
