Accession,# PSMs,Gene Symbol,Abundances_Pool_0,Abundances_Pool_1,Abundances_Pool_2,Abundances_Pool_3,Abundances_Pool_4,Abundances_Pool_5,Abundances_Pool_6,Abundances_Pool_7,Abundances_Pool_8
Q15149,678,PLEC,212168.6,210837.8,209937.0,210812.1,209230.7,206766.6,212111.8,211705.8,209796.5
Q09666,619,AHNAK,261667.4,287102.5,284425.8,270009.6,290255.9,281724.1,259232.8,294479.1,249359.3
P49327,718,FASN,176745.2,174701.5,178320.1,182821.9,172782.4,179896.6,189653.1,151913.6,175075.5
P21333,563,FLNA,183335.3,174056.6,180117.3,182587.3,179860.8,175727.3,180658.1,170929.1,177357.6
P35579,423,MYH9,132366.6,127575.7,138183.7,135587.8,137398.3,140179.7,134508.6,118218.9,130015.9
O75369,412,FLNB,154452.4,153424.7,155561.9,153773.4,154274.3,151315.1,151071.8,155294.7,148895.7
Q14204,406,DYNC1H1,110553.4,109071.6,113181.7,114712.2,116509.2,111340.6,116838.8,92808.7,113465.8
P05787,1023,KRT8,422469.2,417060.0,414255.1,409523.5,427215.7,396610.4,442761.2,443572.0,415456.5
P05783,789,KRT18,234992.2,233223.4,234676.6,233282.7,238764.9,230818.0,263082.1,243571.0,242549.8
Q13813,300,SPTAN1,125613.2,126388.8,129436.8,123241.7,123136.4,122941.4,123274.4,125541.2,123066.1
Q01082,254,SPTBN1,92931.0,96104.4,95159.5,93894.2,94588.7,92188.3,92097.2,94677.2,90218.3
P06733,801,ENO1,259581.0,247723.6,254894.1,251312.2,258170.9,257839.0,269844.5,272016.0,270158.6
O43707,509,ACTN4,173310.3,170787.3,173964.0,167484.9,171288.3,169734.1,168050.0,173839.1,167863.0
P08238,661,HSP90AB1,214755.0,207466.9,207415.3,213871.2,213212.7,206735.4,225382.1,202846.0,220462.4
P07900,657,HSP90AA1,119512.0,112870.5,112459.0,116563.3,118157.1,111909.3,120749.3,112254.4,119026.2
Q7Z6Z7,270,HUWE1,90156.0,91274.1,91436.4,91941.3,89846.7,90104.9,92524.6,92623.8,89766.9
P14618,769,PKM,256516.3,258617.2,259180.8,257746.7,260507.7,260904.2,249553.3,265469.6,253220.4
P04406,822,GAPDH,235062.3,226649.8,230043.3,232762.5,234241.9,244804.1,243456.1,252794.0,258996.9
Q9Y490,247,TLN1,69197.4,70723.5,72677.5,70545.1,68624.6,71629.3,70542.1,71179.2,67465.0
P13639,497,EEF2,196023.9,191036.9,187840.4,187346.6,186260.8,190551.5,189151.2,189893.8,188929.0
P11142,437,HSPA8,177374.1,168726.1,173981.8,172703.9,173992.4,169524.4,174392.6,156672.9,176144.1
P04075,865,ALDOA,257205.3,250238.5,255231.9,249188.0,252777.5,257166.7,261093.3,270261.5,267535.8
P55072,301,VCP,100253.0,98248.8,98357.7,98343.1,99463.2,100222.7,101814.9,99018.6,103517.6
Q00610,253,CLTC,62551.0,60134.6,61278.4,63207.6,61215.8,63209.4,68741.9,48019.1,64611.4
P12814,354,ACTN1,72587.1,72717.2,73244.1,71131.8,72440.9,71411.6,71585.7,71851.5,71129.9
Q7Z406,173,MYH14,30303.3,30483.3,31175.9,30625.1,31256.3,30678.5,32698.9,25989.2,30745.4
Q15075,201,EEA1,88335.7,93558.0,94146.5,88908.7,91466.1,86986.7,88728.9,91999.9,85060.7
P29401,358,TKT,124354.8,122332.8,121404.3,122066.4,124773.8,121868.0,121585.0,128718.9,123225.0
P15924,192,DSP,52517.2,51073.6,54452.8,53755.8,57449.6,59573.7,53809.9,84673.4,53234.5
P60709,642,ACTB,145976.1,142782.2,152144.4,143396.5,150658.8,151507.5,149673.2,133092.2,151949.1
P00558,330,PGK1,124090.4,118756.2,116874.0,117875.7,121620.4,122034.6,119102.8,125893.9,133805.5
Q5T4S7,182,UBR4,49285.8,49274.9,48425.9,52092.9,49734.2,49356.2,53837.4,47819.2,51072.4
P0DMV9,276,HSPA1B,66364.4,63871.8,65272.1,65660.9,67094.2,65390.3,67081.3,59423.6,67799.9
P12270,165,TPR,66660.2,70192.3,68472.5,66951.4,68056.1,66541.9,63989.8,71513.8,63850.5
P18206,174,VCL,64860.5,63367.9,67664.7,62988.4,63552.7,62980.3,64740.2,66831.5,64109.8
P35580,156,MYH10,31091.0,30288.2,32029.4,32584.2,32649.8,32937.5,32466.1,29574.1,33096.7
P38646,234,HSPA9,88528.9,88344.1,90397.1,88405.8,91076.3,87831.8,92665.1,86633.2,91435.4
Q86UP2,143,KTN1,57791.5,60314.7,60397.0,58116.7,59933.2,56854.8,56714.1,59922.9,55378.0
Q9C0C2,147,TNKS1BP1,44217.6,46387.7,45962.0,44217.1,44254.5,43612.6,42564.9,46666.4,41886.2
P31948,210,STIP1,85322.5,80905.7,80411.9,84341.7,82595.7,76464.6,84625.7,79445.3,82002.0
Q86VP6,223,CAND1,118077.8,118504.9,115277.7,116067.8,116547.3,116897.4,112146.0,120710.1,113125.6
P08727,409,KRT19,128206.9,128799.1,129172.9,127184.8,132804.9,122066.8,131787.0,133152.9,130537.0
P33176,170,KIF5B,54551.6,53540.6,56368.4,54140.1,56559.1,54889.8,54199.5,47861.8,53692.5
Q71U36,323,TUBA1A,10170.8,10130.5,10061.6,10232.0,10801.4,10276.4,10543.4,10676.9,10095.7
P46940,159,IQGAP1,52101.4,49852.5,50743.8,52486.2,53040.8,50745.9,53496.1,45563.7,52221.1
P07814,144,EPRS1,30264.9,29887.8,30579.1,30843.7,30744.0,30787.5,33053.1,20234.5,31262.7
Q13263,213,TRIM28,60360.5,60241.5,59185.5,60817.9,58554.1,57867.6,61175.8,56913.3,61076.3
P34932,174,HSPA4,66857.2,65990.9,64548.3,64155.6,63081.5,66920.7,64702.4,64277.5,65837.0
P11413,252,G6PD,83084.3,81232.2,79030.9,83617.6,79700.7,83189.0,85976.3,72992.7,84991.5
P06744,296,GPI,102952.1,98036.3,97848.2,98836.0,99804.2,100350.2,104137.7,101355.6,107891.9
P22314,187,UBA1,44470.2,49361.9,43581.7,52190.7,44430.7,44113.2,48575.8,35005.2,45343.9
Q14247,182,CTTN,79314.1,80952.1,82585.6,78869.8,77758.1,78068.0,78514.5,82058.9,75322.4
Q9UM54,145,MYO6,52741.2,49665.2,43305.8,52327.6,52418.4,47579.5,44556.4,44763.9,54206.0
P68371,365,TUBB4B,107955.6,107211.5,109589.6,108853.0,110084.8,110286.3,111440.9,98534.7,111239.0
P11021,202,HSPA5,61465.7,59101.0,60268.6,59633.6,61891.4,58287.6,59979.9,58956.9,60399.3
P68104,293,EEF1A1,88843.8,87883.1,89124.8,89584.8,88722.7,88170.9,96039.1,80570.6,92344.7
Q14980,127,NUMA1,42233.8,44459.8,43752.9,43806.4,43862.1,44314.3,42362.8,47117.9,41265.7
P50395,233,GDI2,104670.5,101998.1,100114.1,102823.4,109394.8,105120.9,104755.5,104124.0,105143.2
