Accession,# PSMs,Gene Symbol,Abundances_Pool_0,Abundances_Pool_1,Abundances_Pool_2,Abundances_Pool_3,Abundances_Pool_4,Abundances_Pool_5,Abundances_Pool_6,Abundances_Pool_7,Abundances_Pool_8
P49327,683,FASN,279426.6,261179.7,250794.6,234493.6,268533.5,278736.0,260119.7,275703.9,246223.0
Q09666,419,AHNAK,157434.4,157884.7,164440.9,161884.3,163863.2,157860.3,153388.5,154819.7,169509.3
P08238,1052,HSP90AB1,453405.1,430100.9,443437.2,425224.3,425932.9,455408.5,415867.8,463829.0,418192.0
P35579,367,MYH9,162156.4,162406.4,159304.0,155554.3,166198.2,157894.8,161289.4,167941.4,160999.5
P07900,893,HSP90AA1,169702.2,157994.1,162941.3,154040.4,152827.8,164502.9,148701.3,165790.2,150518.9
P35580,299,MYH10,94169.4,94106.6,96222.1,91333.3,89617.6,89579.6,90126.8,93257.1,89990.2
Q14204,295,DYNC1H1,110922.2,112472.8,113797.7,108565.9,117405.7,112931.1,113119.4,110931.9,113798.1
P06733,843,ENO1,372382.4,371441.9,383072.5,406210.3,366885.6,381162.7,422874.5,398328.1,375509.2
P13639,625,EEF2,282389.7,285152.5,286959.0,292162.8,280900.8,286164.6,287154.6,293914.8,284383.3
Q7Z6Z7,266,HUWE1,96463.0,99263.0,100672.2,94791.5,101509.0,99381.3,99087.1,103730.4,100478.2
P12270,259,TPR,126196.2,131447.7,135525.2,128057.9,130929.1,126635.4,124758.2,132391.5,130692.7
O43707,408,ACTN4,168142.8,169027.8,168885.9,174981.1,166377.9,164162.3,166187.2,170329.3,172108.1
Q9Y490,262,TLN1,95588.6,93220.7,90394.2,85110.0,88972.7,90828.9,88397.3,85391.0,89124.8
P11142,502,HSPA8,234249.8,225573.1,227017.2,225381.8,216385.0,226444.5,228612.6,226725.1,217738.3
P04075,769,ALDOA,272541.5,267522.2,266827.6,283451.9,261118.1,265836.6,279293.2,275910.1,269736.3
P04406,687,GAPDH,274760.6,272542.5,275586.3,289090.7,260488.9,281091.5,296658.1,285371.5,271686.9
P14618,407,PKM,193520.4,197262.7,204275.7,204973.0,195100.4,198246.5,203683.9,200716.7,200798.0
P18206,288,VCL,156501.7,164091.7,150599.4,169593.0,160622.0,146603.9,160033.0,153763.9,164113.9
O75369,199,FLNB,97110.3,98147.9,95637.5,94678.7,95463.0,93732.5,94304.8,96616.9,95379.7
P10809,361,HSPD1,118229.5,115003.6,118841.7,111545.0,112062.6,120675.3,109798.4,111674.0,107306.6
Q5T4S7,205,UBR4,78647.5,77167.5,76391.1,70529.8,80794.7,82108.7,77028.0,79181.5,74924.2
P78371,440,CCT2,133304.1,129833.1,139239.8,134346.5,128357.2,137663.8,131310.6,140132.7,131437.7
P55072,244,VCP,97469.5,96983.6,102074.1,101210.0,97106.4,98209.6,98143.9,102991.6,98944.3
Q99832,401,CCT7,159880.6,152198.1,161298.6,156233.5,147999.9,158153.9,153798.0,162112.3,151437.6
P38646,343,HSPA9,178049.4,178110.8,181169.2,178565.6,176971.4,173899.6,176760.4,181462.6,178954.1
P07814,223,EPRS1,66697.3,61545.4,63979.9,59462.1,62688.5,71294.7,61715.2,53442.3,61215.4
P21333,182,FLNA,55231.1,54791.3,54679.6,51281.5,54637.2,55911.6,53529.8,52979.5,54690.9
P60709,593,ACTB,198848.5,194468.4,196475.0,201912.1,195917.3,200794.0,203446.9,205167.3,197819.7
P0DMV9,270,HSPA1B,92416.3,89866.7,91885.3,89572.4,87432.3,92074.8,89259.5,93489.0,89171.6
Q92945,266,KHSRP,113673.0,109564.0,104341.2,103037.6,104241.0,104241.9,99847.3,107523.0,102152.8
P34932,249,HSPA4,119888.0,116314.4,120959.7,110936.5,106900.7,114778.6,112124.3,116190.9,108902.2
P26038,323,MSN,152780.4,157916.5,163356.8,164911.3,153917.8,153003.4,154526.6,158644.4,157434.8
P49321,191,NASP,71462.4,79076.4,82199.9,81886.3,82191.2,72645.3,79826.3,77205.7,80187.7
Q15075,151,EEA1,79715.9,85208.7,87489.3,86988.9,84733.9,79799.5,81862.5,84393.8,85147.6
P00558,372,PGK1,202469.4,202394.2,197619.8,213817.1,188757.7,201370.8,215320.8,198640.7,194508.2
P50990,345,CCT8,174798.4,173352.5,178423.3,173319.7,167485.9,173636.6,172060.1,179009.5,171016.6
Q14315,202,FLNC,85378.8,83544.4,81712.3,83003.4,81674.8,80160.5,79190.9,82333.0,81967.3
P68104,415,EEF1A1,109194.2,108261.2,119457.8,112167.1,110414.7,117459.5,116193.1,114059.5,105674.8
P48643,344,CCT5,201040.9,198508.2,212107.4,205325.4,200482.9,204079.1,208511.0,214810.1,200067.8
P50395,229,GDI2,114685.5,114900.1,115652.5,124934.2,117397.7,111952.7,123422.7,118840.5,120767.5
P49368,273,CCT3,141422.6,138153.6,143832.8,140325.3,135329.1,141241.9,138490.3,144566.2,138338.8
P05455,226,SSB,133624.7,133976.1,140515.5,134971.6,133058.5,132278.6,131291.0,138084.5,130981.8
P78527,192,PRKDC,44096.9,42910.5,42806.1,42891.7,43872.8,46480.2,44380.7,27933.0,40955.6
P31948,320,STIP1,175459.5,161978.5,167453.7,149510.7,147076.6,162973.3,142963.1,169645.1,151356.3
P13796,234,LCP1,124109.4,128349.6,128338.1,136614.3,130908.5,124937.4,132966.2,130247.8,135862.5
P15311,322,EZR,95337.9,98817.4,104380.0,101720.6,97188.1,96544.2,96672.4,99126.6,98978.6
Q16658,342,FSCN1,145258.7,138043.6,138068.4,144389.9,137191.3,139349.6,141897.4,141039.0,141913.6
P14625,245,HSP90B1,101689.3,105079.8,109758.4,103976.0,105191.3,104499.4,102513.0,110023.7,104355.9
P50991,341,CCT4,173620.9,162501.5,171689.2,166030.7,159487.1,168095.9,165349.9,173430.6,163027.0
