Accession,Gene Symbol,# PSMs,Abundances_Pool_0,Abundances_Pool_1,Abundances_Pool_2,Abundances_Pool_3,Abundances_Pool_4,Abundances_Pool_5,Abundances_Pool_6,Abundances_Pool_7,Abundances_Pool_8,Abundances_Pool_9,Abundances_Pool_10,Abundances_Pool_11,Abundances_Pool_12,Abundances_Pool_13,Abundances_Pool_14,Abundances_Pool_15,Abundances_Pool_16,Abundances_Pool_17
Q00536,CDK16,6,1.0,0.8087989991659715,0.6670141784820682,0.8231859883236029,0.634904086738949,0.8037948290241866,0.5894495412844036,0.6371976647206005,0.6738949124270224,,,,,,,,,
O95630,STAMBP,35,0.9688771287694227,0.9512291785660166,0.9569058970264254,0.9475923486694099,0.9866183310214597,0.9602280012589028,0.97405261746844,1.0,0.9892760144074415,0.9317619921277231,0.8422626756614935,0.8476782393967113,0.8754889915106489,0.8576135593319977,0.8756925841322735,0.8940159200784988,0.8867273042243337,0.8690554646673074
P05787,KRT8,103,0.9659645640532193,1.0,0.9279945994690149,0.965203854931259,0.984337452581625,0.9213950700003525,0.941455624461584,0.8548909566295044,0.9007803565761038,0.9862825778314239,0.9069003951009268,0.8786680646019358,0.8750944568353969,0.8342508562368562,0.8616042948025455,0.8972740410012711,0.8360252229701262,0.9305392715334155
Q8IV48,ERI1,20,0.8062716011838308,0.822866610508395,0.7945760708027092,0.809976941890162,0.8449230461821016,0.8308919218960414,0.8125583877850943,0.8317699647174469,0.9256327423256968,1.0,0.8300470021781496,0.7927891780350795,0.8957354121288548,0.8107302533532043,0.7979479536856586,0.7975467155795025,0.7749054224464061,0.8356070159348847
O75874,IDH1,259,0.8479237091243365,0.8820547846326805,0.8366840355056907,0.8414497418855249,0.8483440048697912,0.8685805974989839,0.8843187306229031,0.8800227665468124,0.840310116446869,0.8255283040518913,0.9322792416821176,0.936648809919252,0.8799954099905181,0.9131793666994812,0.9450406759392911,0.9644213870283915,1.0,0.8955863435138938
P62875,POLR2L,9,0.9643370205430253,0.942429248671168,0.9505458985777905,0.9575132883206435,0.9719867835081166,1.0,0.938119523057032,0.9246875448929751,0.9554302542738112,0.5802989254389281,0.5969706657849596,0.5300287848236773,0.610991242528564,0.5565404208479475,0.5942175343516699,0.5604661823361567,0.4601298367673806,0.5324760127643793
Q4V328,GRIPAP1,80,0.8765859644096196,0.9240917103189681,0.9318401235759799,0.9153218020666587,1.0,0.909585235660141,0.9049635936692225,0.9315037776628943,0.92949815944042,0.9152243659128604,0.824153052824654,0.8476042183064643,0.8602066496793608,0.8331029561029105,0.9156960500045522,0.8337923405446142,0.8910959104532359,0.9077620816930166
Q6ZUM4,ARHGAP27,2,,,,,,,,,,,,,,,,,,
Q6IA86,ELP2,76,1.0,0.9788124240908765,0.9097395870543686,0.9054127670215046,0.9486898978352504,0.9494221976137743,0.9579865328284631,0.9363479674215902,0.8986657855254696,0.8310842054324599,0.8300630410507969,0.7952796293004031,0.8670164271122244,0.7525662378986582,0.7979761414957317,0.8038957037706841,0.764979767413248,0.7589804266709783
Q8N335,GPD1L,2,,,,,,,,,,,,,,,,,,
