DrugBank ID,Name,Type,UniProt ID,UniProt Name,SMILES
DB00006,Bivalirudin,SmallMoleculeDrug,P00734,Prothrombin,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)O
DB00007,Leuprolide,SmallMoleculeDrug,P30968,Gonadotropin-releasing hormone receptor,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1
DB00014,Goserelin,SmallMoleculeDrug,P22888,Lutropin-choriogonadotropic hormone receptor,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O
DB00014,Goserelin,SmallMoleculeDrug,P30968,Gonadotropin-releasing hormone receptor,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O
DB00035,Desmopressin,SmallMoleculeDrug,P30518,Vasopressin V2 receptor,N=C(N)NCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O
DB00035,Desmopressin,SmallMoleculeDrug,P37288,Vasopressin V1a receptor,N=C(N)NCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O
DB00035,Desmopressin,SmallMoleculeDrug,P47901,Vasopressin V1b receptor,N=C(N)NCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O
DB00050,Cetrorelix,SmallMoleculeDrug,P22888,Lutropin-choriogonadotropic hormone receptor,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
DB00050,Cetrorelix,SmallMoleculeDrug,P30968,Gonadotropin-releasing hormone receptor,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
DB00067,Vasopressin,SmallMoleculeDrug,P30518,Vasopressin V2 receptor,NC(=O)CCC1NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O.NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O
DB00067,Vasopressin,SmallMoleculeDrug,P37288,Vasopressin V1a receptor,NC(=O)CCC1NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O.NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O
DB00067,Vasopressin,SmallMoleculeDrug,P47901,Vasopressin V1b receptor,NC(=O)CCC1NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O.NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O
DB00091,Cyclosporine,SmallMoleculeDrug,P49069,Calcium signal-modulating cyclophilin ligand,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
DB00091,Cyclosporine,SmallMoleculeDrug,Q96LZ3,Calcineurin subunit B type 2,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
DB00091,Cyclosporine,SmallMoleculeDrug,P62937,Peptidyl-prolyl cis-trans isomerase A,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
DB00091,Cyclosporine,SmallMoleculeDrug,P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
DB00093,Felypressin,SmallMoleculeDrug,P37288,Vasopressin V1a receptor,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O
DB00106,Abarelix,SmallMoleculeDrug,P30968,Gonadotropin-releasing hormone receptor,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q9BYV1,"Alanine--glyoxylate aminotransferase 2, mitochondrial",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q99259,Glutamate decarboxylase 1,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P35520,Cystathionine beta-synthase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q16719,Kynureninase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P34896,"Serine hydroxymethyltransferase, cytosolic",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q9Y697,"Cysteine desulfurase, mitochondrial",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P17174,"Aspartate aminotransferase, cytoplasmic",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P04181,"Ornithine aminotransferase, mitochondrial",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P11926,Ornithine decarboxylase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q8N5Z0,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P80404,"4-aminobutyrate aminotransferase, mitochondrial",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q9NVS9,Pyridoxine-5'-phosphate oxidase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,O95470,Sphingosine-1-phosphate lyase 1,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P17735,Tyrosine aminotransferase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q16773,Kynurenine--oxoglutarate transaminase 1,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,O15270,Serine palmitoyltransferase 2,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q9Y600,Cysteine sulfinic acid decarboxylase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P19113,Histidine decarboxylase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q96A70,Antizyme inhibitor 2,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P20132,L-serine dehydratase/L-threonine deaminase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
