,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Staurosporine
0,Q14204,DYNC1H1,1.1401329398769324,1.1792839443215908,1.133040491238601,1.1401329398769324,0.9959237592870158,1.0066510988671218,1.1792839443215908,0.9959237592870158,1.0040929244582961,1.133040491238601,1.0184490792272682,1.1401329398769324,1.11706904506274,1.1401329398769324,1.11706904506274
1,P35579,MYH9,1.1632370543167487,1.09720516808835,1.09720516808835,1.1632370543167487,1.0262256627861253,0.9747572555897513,1.113267242510191,1.0258964416684195,1.0262256627861253,1.0968531761972,1.0412486625392094,1.113267242510191,1.164668650966633,1.1484085811060203,1.1484085811060203
2,P12270,TPR,1.138465670781558,1.1974074932575718,1.1996369582173052,1.1684886623836717,1.048835691337408,1.0540702060745804,1.1974074932575718,0.9737220965368855,1.082168459540945,1.138465670781558,1.0269870670046144,1.1974074932575718,1.1626859453651874,1.1996369582173052,1.2153927836440124
3,Q13813,SPTAN1,1.0428814086662574,1.0628309269739293,1.0479225704459263,1.0367080046651898,0.9826270522680313,1.0479225704459263,1.0504046103435614,0.9826270522680313,1.0504046103435614,1.0428814086662574,1.033353374649277,1.052674324411444,1.0176801032414788,1.052674324411444,1.0320283223949815
4,O75369,FLNB,1.0156875115165636,1.0426995137277437,1.034206458020369,1.0014682641840849,1.0143081852032967,1.0287097388746091,1.0302219612668688,1.0143081852032967,1.0302219612668688,1.034206458020369,1.0219131705763123,1.0219131705763123,0.9985338884549866,1.0302219612668688,1.015799237044601
5,Q01082,SPTBN1,1.0601798302185428,1.0905125312137431,1.0869590690515016,1.0538505308888448,0.9840275613433628,1.0162316984646569,1.0905125312137431,0.9840275613433628,1.0352771081862133,1.0869590690515016,1.0223350636188075,1.0869590690515016,1.0601798302185428,1.0736009629767058,1.0736009629767058
6,P21333,FLNA,1.0939652985147452,1.101842418564709,1.0850967074575013,1.0939652985147452,0.981608498997665,1.0187360857420396,1.101842418564709,0.981608498997665,1.0195931343158717,1.0850967074575013,1.0336098755792282,1.0939652985147452,1.0703817553720945,1.0939652985147452,1.0694820149501338
7,P49327,FASN,1.2018327459564135,1.1924426576440952,1.0606094698659632,1.192733999484466,1.1924426576440952,0.9471413794940667,1.2018327459564135,1.192733999484466,1.1924426576440952,1.0606094698659632,1.1790160227181652,1.0558085853393595,1.192733999484466,1.2032515482273636,1.0680930304734932
8,P07900,HSP90AA1,1.137469337935961,1.198451265157566,1.1623112277362466,1.137469337935961,1.0043302093965545,1.0140900514845026,1.157683631366099,1.0043302093965545,1.006773684698896,1.1623112277362466,0.9956884604724215,1.157683631366099,1.1265220644646488,1.137469337935961,1.1292628252386534
9,Q7Z6Z7,HUWE1,1.1067390690296242,1.078579690750548,1.0874380969462771,1.0937457375364221,0.9943842597960387,1.0265856218030287,1.0937457375364221,0.9821032045550048,1.0182229274499766,1.0874380969462771,1.0325402900784255,1.0937457375364221,1.1067390690296242,1.123708372847825,1.0874380969462771
