,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Staurosporine
0,Q14204,DYNC1H1,0.08711803315760541,0.04343263513346553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,P35579,MYH9,0.09835779773708284,0.0,0.0,0.009252259245387922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008133591206042543,0.03402001455090971,0.031904038332807264,0.0
2,P12270,TPR,0.03524100984484788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04739785862875591,0.0,0.08269804806869578,0.012695382137712378
3,Q13813,SPTAN1,0.0,0.007563477124455974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01918475916576589,0.0,0.012477580138269606,0.0
4,O75369,FLNB,0.0,0.009342821870022474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Q01082,SPTBN1,0.04694750660020821,0.018899755101136742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013431744044388074,0.0,0.0,0.0,0.0,0.0
6,P21333,FLNA,0.0885523965220795,0.0367622146238308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,P49327,FASN,0.03993660651030548,0.0,0.0,0.0,0.0,0.0,0.0022092854538704474,0.0,0.0,0.0,0.0,0.0,0.0,0.014223857700556956,0.0
8,P07900,HSP90AA1,0.07482978529128435,0.0507182516277042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004203454111436749,0.0,0.0,0.0,0.002767979235462237,0.0
9,Q7Z6Z7,HUWE1,0.04404853063969391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025805871324505937,0.0,0.033216836603856076,0.0
10,P13639,EEF2,0.05500018565728484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03452621890830853,0.0,0.0,0.037877232387681675,0.0,0.013833742340870273
11,P08238,HSP90AB1,0.11582227092978666,0.0588388380724172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Q9Y490,TLN1,0.034085548199184454,0.012733364745301127,0.0,0.009546286040664823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02308640754543665,0.0
13,P11142,HSPA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03605046829294767,0.0,0.0017298498552006502,0.0,0.0,0.0,0.0,0.0
14,P35580,MYH10,0.06976773952396208,0.0,0.0,0.010109355234190827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018982052798566438,0.03359653886060899,0.0,0.0
15,P06733,ENO1,0.0,0.0,0.0,0.0,0.0,0.06194926907293916,0.0,0.06123115486993724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,P0DMV9,HSPA1B,0.0,0.002324381156049161,0.0,0.0,0.0,0.0,0.0,0.015669643157767563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,P14618,PKM,0.01625633934525938,0.0,0.0,0.0,0.0,0.0007289136444136937,0.0,0.011419056403268044,0.0,0.0013618718465692493,0.0,0.0,0.0,0.0,0.0
18,P04406,GAPDH,0.019115194666610585,0.0,0.0,0.0,0.0,0.028970985072902924,0.0,0.07936697995471327,0.0,0.026970942055412794,0.0,0.0,0.0,0.0,0.0
19,P18206,VCL,0.0,0.017067128516902747,0.0,0.0,0.0,0.0,0.0,0.009940580656997202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,P07814,EPRS1,0.019143305256181777,0.0,0.0,0.0,0.0,0.0,0.0039334462119520195,0.0,0.0,0.0,0.0,0.0,0.0,0.012629595048978558,0.0
21,P55072,VCP,0.0,0.018725799830573202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041955399997246214,0.0,0.0,0.0,0.0,0.0
22,P34932,HSPA4,0.0,0.029513073063045778,0.0,0.0,0.004294155513041785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013485643533618606,0.0
23,P60709,ACTB,0.06660336933724634,0.0,0.0,0.0,0.0,0.0,0.0,0.024800287325692668,0.0,0.04173015732027234,0.0,0.0,0.0,0.0,0.0
24,Q92945,KHSRP,0.0,0.0,0.0,0.0,0.018470016908927647,0.020733857306544343,0.0,0.0,0.011809347089847905,0.0,0.07320783119361308,0.0,0.0,0.0,0.00367831395300219
25,O43707,ACTN4,0.00718157493571263,0.040448364009507735,0.0,0.0,0.0,0.0,0.003547024104957999,0.0,0.0,0.00718157493571262,0.0,0.0,0.0,0.0,0.0
26,P04075,ALDOA,0.0,0.0,0.0,0.0,0.008141222575030282,0.018109091891197117,0.0,0.0,0.0,0.0,0.01598062111289871,0.0,0.0,0.0,0.0
27,Q00610,CLTC,0.03861012380885735,0.0,0.0,0.010493815490680961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000818026190720314,0.0
28,P78371,CCT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03001325083912644,0.0,0.02045219221340354,0.0,0.0,0.0,0.0,0.0
29,Q02952,AKAP12,0.0,0.0,0.00536036608159714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001157337260235737,0.0,0.02947764009657997,0.0,0.029090796774589582
30,P38646,HSPA9,0.0,0.0,0.0,0.0,0.0,0.0016454564857139031,0.0,0.01715755154830413,0.0,0.0,0.03534965694313499,0.0,0.0,0.0,0.0
31,P49321,NASP,0.0,0.0,0.0,0.0,0.012405379111471495,0.024935957251294445,0.0,0.0,0.01946151665018646,0.0,0.0,0.0,0.0,0.002632732311854156,0.00821256697778425
