,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Staurosporine
0,Q02952,AKAP12,1.176509580551616,1.1630438464943582,1.176509580551616,1.169372724562529,1.1630438464943582,1.169372724562529,1.022719144082412,1.170726129926915,0.9777855492254467,1.1860698056787693,1.1608451979799987,1.169372724562529,1.0314243687592866,1.0246561809333692,1.0314243687592866
1,P35579,MYH9,1.048275566470168,1.1011044473497826,1.0475878289949536,1.0674591759199925,1.1157289015242444,1.066758852739692,1.0381998519996904,1.1011044473497826,1.0351500735041752,1.0475878289949536,1.016547100032195,1.066758852739692,0.9837222495330801,1.0674591759199925,1.066758852739692
2,P08238,HSP90AB1,1.163652085976902,1.158641490231947,1.158641490231947,1.1615673973114504,1.158641490231947,1.163652085976902,1.130027263584902,1.1370490367211805,1.151486374288884,1.1370490367211805,1.1712037281563403,1.1615673973114504,1.0962560101193413,1.151486374288884,0.8849344013414303
3,P07900,HSP90AA1,1.1539299808172976,1.1404819943827607,1.1635051017332445,1.1404819943827607,1.166162238363241,1.1539299808172976,1.12480809293975,1.126264226655764,1.1646545209791372,1.126264226655764,1.1635051017332445,1.1404819943827607,1.0800247617033396,1.152438078374496,0.8890405450288352
4,P49327,FASN,1.3377956322716003,1.3022813486765423,1.0646598709993034,1.3007025240002543,1.3259809375463583,1.0917638425829919,1.2885699451120012,1.3022813486765423,1.3259809375463583,1.0456309388974854,1.3377956322716003,1.0346217450720776,1.3007025240002543,1.3259809375463583,0.9665368089961557
5,P06733,ENO1,1.2200587667859772,1.1409606402152668,1.1667691594953418,1.1920668012083366,1.1560813469398115,1.1667691594953418,1.0070584604198836,1.1560813469398115,0.9929910122427843,1.1667691594953418,1.1782911938669307,1.1782911938669307,1.0521668454014559,0.9929910122427843,1.0298381136137094
6,P14618,PKM,1.1840595656206083,1.1642284337401239,1.2275363064920257,1.1869059208337527,1.1418014289786547,1.1840595656206083,1.0212306147344867,1.1642284337401239,0.9792107537434074,1.2275363064920257,1.1893216154727393,1.1893216154727393,1.0411227110053716,1.0015582349888457,1.0411227110053716
7,P13639,EEF2,1.1847600336525594,1.1761684623332123,1.1931338418310524,1.1847600336525594,1.1806834500972259,1.1847600336525594,1.007255311468222,1.1723916628374251,0.9927969489109507,1.1931338418310524,1.1761684623332123,1.1847600336525594,1.0408680988825683,1.0143791652312089,1.025075866343366
8,P04406,GAPDH,1.1870866855796292,1.1516875652651104,1.26216323953675,1.1965396635454522,1.1356185537213968,1.1870866855796292,1.01510524241934,1.1516875652651104,0.985119530677096,1.26216323953675,1.211680043120954,1.211680043120954,1.0546381864842538,0.9990589798508647,1.0546381864842538
9,P21333,FLNA,1.0823906552715559,1.083828873145759,1.0336901467823172,1.083828873145759,1.1105952667880985,1.0704326357713942,1.083828873145759,1.0823906552715559,1.1105952667880985,1.0336901467823172,1.083828873145759,1.0576166540931586,1.0593093656695285,1.107292107055038,0.9674078863117848
