,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Staurosporine
0,Q02952,AKAP12,0.03426140234079755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028283434521618432,0.0,0.01551081804773309,0.0,0.0,0.0
1,P35579,MYH9,0.0,0.01593375022617525,0.0,0.0,0.01988983643490151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023026358032913592,0.0
2,P08238,HSP90AB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01740769435425461,0.0,0.0,0.0,0.0
3,P07900,HSP90AA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008139859995437176,0.0,0.0,0.0,0.0
4,P49327,FASN,0.0,0.0,0.0,0.0,0.00036124702890800997,0.0,0.0,0.0,0.0,0.0,0.002790157155786852,0.0,0.0,0.0,0.0
5,P06733,ENO1,0.04470238671688234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02907207262923576,0.0,0.0,0.0,0.0
6,P14618,PKM,0.03626697114476657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028062384810760357,0.024311245121258148,0.022154992656548307,0.0,0.0,0.0
7,P13639,EEF2,0.010464790201029087,0.0,0.017793672314707007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,P04406,GAPDH,0.028386428330654002,0.0,0.011502081565419561,0.0,0.0,0.0,0.0,0.0,0.0,0.033131390104412066,0.03304264638538642,0.0,0.0,0.0,0.0
9,P21333,FLNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04161255234514522,0.0,0.0,0.0,0.0,0.0,0.0
10,P18206,VCL,0.0,0.0,0.01907110593946776,0.0,0.031805862494323364,0.0,0.0,0.0,0.0,0.0,0.0644162522533144,0.0,0.0,0.0,0.0
11,P11142,HSPA8,0.0,0.0048546529130323885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,P10809,HSPD1,0.00958802505242867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005698433379075909,0.0,0.0,0.0,0.0
13,O43707,ACTN4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008292796312455622,0.0,0.008438903364564489,0.0,0.0,0.0,0.0,0.0
14,P60709,ACTB,0.015153849029267393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04169815994058632,0.0,0.0,0.0,0.0
15,Q9Y490,TLN1,0.031110071007885827,0.0,0.0,0.0,0.039046081287531405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,P04075,ALDOA,0.03717220846526671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021544974953646115,0.0061340640757499,0.010074798028284286,0.0,0.0,0.0
17,P34932,HSPA4,0.0,0.006330257050256249,0.0,0.0,0.026557718397617322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
