,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Staurosporine
0,Q14204,DYNC1H1,1.066796695559187,1.105437602314302,1.0400554254429895,1.0784224773629176,1.0606829270451659,1.0697062255227123,1.0784224773629176,1.0606829270451659,1.0606829270451659,1.0400554254429895,1.0312822405132878,1.0784224773629176,0.9696666544963306,1.0972098589079209,1.0450241017779385
1,O75369,FLNB,1.0271945293288387,1.0048038334283325,1.0656963304797649,1.0183250271288007,1.0135555674756898,1.0271945293288387,1.0062982024365237,1.0214202020574523,1.0135555674756898,1.0656963304797649,0.9952191330600898,1.0183250271288007,1.045338044766437,1.0150629522783008,1.045338044766437
2,Q09666,AHNAK,1.0950350957335417,0.9695930124302456,1.0923312632759115,1.031360567970205,1.056890422177658,1.056890422177658,1.0838954841713222,1.0950350957335417,1.056890422177658,1.0950350957335417,1.04613885009311,1.031360567970205,1.1265357139287644,1.0419602579546705,1.1265357139287644
3,P21333,FLNA,1.0528391393648013,1.0493614259329391,1.0528391393648013,1.0506064462579772,1.0188610567222658,1.0380946341037067,1.0493614259329391,1.033443721667912,0.9687866249634718,1.0528391393648013,1.0322190400158602,1.0553345978578934,1.0506064462579772,1.0357816024137576,1.0506064462579772
4,Q13813,SPTAN1,1.0008385815114547,1.1006151003351925,1.0531723174868577,1.0476401134860387,1.0534205873883786,1.0534205873883786,1.096828300084884,1.0534205873883786,1.096828300084884,1.0359058370805683,1.0063608226192635,1.1006151003351925,0.9991621211182843,1.096828300084884,1.096828300084884
5,Q01082,SPTBN1,1.0170651683361969,1.0716216324867873,1.060589109549695,1.0403578971065919,1.0498741705170398,1.0498741705170398,1.0716216324867873,1.0498741705170398,1.0728738971494731,1.0476289352626653,1.0263683804760273,1.0695914762920637,0.9832211653024029,1.0728738971494731,1.0728738971494731
6,P49327,FASN,1.0392911536527905,1.0392911536527905,0.9918146214731985,1.0184728123182478,1.0276269678538688,1.018897442507425,1.0392911536527905,1.0276269678538688,1.0406496751870509,0.9918146214731985,1.0184728123182478,1.0098210500466098,1.0168912591307435,1.0642780921305561,1.0082529318983453
7,P08238,HSP90AB1,1.0760979711349803,1.1045381618947805,1.0552081897656944,1.0337401370474357,1.0048475902477392,1.0460215429517055,1.0956971812751108,1.0048475902477392,1.0519325610301102,1.0552081897656944,1.0552081897656944,1.0760979711349803,1.0105259362741843,1.0760979711349803,0.9951757955188567
8,P06733,ENO1,1.015001656528043,1.087171166586255,1.0336347626503946,1.0610506844569827,1.0569935354763786,1.068584355068913,1.0216731185179682,0.9960238303343737,1.068584355068913,1.015001656528043,1.068584355068913,1.0726859940868878,1.0039920427047329,1.0726859940868878,1.0105911400638479
9,P07900,HSP90AA1,1.043706274496877,1.0819076680621156,1.0402341340290173,1.0168093185283282,0.9935200884853568,1.0402341340290173,1.066746092664711,0.9935200884853568,1.0331470118715183,1.0402341340290173,1.039417898475994,1.043706274496877,1.006522174629123,1.043706274496877,1.006522174629123
10,P12270,TPR,1.0429470218526553,0.98946519208586,1.0429470218526553,1.0106469717160356,1.024689757752613,1.024689757752613,1.0464011382551375,1.0557423373121897,1.024689757752613,1.0557423373121897,1.0190428924313444,1.0106469717160356,1.0521996049768383,1.0162473123680489,1.0852507943400536
11,O43707,ACTN4,1.0331089082044016,1.05423868850268,1.05423868850268,1.0236085236672112,1.0313141740427627,1.0408860767824535,1.044510393267955,1.0313141740427627,1.044510393267955,1.0410835182448568,1.0408860767824535,1.0725546748316306,0.976935983707296,1.044510393267955,1.0349051616119966
12,P10809,HSPD1,1.0802238890065856,1.0605254202144683,1.0170466300252528,1.072749277668345,1.0684102167671095,1.0242794830589728,1.0476310676985905,1.0684102167671095,1.060865738716526,1.016720368394755,1.0684102167671095,1.0043586177094164,1.072749277668345,1.060865738716526,0.9956602973952103
13,Q9Y490,TLN1,1.0599128214442153,1.0556393628273202,1.0148144895535371,1.0599128214442153,1.0370252454567794,0.993677421767704,1.0556393628273202,1.065516394055619,1.0283885855920343,1.0156174202505812,1.0378457495112232,1.033029934260049,1.0378457495112232,1.0370252454567794,1.0063628075810038
14,P13639,EEF2,0.9986546575682462,1.0276927196849488,1.0276927196849488,1.0028222066307129,1.014663012785997,1.0013471548162902,1.0149699975465714,1.0131705443223538,1.0149699975465714,1.023270016365717,1.023270016365717,1.0160355400339796,1.0149699975465714,1.0031256089732856,1.0149699975465714
15,P12814,ACTN1,1.0265937659235918,1.0821591470015615,1.0519141655230337,1.043560882911855,1.0484186352957128,1.0484186352957128,1.0821591470015615,1.0484186352957128,1.0521270938861806,1.0645644659937208,1.0313725367603768,1.089040080164566,0.9740951418113608,1.0521270938861806,1.0521270938861806
16,P04406,GAPDH,1.0138094518928469,1.085228941180987,1.083940681269,1.0377196590090876,1.0215069485087058,1.0377196590090876,1.0221934882056891,1.0198782035285934,1.0221934882056891,1.0138094518928469,1.0154285050796374,1.085228941180987,0.9863786514644701,1.0377196590090876,1.0221934882056891
17,P14618,PKM,1.0079334942559115,1.0155709043503183,1.0472173385992822,1.0186644541206162,1.0155709043503183,1.0136583456422936,0.9997294810849744,1.0136583456422936,1.0059519198206235,1.0472173385992822,1.0186644541206162,1.0186644541206162,1.0269391328214403,1.000270592115311,1.0269391328214403
18,P11021,HSPA5,1.0515735671019713,1.0824038434710284,1.0546672902386625,1.0294121845288222,1.0218508680526268,1.0540036377985604,1.0515735671019713,1.0218508680526268,1.0462616903141286,1.0515735671019713,1.0462616903141286,1.0546672902386625,0.9786163825507448,1.0540036377985604,1.015335445017278
19,P55072,VCP,1.0094729932032696,1.0270011928302099,1.0311256634617694,1.0047000712495897,1.0042000332866041,0.9958175332131208,1.0094729932032696,1.0042000332866041,1.005744339676992,1.0180405562271342,1.0175338787215384,1.0270011928302099,1.006245146622049,1.006245146622049,1.006245146622049
