,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Staurosporine
0,Q14204,DYNC1H1,0.0,0.05472879351572549,0.0,0.0,0.0,0.025366984531847176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02878043102862069,0.0
1,O75369,FLNB,0.028387305169341744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023264054812850536,0.0,0.0,0.026646895828931077,0.0,0.0008758347266735987
2,Q09666,AHNAK,0.05296864800051795,0.0,0.0,0.0,0.0,0.0,0.0,0.0440971211691313,0.0,0.06811018618725755,0.0009086729412872791,0.0,0.09737102036380155,0.0,0.020137107170649038
3,P21333,FLNA,0.03719423705344793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02231072721328092,0.0,0.03289103657259551,0.0,0.0,0.0
4,Q13813,SPTAN1,0.0,0.0035540249494803063,0.0,0.0,0.005151863981760374,0.0,0.0,0.0,0.0,0.0,0.0,0.032388916019793136,0.0,0.0,0.011451419007710864
5,Q01082,SPTBN1,0.0,0.010108532771148204,0.0,0.0,0.008246092148006378,0.0,0.0,0.0,0.006694737410037444,0.0,0.0,0.0,0.0,0.0,0.0
6,P49327,FASN,0.0,0.004873725299111663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03972598147442293,0.0
7,P08238,HSP90AB1,0.0,0.05849020881146684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010269833166492676,0.0
8,P06733,ENO1,0.0,0.009565232018727249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158857167356135,0.0,0.0,0.0
9,P07900,HSP90AA1,0.0,0.049016446534389094,0.001961387953966942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074082091083334835,0.0
10,P12270,TPR,0.005659636653573056,0.0,0.0,0.0,0.0,0.0,0.0,0.03464912067345911,0.0,0.04358333979896575,0.0,0.0,0.044963789655235495,0.0,0.05064573930759905
11,O43707,ACTN4,0.0,0.006316011952997178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033246958994011307,0.019787685222256157,0.0,0.0,0.0
