,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Staurosporine
0,P49327,FASN,0.0,0.0024643325725689502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05372404490416295,0.0
1,Q09666,AHNAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02092101303898104,0.0,0.060453835439165576,0.036599259628457996,0.0,0.04983472802687834,0.0,0.0
2,P08238,HSP90AB1,0.0,0.012980161214046443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024930959650338282,0.0
3,P06733,ENO1,0.01861571477649332,0.0,0.0,0.0,0.055190063710083906,0.03897889932469574,0.0,0.0,0.019759431280631172,0.0,0.0,0.0,0.03389714741278874,0.024239146362973155,0.0797793704809309
4,P07900,HSP90AA1,0.0,0.026880055527773738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05082678236221495,0.0
5,O43707,ACTN4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01985609183581265,0.0,0.032248498201149826,0.0,0.0,0.010264479803707576,0.0,0.02986301956722377
6,P35579,MYH9,0.07451666037989124,0.0,0.0,0.03155193218517089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05568352817707137,0.015328554011512958,0.0,0.0
7,P12270,TPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007522963804800616,0.005525904022330249,0.024611883530009183,0.017423424479613293,0.0,0.0,0.0,0.021122975317752028
8,P13639,EEF2,0.009699857777446823,0.0,0.0,0.0,0.009515677360783101,0.012570016607838744,0.0,0.013414076777938693,0.01577158509843136,0.0038983994171555916,0.0,0.0,0.022136319785094595,0.0025707000812940856,0.053296955296344026
9,P07814,EPRS1,0.0,0.03477681937994316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039482641585671045,0.0
10,P11142,HSPA8,0.0,0.00719148072407032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023047596472310757,0.0
11,P04406,GAPDH,0.014593049309896015,0.0,0.0,0.0,0.0,0.012921178558093167,0.0,0.0,0.0,0.0,0.0,0.002705858520454761,0.0,0.015610985953688445,0.0034900664087748993
12,P26038,MSN,0.0,0.0,0.007845592546628926,0.0,0.006685454996018147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03113366769622638,0.049450145362582985,0.05117104056964621
13,P35580,MYH10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05880856114032172,0.010887782915365522,0.021700553357615383,0.021443279678322248,0.0,0.007445065539535282
14,P10809,HSPD1,0.0,0.0,0.0,0.0,0.03385924673129846,0.0,0.0,0.0,0.051559145267028456,0.0,0.0,0.0,0.0,0.0,0.0
15,P18206,VCL,0.012159544254158001,0.0,0.0,0.0,0.0,0.006908815292135068,0.0,0.005182782205692808,0.0,0.017023823885310842,0.0,0.0,0.0,0.0025765971421213753,0.0
