,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Staurosporine
0,P49327,FASN,1.1746387276728747,1.2145558294476353,1.0107071028044627,1.2145558294476353,1.203382133495867,1.0354391023032736,1.1991771728132252,1.16898582533425,1.203382133495867,0.9941908287395697,1.203382133495867,1.0450534063415915,1.1746387276728747,1.2647113574471789,1.00584311491567
1,Q09666,AHNAK,1.0486217679971734,1.0292469899044667,1.042793745837729,1.0233048153597444,1.0280871528002875,1.0221516743689218,1.0292469899044667,1.0547109542135444,1.0276245145244844,1.0547109542135444,1.0292469899044667,1.0233048153597444,1.0983398063402072,0.9783283881204828,1.042793745837729
2,P08238,HSP90AB1,1.0917972373188107,1.1270282069316777,1.0125675148662652,1.1270282069316777,1.0948377860531335,1.0153874165572638,1.089845806127245,1.0861481160527993,1.0948377860531335,1.0073283399663995,1.0948377860531335,1.0452418376506272,1.089845806127245,1.160901958445069,0.9927249738981393
3,P06733,ENO1,1.0644259105769673,0.9700163468053432,1.0663469286733895,1.0716473157481774,1.0827675323479302,1.1064871414099553,0.9700163468053432,1.0827675323479302,1.0827675323479302,1.0644259105769673,1.03091046176016,1.0716473157481774,1.1151145991619469,1.1064871414099553,1.136910887783764
4,P07900,HSP90AA1,1.1045509171777126,1.117679677567692,1.041410266219264,1.117679677567692,1.1212376779000166,1.0571431434057266,1.1100400721840307,1.1044031099415341,1.1212376779000166,1.0412709082496274,1.117679677567692,1.0537885329340226,1.1045509171777126,1.1931830916250294,0.9603648695813429
5,O43707,ACTN4,1.0137567955445659,1.0127178541833763,1.0256543195652592,0.9990305484208003,1.0174504912105005,1.0056481310701229,1.0234115853103123,1.035609991713454,1.0174504912105005,1.035609991713454,1.0174504912105005,0.9990305484208003,1.0256543195652592,1.0009703923275741,1.0361968938499846
6,P35579,MYH9,1.144049000753988,1.1240954260879878,1.0857275985055785,1.1547776582316014,0.9509777759050924,1.0515492846804446,1.138871051093283,1.0887093068670022,0.9509777759050924,1.1240954260879878,1.1080347501878964,1.153953354399817,1.144049000753988,1.138871051093283,1.138871051093283
7,P12270,TPR,1.0017302287765604,1.053440374784821,1.053440374784821,1.0036108026749673,1.053440374784821,1.0037745864669234,1.0435956355455176,1.0589479089972986,1.0437659446434295,1.0589479089972986,1.0435956355455176,1.0036108026749673,1.041640137749492,0.9982727597442342,1.0766923702397515
8,P13639,EEF2,1.0234308698815275,0.9959354933957866,1.0234308698815275,1.0091760133922842,1.0347442752385054,1.0347442752385054,1.002705818701984,1.0347442752385054,1.0347442752385054,1.0234308698815275,1.004081094238699,1.0091760133922842,1.059424831450428,1.0286239738760643,1.0630154748109162
9,P07814,EPRS1,1.8575249803886265,1.9808130039479943,0.9914246687991749,1.9808130039479943,1.900078445493242,1.038587118882348,1.8738377850079087,1.8575249803886265,1.900078445493242,0.9914246687991749,1.900078445493242,1.0827168087162815,1.8453080593099367,1.9892201746376716,1.0086495035585625
10,P11142,HSPA8,1.0398542123740515,1.0457359762170142,1.005473380960933,1.0457359762170142,1.0239777155054905,0.9945564138598058,1.0398542123740515,1.0239777155054905,1.0334587330701082,1.005473380960933,1.020107231147848,1.0307344713322704,1.0239777155054905,1.0601302092509584,1.009288341657424
11,P04406,GAPDH,1.0363728048437206,1.0266358337856014,1.016132775881708,1.0331110474062228,0.9841233584186776,1.071474582037409,1.0363728048437206,1.0363728048437206,1.0358719691785598,1.0363728048437206,1.0331110474062228,1.071474582037409,1.0225417444509108,1.0647589179031638,1.082918579971989
12,P26038,MSN,1.0203027793259958,0.990797042047686,1.0463520694363515,1.0463285877042694,1.0463520694363515,1.0463285877042694,0.990797042047686,1.0092884390664856,1.0463520694363515,1.0203027793259958,1.0110720715236166,1.0463285877042694,1.049974344033466,1.0463520694363515,1.0816320673490865
13,P35580,MYH10,1.0815851543697668,1.0940663833449888,1.0766343297410057,1.096719492335554,1.0020872559040293,1.0066952812378405,1.0990973680038814,1.096719492335554,1.0020872559040293,1.0990973680038814,1.0815851543697668,1.1239918047355755,1.0815851543697668,0.9979170916587036,1.096719492335554
14,P10809,HSPD1,1.164688295905226,1.1552540014660395,1.034425646041359,1.164688295905226,1.2070647308686657,1.01969862146082,1.1552540014660395,1.1765073051229222,1.2184526775492175,0.9886905828436742,1.181509337732163,1.0114387831264637,1.181509337732163,1.2184526775492175,1.0300463062866132
15,P18206,VCL,1.0245678589268499,1.0041442838618448,1.0125816072859917,1.0008639924659857,1.0125816072859917,1.0245678589268499,1.0120476549444488,1.0149920716053114,1.0149920716053114,1.0247646167071316,0.9991367533725967,1.016030660212643,1.009273753238154,1.0205513864526097,1.0205513864526097
16,P04075,ALDOA,1.0120459654612217,0.9917874374223513,1.008280567254404,1.0139513863126015,1.01708747874459,1.0208857661390105,1.0139513863126015,1.0208857661390105,1.01708747874459,1.0120459654612217,1.0139513863126015,1.0139513863126015,1.0277387712247232,1.0099236260378253,1.045657906432402
17,P14618,PKM,1.0102557992832943,1.0140362854469365,1.008755755050151,1.0155441819566393,1.0317462149392491,1.0350675429069836,1.0279622789301783,1.0332804465429244,1.0282048504885468,1.0279622789301783,1.0155441819566393,1.0155441819566393,1.0297338159975353,0.9913202427779799,1.0332804465429244
