,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Staurosporine
0,Q15149,PLEC,0.0,0.0,0.01039783930430241,0.0,0.0,0.0014254282143956539,0.0,0.0,0.00017586752704908153,0.0,0.00017586752704908028,0.0,0.0,0.0,0.0
1,Q09666,AHNAK,0.032762337789004246,0.0,0.0,0.0,0.0,0.0,0.0,0.10045755883631154,0.024256020348882055,0.02430433136764694,0.0,0.0,0.0,0.0,0.023879362488150157
2,P49327,FASN,0.02326298254958297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03438402397500703,0.0,0.0
3,P21333,FLNA,0.01035130755511321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021990616988191013,0.0
4,P35579,MYH9,0.05932046161461377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03560467610063773,0.003357143446064609,0.0
5,O75369,FLNB,0.013646658171166086,0.0,0.0,0.0,0.017395806224781506,0.0,0.0,0.0,0.010316422679364928,0.0,0.0,0.0,0.0,0.0,0.0
6,Q14204,DYNC1H1,0.05546484763183931,0.0,0.0,0.0,0.0,0.0,0.011601093947883227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Q13813,SPTAN1,0.0,0.0,0.0,0.0,0.011903461397271569,0.0,0.0,0.0,0.033582998036153104,0.0,0.0,0.0,7.667244343088908e-05,0.0,0.013220509084249576
8,Q01082,SPTBN1,0.0,0.0,0.0,0.0,0.0,0.013900788208663032,0.0,0.020293204664207105,0.033003370508564875,0.0,0.0,0.0,0.0,0.0,0.0
9,P06733,ENO1,0.0,0.0,0.012963074972202821,0.0,0.0,0.0,0.0,0.0,0.0,0.004992815659109142,0.02236541074246557,0.0,0.006136307536532066,0.0,0.0
10,O43707,ACTN4,0.0,0.0,0.0,0.0,0.016930787601322595,0.0,0.0,0.0,0.026959886543305826,0.0,0.0,0.0,0.0,0.0,0.009908640547807194
11,P08238,HSP90AB1,0.012945408250357397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015134513319838786,0.0,0.0,0.0,0.0
12,P07900,HSP90AA1,0.012059842495307971,0.025589255368186438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Q7Z6Z7,HUWE1,0.008292173025810926,0.0,0.004957992467002963,0.0,0.0,0.009312516625697966,0.0,0.0,0.0,0.0,0.0023974387035941196,0.0,0.0039925273324384215,0.0,0.0
14,P14618,PKM,0.0,0.0,0.0,0.0,0.0,0.004827216824082244,0.0,0.022275512879291786,0.004864271971082208,0.0,0.0,0.0,0.0,0.0,0.015180632644760833
15,P04406,GAPDH,0.0,0.0,0.004395087185289027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013629337713765594,0.04384128178943746,0.0,0.0,0.0
16,Q9Y490,TLN1,0.010471397779239545,0.0,0.0,0.0,0.026936545601995432,0.0,0.0,0.0,0.012775603256986233,0.0,0.0,0.0,0.029915146444539006,0.009131807932140405,0.015196222721616429
17,P13639,EEF2,0.0,0.0,0.012276611966486394,0.0,0.024432023985356682,0.0,0.0,0.0,0.010487544395913906,0.0,0.0,0.0,0.0,0.0,0.0
18,P11142,HSPA8,0.0,0.026456015224986314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012184322829456525,0.0
19,P04075,ALDOA,0.0,0.0,0.016486655087085002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02881056631232381,0.020482026051301918,0.0,0.0,0.0
20,P55072,VCP,0.0,0.008387556847021147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0221597571787068,0.0,0.0,0.0,0.0
21,Q00610,CLTC,0.001802939543732389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00479391732143989,0.0,0.0007578235259581012,0.0,0.0
22,P12814,ACTN1,0.0,0.0,0.0,0.0,0.0007454952064044223,0.0,0.0,0.00021012853737984024,0.022581186364208545,0.0,0.0,0.0,0.0,0.0,0.0
23,Q7Z406,MYH14,0.0005197208549265198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014634743010927116,0.0,0.0
24,Q15075,EEA1,0.009327991612849406,0.0,0.0,0.0,0.0,0.004472211760123153,0.0,0.026975834418862997,0.055384559458578494,0.007708241107727859,0.0,0.0,0.0,0.0,0.0
25,P29401,TKT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003249617087100942,0.0,0.004852833372791664,0.0,0.002147637339690687,0.0,0.0,0.0
26,P15924,DSP,0.05572234745982986,0.0,0.0,0.0,0.0,0.0,0.0,0.03648063450074533,0.0,0.11782018420061934,0.0,0.05978377162910357,0.017047956469005702,0.0,0.09044992596256281
27,P60709,ACTB,0.0,0.0,0.0,0.0,0.0,0.0,0.022487378637744304,0.0,0.0,0.0,0.003054755694244752,0.0,0.026437540274497455,0.0,0.0
28,P00558,PGK1,0.0,0.04678329139005727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03463227701320833,0.0,0.0,0.0
29,Q5T4S7,UBR4,0.04376264804709081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02279853563875632,0.0,0.0,0.0,0.0
30,P0DMV9,HSPA1B,0.012380164043963877,0.023943085129408355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,P12270,TPR,0.0,0.0,0.0,0.0,0.0,0.03449277763377424,0.0,0.02989883311477727,0.045327483723145295,0.01351633533221488,0.0,0.0,0.0,0.0,0.012173151242167588
32,P18206,VCL,0.0,0.0,0.006517240723669689,0.0,0.0,0.0,0.0,0.0,0.006297012209315877,0.0,0.0,0.005043976764877149,0.0005320627077924633,0.0,0.01716826684771766
33,P35580,MYH10,0.03766327130455903,0.0,0.0,0.020205093850278247,0.0,0.0,0.0014887416802765183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,P38646,HSPA9,0.0,0.0,0.0,0.0,0.0,0.0,0.00643110348076484,0.0,0.0,0.0,0.009960613717385956,0.0,0.0,0.0,0.0
35,Q86UP2,KTN1,0.008095469662291296,0.0,0.0,0.0,0.0,0.013656697642351896,0.0,0.03213660162834033,0.04107282853041835,0.0035106754546562584,0.0,0.0,0.0,0.0,0.0
36,Q9C0C2,TNKS1BP1,0.0,0.0,0.0,0.0,0.006176974590113134,0.016580073508613683,0.0,0.007380414998912916,0.07319252960530544,0.0012034404087997745,0.0,0.0,0.0,0.0,0.0
37,P31948,STIP1,0.003616638234674131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Q86VP6,CAND1,0.0,0.0,0.0,0.0,0.029149355307665905,0.014779102158146751,0.0,0.010327191100812271,0.029045330007439904,0.0,0.0,0.0,0.0,0.0,0.0
39,P33176,KIF5B,0.01448225551807507,0.0,0.0,0.0,0.0,0.0,0.020080340011175375,0.0024146486544974356,0.0,0.0,0.0,0.0,0.005249280696411377,0.002234711585382765,0.0
40,Q71U36,TUBA1A,0.016483334016257255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06434273528904834,0.0,0.0,0.0,0.0,0.0
41,P46940,IQGAP1,0.04837099185102664,0.02236699222452347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,P07814,EPRS1,0.024994777018392624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014353959862079761,0.0,0.005445790393463795,0.0,0.0
43,Q13263,TRIM28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03127045318151787,0.0,0.0,0.014287100343696256,0.0
44,P34932,HSPA4,0.0,0.0,0.0,0.003970708018296133,0.03540882357288818,0.0,0.0,0.0,0.018265314892937402,0.0,0.008893209462264883,0.0,0.0,0.0,0.0
45,P11413,G6PD,0.0027679483306937594,0.0,0.0,0.022589959494917274,0.0,0.0,0.0,0.0,0.0,0.0,0.02825357376803391,0.0,0.0,0.0,0.0
46,P06744,GPI,0.0,0.014420371185072379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03186399539557594,0.0,0.0,0.0,0.0
47,P22314,UBA1,0.025521607335042207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Q14247,CTTN,0.016422854478621803,0.0,0.0,0.0,0.04043934827748731,0.0,0.0,0.0,0.061268899193017416,0.0,0.0,0.0,0.00740836056455068,0.0,0.007040034148829592
49,Q9UM54,MYO6,0.0,0.1217710393292916,0.0,0.03502110418116271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,P68371,TUBB4B,0.007279610120359728,0.0,0.0,0.0,0.0,0.0,0.0035457097160964133,0.0,0.0,0.0,0.0038425570472056265,0.0,0.006172929326326163,0.0,0.0
51,P11021,HSPA5,0.009957395511670953,0.028369400335830762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,P68104,EEF1A1,0.005007518644707661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020036360538263444,0.0,0.0,0.0,0.0
53,Q14980,NUMA1,0.0,0.0,0.0,0.0,0.0,0.03393514158732251,0.0,0.04195343273099749,0.02540414817655973,0.05328775697485946,0.0,0.0,0.0,0.0,0.030689066817557852
54,P50395,GDI2,0.0,0.01880931643318496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018134017384247456,0.0,0.0,0.0,0.0,0.0
55,Q9BQE3,TUBA1C,0.016459837594946382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016973278555158795,0.0009571537409721065,0.0
56,P07437,TUBB,0.03867711099961678,0.027652874473474316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,P07237,P4HB,0.0,0.01373908589131856,0.0,0.0,0.030893577380992757,0.0,0.0,0.0,0.043426824129162635,0.0,0.0,0.0052489799517536646,0.0,0.0,0.0
58,P78371,CCT2,0.0,0.008225692011902264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009261210620354317,0.0
59,Q02790,FKBP4,0.014578639479548652,0.0,0.005237517900352971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Q92945,KHSRP,0.0013769650859446507,0.0,0.0,0.0,0.0,0.0,0.0,0.09154254604098312,0.017509132546706562,0.010231378170967122,0.0,0.0,0.0,0.0,0.008389610022801645
61,P11586,MTHFD1,0.03570436753539577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02704902375010471,0.0,0.0
62,Q13439,GOLGA4,0.010589639929468899,0.0,0.0,0.0,0.0,0.014615460000774991,0.0,0.011119825162952835,0.009362807865017453,0.0252515460917175,0.0,0.0,0.017813595809361805,0.0,0.003942811616995416
63,O60437,PPL,0.016930202774471513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,P14625,HSP90B1,0.0,0.01408522494583312,0.01106621485988305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006480982596457971,0.0
65,Q32MZ4,LRRFIP1,0.0,0.0,0.0,0.0,0.0,0.007749010846595732,0.0,0.0,0.056735912996686136,0.0,0.0,0.0,0.0,0.0,0.0
66,Q05639,EEF1A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07413233213800549,0.0,0.042689893497192447,0.0,0.0
67,Q13228,SELENBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011822730624942857,0.0,0.039560739669259784,0.0017719303324764644,0.02488001543710614,0.0,0.0,0.0
68,P49588,AARS1,0.012260223950791299,0.0,0.0,0.0,0.0,0.0,0.00819515238160118,0.0,0.0,0.0,0.0,0.0,0.0,0.001520348967859914,0.0
69,P13667,PDIA4,0.0,0.0,0.02560649935210249,0.0,0.0,0.0,0.0024043357804898087,0.0,0.0,0.0,0.0025512808237449416,0.0014919659122613277,0.0,0.0,0.0
70,P10809,HSPD1,0.019029392461355047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01600753418684692,0.0,0.0,0.0,0.0
71,Q16531,DDB1,0.0,0.0,0.019154809416265715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,P49321,NASP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021638446931973813,0.0,0.028071767374346645,0.0035584703296261825,0.0,0.0,0.0
73,P58107,EPPK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0474531025487787,0.0,0.01769778980570601,0.0020756604951058266,0.0
74,P50851,LRBA,0.034520975684593225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030795155716137047,0.0,0.046038983250872106,0.0,0.0,0.0
75,P53396,ACLY,0.01232652830686827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044223255908871835,0.0,0.052250014617945414,0.0,0.0
76,O14745,SLC9A3R1,0.0,0.0,0.0,0.0,0.013932589205141146,0.014512191224554636,0.0,0.005690078884300686,0.03265741032078755,0.0,0.0,0.0,0.0,0.009628844094108389,0.006856378106624737
77,P63104,YWHAZ,0.0,0.0,0.006459680234133793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041240111270904316,0.0,0.013090535745367976,0.0,0.0
78,P27816,MAP4,0.0,0.0,0.0,0.0,0.023096277590086246,0.010676884343909183,0.0,0.0007925238199151009,0.07086834867176647,0.0,0.0,0.0,0.0,0.0,0.0
79,P30622,CLIP1,0.0,0.0,0.0,0.0,0.022173827528872175,0.006515488399375772,0.0,0.035406670524081904,0.053603877617539174,0.0,0.0,0.0,0.0,0.0,0.0
80,P55786,NPEPPS,0.0,0.0,0.013796124845882721,0.0,0.0,0.00023378227463977108,0.0,0.0,0.0,0.0,0.01831472397986684,0.0,0.0,0.0,0.0
81,P42704,LRPPRC,0.029455022819256188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011706831777118046,0.0,0.007546870327147709,0.0,0.0
82,P49368,CCT3,0.0,0.0,0.013927414691854479,0.0,0.0,0.0037023085849852942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Q08378,GOLGA3,0.012625101281459376,0.0,0.0,0.0,0.0,0.027617891716337793,0.0,0.007489967118793333,0.031715038743602014,0.0016046957543177122,0.0,0.0,0.0,0.0,0.0
84,P31150,GDI1,0.0,0.014546721331977302,0.0,0.0,0.002741471584735259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Q99798,ACO2,0.004590814097910692,0.016663724310616888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,P50990,CCT8,0.0,0.0,0.017318586667109743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015368060450723607,0.0,0.0016379846516225705,0.0002483072840812218,0.0
87,Q99832,CCT7,0.001758588785755702,0.012106718656452822,0.0,0.0050793034424125695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029485172265403684,0.0,0.0,0.0
88,P60174,TPI1,0.0,0.0,0.00133965582858811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029907293594283783,0.0,0.0,0.0
89,P48643,CCT5,0.0,0.0,0.0,0.0,0.0004811087213940869,0.0066777286213641485,0.0,0.0,0.0019252820168981196,0.0,0.0,0.0,0.0,0.011363719036186694,0.0
90,Q13885,TUBB2A,0.0,0.0,0.0,0.0,0.0,0.007191831078281197,0.0,0.0745829328432436,0.0,0.007125218752808964,0.0,0.0,0.0,0.0029543799800881574,0.017225753845431686
91,O60701,UGDH,0.0,0.0,0.03697804507758457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002423833760525962,0.0,0.0,0.0
92,Q99460,PSMD1,0.0008253470043291483,0.006671372761093702,0.0,0.0,0.0,0.0,0.02320296111137017,0.0022627465034557323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Q10567,AP1B1,0.011614977882532056,0.0,0.0012884804258147678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,P68032,ACTC1,0.0,0.0,0.0,0.0,0.0,0.0,0.02707279009499803,0.05438430900996277,0.01324223076979452,0.0,0.0,0.0,0.006871474939281003,0.0,0.0
95,P50991,CCT4,0.0,0.0,0.006150903229527163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015386929124997268,0.0,0.006118312724457759,0.0,0.0
96,P68366,TUBA4A,0.04427652581786101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033510492412189563,0.0,0.0
97,P40926,MDH2,0.0,0.0,0.0,0.0033751633707643294,0.0,0.0,0.0,0.0,0.0,0.0,0.061475234331819464,0.0,0.0,0.0,0.0
98,P15311,EZR,0.0,0.0,0.011898880564969436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075842493244197475,0.0,0.0,0.0,0.0
99,P09467,FBP1,0.0,0.0,0.0,0.0,0.0,0.006322192108160367,0.0,0.014337574030750422,0.0,0.0,0.0,0.012358134305624885,0.0,0.0,0.0
100,P18669,PGAM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074215405714327404,0.0,0.010432913633238037,0.011509696769268087,0.0,0.0,0.0,0.008891556625957418
101,Q5JRX3,PITRM1,0.0,0.0,0.0,0.0,0.010306401094124649,0.0,0.0,0.0,0.0017188072146717345,0.0,0.05114475252185417,0.0,0.02154150217720047,0.0,0.0
102,Q06830,PRDX1,0.029465690489751124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029117204797015645,0.03807160575197805,0.018616324494840835,0.007230886771959894,0.0,0.0
103,P49736,MCM2,0.02036442473404008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05066612067432931,0.0,0.0,0.0,0.0
104,Q9UPN3,MACF1,0.044535134027190004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010141397458715833,0.0,0.0,0.0,0.0
105,Q92598,HSPH1,0.0003618230797280131,0.0,0.006227077052057629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016192597563429674,0.0,0.03391749193517058,0.0,0.0092020661569076
106,Q96AE4,FUBP1,0.0,0.0,0.0,0.0,0.0,0.04311399628611813,0.0,0.07181556389675338,0.056414176315704584,0.0,0.0,0.0,0.0,0.0,0.0
107,P31939,ATIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028119226762178123,0.0,0.057302042189046956,0.0,0.0
108,P11216,PYGB,0.003108283335480741,0.0,0.008382462172466826,0.0,0.0,0.0,0.0,0.0,0.0,0.024176728605918678,0.0,0.0,0.0,0.0,0.0
109,Q13509,TUBB3,0.0,0.006376204246379724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014868264545027165,0.0,0.0,0.0,0.0
110,P23528,CFL1,0.0,0.0,0.007242038686385038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03855002736929559,0.01781236696569961,0.010714838930388406,0.0,0.0
111,P33991,MCM4,0.024526207753283468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010356599872292257,0.0,0.0,0.0,0.0
112,P67936,TPM4,0.0,0.017246910425830562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,O15027,SEC16A,0.0,0.0,0.0,0.0,0.00209748665109736,0.03427566045300162,0.0,0.0,0.017119535383404962,0.0,0.0,0.0,0.0,0.0,0.0
114,Q3LXA3,TKFC,0.0,0.022448984500310548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04325426035885928,0.0,0.0,0.0,0.0
115,P45974,USP5,0.0,0.005828206850461018,0.0,0.0,0.017128171818548234,0.0,0.0,0.0,0.014362897085364966,0.0,0.0,0.0,0.0,0.0,0.0
