,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Staurosporine
0,Q15149,PLEC,1.0195655391151182,1.0146537206686186,1.025851370579194,1.00270419207124,1.0076809951885646,1.0196898338513085,1.0146537206686186,0.9973031008620259,1.0196898338513085,1.0238878039296482,1.0196898338513085,1.0195655391151182,1.0033756996463712,1.0195655391151182,1.0033756996463712
1,Q09666,AHNAK,1.0828134342693454,1.009391558475625,1.0493588969811833,1.0415718998521792,1.1297918305032135,1.1513607072204646,1.0971829182109671,1.1513607072204646,1.1406263973310802,1.164006716412823,0.9906958222537465,1.0415718998521792,1.1297918305032135,1.0828134342693454,1.1406263973310802
2,P49327,FASN,1.2034597297411158,1.1524675868388348,1.0229352063636112,1.1842033892949677,1.1634587028416152,1.0111070340497643,1.1524675868388348,1.1500056611126324,1.1634587028416152,0.9890149769750116,1.1524675868388348,1.0132716063673153,1.1842033892949677,1.1738257799170055,1.0320501393660466
3,P21333,FLNA,1.0569183363160515,1.0522538292192494,1.0379273178954431,1.0376091607572964,1.0280712880369696,0.990492655381378,1.0522538292192494,1.0280712880369696,1.0537544514070454,1.033346624029195,1.0376091607572964,1.0189650952621159,1.0537544514070454,1.0682048872895251,1.0095986018341159
4,P35579,MYH9,1.1469215159335775,1.1196737577493956,1.037553389869701,1.1469215159335775,1.1196737577493956,0.9812315262979374,1.1622363260020183,1.1622363260020183,1.1196737577493956,1.0543434212001188,1.0997894583691779,1.0191274670646526,1.1688799337500182,1.1469215159335775,1.0831506313506414
5,O75369,FLNB,1.0327591730318604,1.0211985294409678,1.0373194121791294,1.0016104924942975,1.0304172652400305,1.0327591730318604,1.0211985294409678,1.0304172652400305,1.0373194121791294,1.0361232728681888,0.9983920970213811,1.0178828874746975,1.0162489581633318,1.0373194121791294,1.0429763921993718
6,Q14204,DYNC1H1,1.2553693780863218,1.2225771937329153,1.0135855713127888,1.2225771937329153,1.1911965149818928,0.9865965225854656,1.2225771937329153,1.1996784784185104,1.1911965149818928,1.0681900696423265,1.2225771937329153,1.0402872975183275,1.2195160583005689,1.2195160583005689,1.020802848770899
7,Q13813,SPTAN1,1.002442627137807,1.0015861215180566,1.0211466601161203,0.9994290883930341,1.0206970075431008,1.0211466601161203,1.0015861215180566,1.000571237733218,1.0280410016479398,1.0027086075154505,1.0027086075154505,1.002442627137807,1.0016925863418114,1.0217323049843259,1.020111956095139
8,Q01082,SPTBN1,1.040744505272212,1.0090534782816416,1.0300681790723167,1.0009891723092559,1.0300681790723167,1.049423453999909,1.0270529397202086,1.0484425000249395,1.0547693760578507,1.0484425000249395,0.9990118051856905,1.019511993849976,1.0218359246405662,1.040744505272212,1.049423453999909
9,P06733,ENO1,1.0421732124028553,1.04786544358309,1.0892967000318097,1.0408334127228895,1.0259708840239352,0.9859474974116702,1.0421732124028553,1.0259708840239352,1.0142527899560785,1.0892967000318097,1.0737421422437907,1.0905646454354772,1.0408334127228895,1.0289455667526226,1.0408334127228895
10,O43707,ACTN4,1.0011140036815738,1.0227089128631894,1.0347816430018466,0.998887235941684,1.0197175984223055,1.0174207538290152,1.0227089128631894,1.0197175984223055,1.0347816430018466,1.0227089128631894,1.0033740355100669,0.998887235941684,1.013429270340192,1.0324508676718513,1.0379389425554184
11,P08238,HSP90AB1,1.05435256302811,1.0587095629196532,1.038791614788759,1.05435256302811,1.0227803358212635,1.00353833934585,1.0511062579493804,1.0227803358212635,1.0227803358212635,1.0313313539916242,1.0868461788746142,1.0345165849680318,1.022525955651085,1.05435256302811,0.9964741363562091
12,P07900,HSP90AA1,1.0558291402055058,1.0635952507968507,1.0679362662441816,1.0383851323422513,1.0054884262888582,1.0085890984931547,1.0558291402055058,1.0054884262888582,1.0085890984931547,1.0558291402055058,1.0635952507968507,1.041587249674513,1.0018226457047563,1.041587249674513,0.9945415321098072
13,Q7Z6Z7,HUWE1,1.0242227368885415,0.997134451067589,1.030720677666267,1.0028737839008,1.0043345598433275,1.0242227368885415,0.997134451067589,1.003765307702505,1.0167901531633599,1.030720677666267,1.0158870609605029,1.0233130432169462,1.0185981692583792,1.0185981692583792,1.0185981692583792
14,P14618,PKM,1.0178749421452618,1.0279018550345758,1.0130159339452902,1.0328322646905492,1.0363204974648703,1.0363204974648703,1.0385789328371935,1.0438960334325373,1.0363204974648703,1.0287784870413286,0.9871513038352728,1.0328322646905492,1.0235383879023965,1.0328322646905492,1.0454848723699508
15,P04406,GAPDH,1.0334970513982364,1.0371167325098014,1.0741509588801756,1.0800984602677788,1.0218176317241146,1.0118203833799986,1.0334970513982364,1.018251346594315,0.9883177058160141,1.0741509588801756,1.058305545086512,1.1153506422683805,1.0741509588801756,1.0269698009881325,1.0800984602677788
16,Q9Y490,TLN1,1.045610316460387,0.9728176507362271,1.045610316460387,1.0279855911728448,1.048299118061217,1.048299118061217,0.9917222323382094,1.048299118061217,1.048299118061217,1.045610316460387,1.0279418750710387,1.0279855911728448,1.0617253390647003,1.0456547839620545,1.0617253390647003
17,P13639,EEF2,0.9973711725486105,1.0084463769291783,1.019504909245531,1.0143250753781794,1.0256420030408975,1.019504909245531,1.0026357564001696,1.0171067956397393,1.0256420030408975,1.009632413932252,1.015518026337265,1.0143250753781794,1.015518026337265,1.008480582065577,1.019504909245531
18,P11142,HSPA8,1.110545601696273,1.124279310589132,1.0335840157509715,1.102321460826984,1.0820275874130114,0.9952909433686243,1.110545601696273,1.0820275874130114,1.110477944813685,1.0312121242653032,1.1130999681502034,1.0235754871356595,1.110477944813685,1.110477944813685,1.0047313367641402
19,P04075,ALDOA,1.0101463204103285,1.0321737001781788,1.0477763776746873,1.027686387186624,1.0320187970528276,0.9899555933577949,1.02425437822046,1.0144047867473553,1.02425437822046,1.0477763776746873,1.0477763776746873,1.0691232564133817,1.0320187970528276,1.0199545633465674,1.0320187970528276
20,P55072,VCP,1.0123604563109168,1.0203992313392123,1.0203992313392123,1.020090830625921,1.019112677961138,0.999851562206111,1.0123604563109168,1.0113897162078478,1.0001484598309387,1.0123604563109168,1.0353029343187268,1.0078352102010406,1.020090830625921,1.0011084104844028,1.0078352102010406
21,Q00610,CLTC,1.31630122180549,1.3026274961421602,1.040183189045907,1.3163387068895502,1.3026274961421602,0.9823378931583022,1.2761255417115274,1.2748218937880968,1.2761255417115274,1.0179796656167996,1.3455354223631848,1.051102027784337,1.3163387068895502,1.3026274961421602,1.0190206636445573
22,P12814,ACTN1,1.0064079943877329,1.018403864375708,1.01014481954846,0.9936593481659047,1.0204864620925942,1.01014481954846,1.018403864375708,1.01843106766634,1.0223155100738228,1.01014481954846,1.006381112245156,0.9960818690520867,1.0064079943877329,1.0204864620925942,1.01014481954846
23,Q7Z406,MYH14,1.202664953134379,1.1830067874347807,0.9940951274960388,1.1804326412509811,1.1729218290674588,1.0059399471344705,1.1995713604112477,1.1804326412509811,1.1729218290674588,1.031448720106391,1.1830067874347807,1.0106193054881811,1.1995713604112477,1.1783779416065134,1.0123814898047407
24,Q15075,EEA1,1.0452382827792388,1.0155081179076801,1.0431244981524959,0.9847287110420815,1.038501916866426,1.0815793897769475,1.0514952285809211,1.0753038712354825,1.0998968971569714,1.0753038712354825,1.0200283491614235,1.0220953318150936,1.0431244981524959,1.0452382827792388,1.0815793897769475
25,P29401,TKT,1.0054536783293506,1.0243030930535408,1.0243030930535408,1.0054536783293506,1.0076479992883283,1.0076479992883283,1.0134885059834684,1.0076479992883283,1.0061504297405108,1.0277543711384194,1.0076479992883283,1.0149969976351743,0.9960562447979133,1.0039593699880742,1.0023275897520254
26,P15924,DSP,1.053575624197237,1.042309529776636,1.053575624197237,1.0525163685348204,0.9865256553550799,1.0235846541704434,1.0661633407474704,1.0939197063057438,0.9865256553550799,1.1248394473857335,1.0136583823966243,1.0525163685348204,1.0661633407474704,1.0525163685348204,1.166428448356881
27,P60709,ACTB,1.124582808008283,1.131988200660895,1.0223690347956538,1.1383649830718854,1.09680432061383,0.9781203909407088,1.1416829836759779,1.131988200660895,1.09680432061383,1.048262318412239,1.124582808008283,1.0043023570164908,1.1383649830718854,1.09680432061383,1.0611091578642156
28,P00558,PGK1,1.0190701096907782,1.061745127231035,1.061745127231035,1.0441552441090405,1.0441552441090405,1.0161045228194465,1.0317682100721353,1.040611256566901,1.007469732947503,1.040611256566901,1.0190701096907782,1.0771762753050294,1.010410118455288,0.9925856502649967,1.0352820810396037
29,Q5T4S7,UBR4,1.0893720513935825,1.040046675812226,1.017757026715043,1.0680312510456051,1.0306696891625122,1.017531940552473,1.040046675812226,1.03214190116104,1.0304417472479674,1.0270165345404008,1.0680312510456051,1.05465050726987,1.03214190116104,1.0306696891625122,0.9827701324609487
30,P0DMV9,HSPA1B,1.1288663090085422,1.1290833944762686,1.0390250470473665,1.1049633478954488,1.1004096015724394,0.9785467297666232,1.1290833944762686,1.1004096015724394,1.0984204928681534,1.0502490927138424,1.1288663090085422,1.0280107966269934,1.1004096015724394,1.1049633478954488,1.0219236032176955
31,P12270,TPR,1.0485650073217907,1.041731650981875,1.0440043539204862,1.03988291884019,1.0440043539204862,1.099322636471132,1.063546065154134,1.065866359699611,1.0723878434781247,1.065866359699611,0.9616467218399235,1.0462823762537152,1.042151588476206,1.0485650073217907,1.0723878434781247
32,P18206,VCL,1.0090885562628313,1.0179341794180086,1.0298537796739615,0.9940111633808285,1.0060249188739514,1.0061543053939088,1.0179341794180086,1.0060249188739514,1.0298537796739615,1.0279436585726012,1.0179341794180086,1.0179341794180086,1.0278114700484533,1.0298537796739615,1.0610128214083863
33,P35580,MYH10,1.101781626490747,1.1039997835944289,1.026505371728924,1.1137278902823755,1.0512915016855966,0.9741790228683542,1.1039997835944289,1.1039997835944289,1.0512915016855966,1.0719058907429295,1.0977882674367099,1.0758050990154582,1.0977882674367099,1.0830219685468028,1.057487734497263
34,P38646,HSPA9,1.051286342880097,1.051286342880097,1.0079367609453522,1.020460978008431,1.0197487799134743,1.005832739395071,1.051286342880097,1.0197487799134743,1.02188191132268,1.0369399238089165,1.0554314050502578,1.0065352184516314,1.043446392376133,1.02188191132268,0.9942010841697407
35,Q86UP2,KTN1,1.0494546570840406,1.0189970395369052,1.04358228899563,1.0024808645469117,1.04358228899563,1.0820704973094009,1.0567601354865896,1.0822564917476254,1.089145509046914,1.0820704973094009,0.9975252749108254,1.024731063351089,1.026667629744664,1.0494546570840406,1.0820704973094009
36,Q9C0C2,TNKS1BP1,1.0556483997115995,1.0388277665400365,1.0556603368173767,1.0246141774090858,1.0556603368173767,1.1074697633110666,1.0396946780093457,1.0565412952237254,1.0973065114524594,1.0565412952237254,0.975977125876467,1.0388160197721596,1.0412164388271077,1.0556603368173767,1.0973065114524594
37,P31948,STIP1,1.1030162977377767,1.0801822019601226,1.10673043473712,1.032181891188025,1.0183824593777102,1.0580804712245926,1.0724178247188894,1.0183824593777102,1.0580804712245926,1.0801822019601226,1.0724178247188894,1.0724178247188894,1.0121668619792485,1.1030162977377767,0.9819493558550264
