,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,SCIO-469,SL-327,5-Fluorouracil,Olaparib,Bafetinib,OTS964,Abemaciclib,CCT137690,Belumosudil,Parthenolide
0,Q00536,CDK16,0.0923193561569555,0.0,0.0,0.0,0.09235090607205235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,O95630,STAMBP,0.0038963758943057324,0.0,0.027740368984073116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Q8IV48,ERI1,0.0,0.03854076259230453,0.015161570650172103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,O75874,IDH1,0.0,0.0,0.01168181600218339,0.0,0.0,0.017235861141164155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,P62875,POLR2L,0.020451840274740007,0.0,0.0,0.0,0.034566976177035774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Q4V328,GRIPAP1,0.0,0.005978858343025324,0.0,0.004768269776026923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Q6IA86,ELP2,0.002058639290250408,0.0,0.0,0.0,0.02414354844420477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Q9UQE7,SMC3,0.0,0.0,0.0,0.0,0.0003278042632934852,0.0,0.0,0.0,0.03372507168777174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Q8WWW0,RASSF5,0.0,0.0,0.06353935247040692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03700352139364946,0.0
9,Q96L92,SNX27,0.0,0.00810994055707285,0.0,0.0,0.07560761669449081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,P49006,MARCKSL1,0.0,0.0,0.0,0.0,0.0,0.03272128798177759,0.0,0.05001463613748204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
