,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Parthenolide
0,P49327,FASN,0.0,0.0,0.0,0.0,0.0,0.01661319314509514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039732615953825906,0.0
1,Q09666,AHNAK,0.0,0.0,0.0,0.006108407699057752,0.0,0.0,0.0,0.0,0.0,0.0,0.024580259800910456,0.0,0.0,0.0,0.0
2,Q14204,DYNC1H1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008989074617257628,0.0,0.019464054146233936,0.0
3,P08238,HSP90AB1,0.06409967201327459,0.0,0.0,0.04927947770124784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,P06733,ENO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005765565708168996,0.0,0.023184417001551,0.0,0.0,0.0,0.0,0.0
5,P12270,TPR,0.0,0.0,0.008922666914235858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014749115355414311,0.0,0.0,0.0
6,P11142,HSPA8,0.0,0.0,0.0,0.0,0.0,0.0,0.02246751591809467,0.0,0.0,0.023729204094691946,0.0,0.0,0.0,0.0,0.0
7,P14618,PKM,0.0,0.0,0.0,0.0,0.0,0.0,0.002407497188931799,0.0,0.0,0.0418690355375146,0.0,0.0,0.0,0.0,0.0
8,P07900,HSP90AA1,0.05597912855664252,0.0,0.0,0.06283459007325057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,P35579,MYH9,0.0,0.0,0.021685204888997077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05578143543006068,0.0,0.0,0.0
10,Q7Z6Z7,HUWE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00990523259986506,0.0,0.004505890191903315,0.0
11,P04075,ALDOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04228458420580715,0.0,0.0,0.0,0.0,0.041647609523325455
12,P78371,CCT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017215047851003657,0.0,0.0,0.0,0.0,0.03323574195350418,0.0,0.0
13,P18206,VCL,0.0,0.017492097406792487,0.027212210294498183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,P13639,EEF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02085809112652533,0.0,0.0,0.0,0.0,0.023224420878008575
15,P04406,GAPDH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01920460207579879,0.0,0.03441725877857463,0.0,0.0,0.0,0.0,0.0
16,P35580,MYH10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10149798191353608,0.0,0.0,0.1345124460447199
17,P38646,HSPA9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028579086621425408,0.0,0.0,0.0,0.0,0.009791461505573704
18,Q9UM54,MYO6,0.0,0.0,0.0,0.0,0.0,0.0,0.01214236917333273,0.0,0.0,0.023962368086322572,0.0,0.0,0.0,0.0,0.0
19,Q99832,CCT7,0.013280911126535106,0.0,0.0,0.0,0.0,0.0,0.013720807595821461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,P60709,ACTB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016801345053640192,0.0,0.03886447057233808,0.0,0.0,0.0,0.0,0.0
21,Q9Y490,TLN1,0.0,0.0,0.0,0.0,0.031080757188579975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031857389708128486,0.0
22,P48643,CCT5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003108638337710582,0.0,0.0,0.0,0.0,0.016692005456536436,0.0,0.0
23,P26038,MSN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010848834552057429,0.0,0.0,0.0,0.0,0.0,0.0,0.029784273791549423
24,P49368,CCT3,0.015084345730227888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011300474282709923,0.0,0.0
25,P34932,HSPA4,0.0,0.0,0.0,0.0,0.038239148607986495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030870173275480313,0.0
26,P0DMV9,HSPA1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004964877390790665,0.0,0.0013644527780510849,0.0,0.0,0.0,0.0,0.0
27,O00410,IPO5,0.0,0.0,0.0,0.0,0.0,0.0,0.008031052951997804,0.0,0.0,0.06697463813476989,0.0,0.0,0.0,0.0,0.0
28,Q5T4S7,UBR4,0.0,0.0,0.0,0.03504068374264073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04479463846705288,0.0
29,P49321,NASP,0.0,0.0,0.0,0.0,0.0,0.0,0.007236412296300015,0.0,0.0,0.03484915351999498,0.0,0.0,0.0,0.0,0.0
30,Q15075,EEA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005809815663448851,0.01265392268831459,0.0,0.0,0.0
31,P00558,PGK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068172639932914175,0.0,0.02313755916673789,0.0,0.0,0.0,0.0,0.0
32,P10809,HSPD1,0.0,0.0,0.0,0.05658910585235059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012305504205279883,0.0,0.0
33,Q14315,FLNC,0.0,0.013304954312320467,0.0,0.0,0.0,0.0,0.0,0.0,0.01858199596820305,0.0,0.0,0.0,0.0,0.0,0.0
34,P46821,MAP1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028312656005340445,0.038791719254221424,0.0,0.0,0.0
35,O43707,ACTN4,0.0,0.0,0.0,0.0,0.0,0.0,0.009910536241743761,0.0,0.0,0.008250708247146629,0.0,0.0,0.0,0.0,0.0
36,P50990,CCT8,0.0,0.0,0.0,0.0,0.0,0.004735650980741822,0.008942920856037885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Q16531,DDB1,0.0,0.0,0.0,0.0,0.0,0.0,0.012690022111917087,0.0,0.0,0.03259507104928039,0.0,0.0,0.0,0.0,0.0
38,P50395,GDI2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04351171880022062,0.0,0.0,0.0,0.0,0.0033816456502363855
