,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,SCIO-469,SL-327,5-Fluorouracil
0,P49327,FASN,0.07088584281034155,0.0,0.0,0.0,0.0,0.028933848353695786,0.0,0.0,0.0
1,Q09666,AHNAK,0.0,0.053785167575499074,0.0,0.0,0.0,0.0,0.0,0.0,0.0311403948618188
2,P08238,HSP90AB1,0.06459359013910397,0.0,0.0,0.0,0.008249901342596646,0.0,0.0,0.0,0.0
3,P35579,MYH9,0.0,0.0,0.0,0.0,0.0,0.021170004805635086,0.0,0.0,0.008045457698115039
4,P07900,HSP90AA1,0.09446766477984253,0.0,0.0,0.0,0.05473694943283341,0.0,0.0,0.0,0.0
5,P35580,MYH10,0.0,0.0,0.0,0.010115833842945378,0.06065311213674476,0.0,0.0,0.0,0.0
6,Q14204,DYNC1H1,0.0,0.0,0.0,0.0,0.0,2.995899163557754e-05,0.0,0.0,0.009255480950009793
7,P06733,ENO1,0.0,0.0,0.0,0.10709962977279669,0.0,0.0,0.03301979376693312,0.0,0.0
8,P13639,EEF2,0.0,0.0018410590274744662,0.0,0.02229984658750193,0.0,0.0,0.0,0.0,0.0
9,Q7Z6Z7,HUWE1,0.0,0.0,0.01796937313538075,0.0,0.0,0.046750972158929746,0.0,0.0,0.0
10,P12270,TPR,0.0,0.006408724596648586,0.0,0.0,0.0,0.00030741208452565033,0.0,0.0,0.0
11,O43707,ACTN4,0.0,0.02381976164049358,0.0,0.004705768620387674,0.0,0.0,0.0,0.0,0.0
12,Q9Y490,TLN1,0.0,0.0,0.0,0.0,0.05982256198941444,0.0,0.0,0.0,0.015977119066054327
13,P11142,HSPA8,0.012545205602922209,0.0,0.0,0.0,0.012741467316040426,0.0,0.0,0.0,0.0
14,P04075,ALDOA,0.0,0.00405262403448398,0.0,0.05568007036677459,0.0,0.0,0.0,0.0,0.0
15,P04406,GAPDH,0.0,0.0,0.0,0.07555420241625879,0.0,0.0,0.030144472422678367,0.0,0.0
16,P14618,PKM,0.0,0.013775719717622509,0.0,0.011390774426763974,0.0,0.0,0.0,0.0,0.0
17,P18206,VCL,0.0,0.0,0.020039525827068853,0.0,0.0,0.0,0.0,0.04637915863011502,0.0
18,O75369,FLNB,0.0,0.0,0.0,0.0,0.0219549488703376,0.0,0.0,0.002345364317800874,0.0
19,P10809,HSPD1,0.008492605418784199,0.0,0.0,0.0,0.018640816255893856,0.0,0.0,0.0,0.0
20,Q5T4S7,UBR4,0.013510878477419795,0.0,0.0,0.0,0.0,0.05237062928941052,0.0,0.0,0.0
21,P78371,CCT2,0.022359184532952284,0.0007743454703495155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,P55072,VCP,0.0,0.017390602630621387,0.0,0.015294288016743705,0.0,0.0,0.0,0.0,0.0
23,Q99832,CCT7,0.03160889500058835,0.0,0.0,0.0,0.0002896828921522825,0.0,0.0,0.0,0.0
24,P38646,HSPA9,0.0,0.0010865411242562215,0.0,0.0,0.001489589300723378,0.0,0.0,0.0,0.0
25,P07814,EPRS1,0.0,0.0,0.0,0.0,0.0,0.0,0.07811584457578875,0.0,0.032343971482444236
26,P21333,FLNA,0.0,0.0,0.0,0.0,0.0036964250989634864,0.0,0.0,0.0,0.004057544559816646
27,P60709,ACTB,0.014736219645541181,0.0,0.0,0.03523313358199605,0.0,0.0,0.0,0.0,0.0
28,P0DMV9,HSPA1B,0.03755207849507328,0.0,0.0,0.0,0.007560936436974217,0.0,0.0,0.0,0.0
29,Q92945,KHSRP,0.036964501805361906,0.0,0.0,0.0,0.05121559764646459,0.0,0.0,0.0,0.0
30,P34932,HSPA4,0.019279449497262888,0.0,0.0,0.0,0.05788215891155932,0.0,0.0,0.0,0.0
31,P26038,MSN,0.0,0.04072949113675016,0.0,0.006164898039615221,0.0,0.0,0.0,0.0,0.0
32,P49321,NASP,0.0,0.04632370236658902,0.0,0.0,0.0,0.0,0.0,0.03618046848931606,0.0
33,Q15075,EEA1,0.0,0.054366355162347196,0.0,0.0,0.0,0.0,0.0,0.031800136042410235,0.0
34,P00558,PGK1,0.0,0.0,0.0,0.054769781613888895,0.0,0.0,0.00779153783328724,0.0,0.0
35,P50990,CCT8,0.00633368524742162,0.0,0.0,0.0,0.006106756507220335,0.0,0.0,0.0,0.0
36,Q14315,FLNC,0.0,0.0,0.0,0.0,0.02068484802649477,0.0,0.0,0.0,0.0066064005174418985
37,P68104,EEF1A1,0.0,0.0,0.0,0.0035391585305032426,0.0,0.0,0.07015329263246681,0.0,0.0
38,P48643,CCT5,0.0,0.0,0.0,0.03070906356932646,0.0,0.0,0.017183793366325875,0.0,0.0
39,P50395,GDI2,0.0,0.013488549237393522,0.0,0.048791363350427885,0.0,0.0,0.0,0.0,0.0
40,P49368,CCT3,0.02221980719513984,0.006040671481186078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,P05455,SSB,0.0,0.0031257586732063554,0.0,0.0,0.013305455488701125,0.0,0.0,0.0,0.0
42,P78527,PRKDC,0.0,0.0,0.0,0.0,0.0,0.0,0.06909318500732163,0.013645620656190793,0.0
43,P31948,STIP1,0.11877791047604844,0.0,0.0,0.0,0.0947125395374141,0.0,0.0,0.0,0.0
44,P13796,LCP1,0.0,0.019459837675207106,0.0,0.014570701294749812,0.0,0.0,0.0,0.0,0.0
45,P15311,EZR,0.0,0.05161707700434055,0.0,0.0,0.004224022993213063,0.0,0.0,0.0,0.0
46,Q16658,FSCN1,0.0,0.0,0.0,0.011476558247851446,0.0,0.0,0.0,0.0,0.0011146540977010943
47,P14625,HSP90B1,0.0,0.011054743137978664,0.0,0.0,0.0,0.02218037499135854,0.0,0.0,0.0
