ID	Is_kinase
Q59H18	yes
Q99558	yes
Q12852	yes
Q02779	yes
Q9Y2U5	yes
Q99759	yes
O43283	yes
Q6ZN16	yes
Q9NYL2	yes
P41279	yes
Q16584	yes
O43318	yes
P80192	yes
Q13233	yes
Q5TCX8	yes
Q99683	yes
Q9Y6R4	yes
O95382	yes
Q96KB5	yes
P45985	yes
P46734	yes
O14733	yes
P52564	yes
Q13163	yes
Q02750	yes
P36507	yes
Q9UEE5	yes
O94768	yes
Q9UHD2	yes
Q9UBE8	yes
O43293	yes
Q9UIK4	yes
P53355	yes
O15111	yes
P49674	yes
Q9HCP0	yes
Q14164	yes
O14920	yes
P48729	yes
Q15418	yes
Q15349	yes
P51812	yes
Q96S38	yes
Q13164	yes
P28482	yes
Q16539	yes
P31152	yes
P53778	yes
O75582	yes
Q9UK32	yes
P48730	yes
P78368	yes
Q9Y6M4	yes
P23443	yes
O75676	yes
Q9UBS0	yes
Q8TD08	yes
O15264	yes
P45984	yes
P53779	yes
Q15759	yes
P27361	yes
Q16659	yes
P45983	yes
Q8IY84	yes
Q9UHY1	yes
O96013	yes
Q9P286	yes
P51955	yes
Q7Z2Y5	yes
Q9NSY1	yes
O00238	yes
P51451	yes
Q00534	yes
Q96Q40	yes
O00311	yes
Q00526	yes
O94921	yes
Q00536	yes
Q07002	yes
Q14004	yes
Q15131	yes
P50750	yes
Q8IVW4	yes
P50613	yes
P11802	yes
O76039	yes
P06493	yes
Q00535	yes
Q8IZL9	yes
P49336	yes
Q9UQ88	yes
P24941	yes
Q9NYV4	yes
Q8NEV4	yes
Q13177	yes
Q9NQU5	yes
O75914	yes
Q32MK0	yes
Q96RG2	yes
O95747	yes
Q99640	yes
Q9P1W9	yes
Q16816	yes
P15735	yes
Q86V86	yes
Q9NYY3	yes
Q9BXM7	yes
Q16513	yes
Q9H4B4	yes
Q6P5Z2	yes
P53350	yes
P04049	yes
Q9BRS2	yes
Q13546	yes
O14730	yes
O43353	yes
Q9Y572	yes
P57078	yes
P07949	yes
O15530	yes
P16234	yes
Q13153	yes
P09619	yes
O00444	yes
Q99570	yes
P11309	yes
Q16512	yes
Q6ZWH5	yes
Q96PY6	yes
Q9H1R3	yes
Q15746	yes
Q8WXR4	yes
Q9HC98	yes
Q8TD19	yes
Q8NG66	yes
Q86SG6	yes
Q16620	yes
P51956	yes
Q8TDX7	yes
P51817	yes
Q13308	yes
Q13882	yes
Q13523	yes
P37023	yes
Q9Y243	yes
Q07912	yes
Q04771	yes
Q13131	yes
P42684	yes
P00519	yes
Q2M2I8	yes
P54646	yes
Q9H0K1	yes
Q9Y2K2	yes
Q15772	yes
O75716	yes
Q13188	yes
Q13043	yes
Q9Y6E0	yes
Q9BXU1	yes
O00506	yes
Q9P289	yes
Q9NRP7	yes
Q15208	yes
P12931	yes
Q9Y2H1	yes
O94804	yes
Q8N2I9	yes
Q15831	yes
Q8TDR2	yes
Q9UEW8	yes
Q9C0K7	yes
Q6J9G0	yes
O75116	yes
P34925	yes
Q01973	yes
Q01974	yes
Q9H2G2	yes
Q9H5K3	yes
O00141	yes
Q9NRH2	yes
Q9HBY8	yes
P57059	yes
P08922	yes
Q13464	yes
Q04912	yes
Q9UL54	yes
P35590	yes
P42680	yes
Q96S53	yes
P37173	yes
Q02763	yes
Q13470	yes
Q8WZ42	yes
Q86UE8	yes
Q9H3Y6	yes
Q96SB4	yes
P78362	yes
Q7RTN6	yes
Q9H2K8	yes
Q7L7X3	yes
Q15569	yes
P36897	yes
Q96BR1	yes
Q9UKI8	yes
Q9UKE5	yes
Q5TCY1	yes
Q96RU8	yes
Q96PF2	yes
Q96RU7	yes
O75962	yes
Q9BVS4	yes
Q15835	yes
Q5VST9	yes
P04629	yes
Q9H093	yes
O60285	yes
P51957	yes
Q16288	yes
Q09013	yes
Q8N568	yes
Q6XUX3	yes
P41240	yes
P07333	yes
O14757	yes
O96017	yes
P49760	yes
P49761	yes
Q8NI60	yes
P68400	yes
P19784	yes
O14936	yes
P19525	yes
Q9NZJ5	yes
Q9NR20	yes
Q9P2K8	yes
O00418	yes
P54753	yes
Q76MJ5	yes
O15197	yes
Q5JZY3	yes
Q05397	yes
P54764	yes
P54756	yes
O75460	yes
P54762	yes
P21709	yes
P29323	yes
Q15375	yes
P29322	yes
Q86YV6	yes
O00750	yes
Q8TCG2	yes
P54886	yes
Q9BZ23	yes
O43252	yes
Q7Z7A4	yes
Q15078	yes
Q92772	yes
P42773	yes
P42771	yes
Q00537	yes
Q9BWU1	yes
Q00532	yes
Q5MAI5	yes
Q4G0N4	yes
Q58A45	yes
Q9UJ70	yes
Q9NSY0	yes
Q9BTU6	yes
Q8IZE3	yes
Q9NPI5	yes
O43930	yes
Q86YV5	yes
P42336	yes
Q496M5	yes
P48736	yes
P42356	yes
Q504Y2	yes
P42338	yes
Q9H477	yes
Q9H999	yes
Q15118	yes
Q6A1A2	yes
P00558	yes
Q8N165	yes
Q8TE04	yes
Q16654	yes
Q9NVE7	yes
O95340	yes
Q8N8J0	yes
A4QPH2	yes
Q9UBF8	yes
Q8NEB9	yes
O00329	yes
Q15120	yes
Q15119	yes
P07205	yes
O95544	yes
Q6P3R8	yes
Q96S44	yes
P78527	yes
Q8IV42	yes
O00764	yes
Q9H792	yes
Q3MIX3	yes
Q9UGJ0	yes
Q9UGI9	yes
P54619	yes
Q9Y478	yes
O43741	yes
Q9NY57	yes
Q86UX6	yes
Q9BYT3	yes
Q8WU08	yes
Q8NE28	yes
Q9Y6S9	yes
Q9UPE1	yes
Q96LW2	yes
Q9UHJ6	yes
A0A0B4J2F2	yes
Q96Q15	yes
Q8TEA7	yes
P0C264	yes
Q96KG9	yes
Q6P3W7	yes
P0C263	yes
Q52WX2	yes
Q3LXA3	yes
Q92519	yes
Q9Y4A5	yes
Q05823	yes
O00443	yes
O75747	yes
Q9NWW6	yes
Q9Y6T7	yes
P49619	yes
O75912	yes
P52429	yes
P52824	yes
Q9UPQ8	yes
Q13319	yes
Q9Y259	yes
Q8NEV1	yes
P67870	yes
Q53R41	yes
P04626	yes
P16591	yes
P21802	yes
P22607	yes
Q96C11	yes
O14965	yes
O14874	yes
Q13535	yes
Q96GD4	yes
Q13705	yes
Q9UQB9	yes
Q13315	yes
P36896	yes
Q8NER5	yes
P31751	yes
Q86TB3	yes
P10398	yes
P36894	yes
Q06187	yes
O43683	yes
O60566	yes
P15056	yes
Q8IWQ3	yes
P27037	yes
P51813	yes
Q8TDC3	yes
Q13873	yes
Q8NCB2	yes
Q96L96	yes
Q9NVF9	yes
Q9HBU6	yes
P29317	yes
P29320	yes
P54760	yes
P00533	yes
Q92630	yes
Q9BQI3	yes
Q13627	yes
Q9Y463	yes
O43781	yes
Q9UF33	yes
P21860	yes
Q15303	yes
O15075	yes
Q16760	yes
Q9C098	yes
Q5KSL6	yes
O14578	yes
Q16832	yes
Q08345	yes
P23743	yes
Q86XP1	yes
Q13574	yes
Q14289	yes
Q7L8L6	yes
P36888	yes
Q969Z0	yes
Q14296	yes
P22455	yes
Q9NYY8	yes
Q14CZ7	yes
P07332	yes
P11362	yes
P42685	yes
P09769	yes
Q9H479	yes
P06241	yes
P42772	yes
P55273	yes
P35790	yes
P49759	yes
Q5EBM0	yes
P21127	yes
Q9HAZ1	yes
Q96D53	yes
P08069	yes
P57058	yes
Q8TF76	yes
Q9UPZ9	yes
Q8IVS8	yes
P32298	yes
P34947	yes
Q14410	yes
P32189	yes
Q01415	yes
Q8WTQ7	yes
Q8IU85	yes
Q96NX5	yes
Q13554	yes
P52333	yes
Q9Y6K8	yes
P54819	yes
O60229	yes
P10644	yes
Q9UIJ7	yes
P30085	yes
P14616	yes
P06213	yes
O43187	yes
Q9Y616	yes
P23458	yes
O60674	yes
P00568	yes
Q96M32	yes
P27144	yes
Q9Y3D8	yes
P22694	yes
P22612	yes
P31321	yes
P13861	yes
P31323	yes
Q13557	yes
Q16774	yes
P51617	yes
Q08881	yes
Q96MA6	yes
Q13555	yes
Q03426	yes
Q5TCS8	yes
Q16566	yes
Q14012	yes
Q6P2M8	yes
Q9UQM7	yes
P04183	yes
Q96RR4	yes
P07948	yes
Q56UN5	yes
Q12851	yes
Q8IVH8	yes
Q13976	yes
P05771	yes
Q15139	yes
O94806	yes
P30613	yes
O95835	yes
Q96Q04	yes
O95819	yes
Q6ZMQ8	yes
P53667	yes
Q9BZL6	yes
P23919	yes
P53671	yes
P29376	yes
Q6VAB6	yes
Q13418	yes
Q9NWZ3	yes
Q8N4C8	yes
P00540	yes
Q9UQ07	yes
Q12866	yes
Q8NB16	yes
P08581	yes
P42679	yes
Q92918	yes
Q38SD2	yes
Q5S007	yes
P20794	yes
P49137	yes
Q16644	yes
Q8IW41	yes
Q7KZI7	yes
P27448	yes
O60307	yes
Q9P0L2	yes
Q9Y4K4	yes
Q9Y2H9	yes
Q6P0Q8	yes
O15021	yes
Q14680	yes
Q8IWU2	yes
Q96L34	yes
P10721	yes
Q8N5S9	yes
P24723	yes
Q8IVT5	yes
P46019	yes
Q93100	yes
P17252	yes
P11801	yes
Q02156	yes
P43405	yes
P17612	yes
Q8N752	yes
P14618	yes
P06239	yes
Q96QS6	yes
Q9HA64	yes
Q9NRM7	yes
Q13237	yes
P46020	yes
P41743	yes
Q04759	yes
Q05513	yes
P50053	yes
P05129	yes
Q05655	yes
O14976	yes
Q9H2X6	yes
Q86Z02	yes
Q8N0W3	yes
P43250	yes
Q9H422	yes
Q8NE63	yes
Q9BUB5	yes
Q9HBH9	yes
Q6DT37	yes
Q9Y5S2	yes
O15146	yes
P42345	yes
Q5VT25	yes
Q86TW2	yes
P31749	yes
Q7Z695	yes
Q16671	yes
P55263	yes
Q8NFD2	yes
P25098	yes
P35626	yes
Q9UM73	yes
Q96QP1	yes
Q6IQ55	yes
Q9BZX2	yes
Q8IYT8	yes
P35916	yes
Q6SA08	yes
Q8TAS1	yes
P17948	yes
P35968	yes
Q96C45	yes
P43403	yes
P08631	yes
Q14409	yes
Q6ZS86	yes
P51570	yes
Q96GX5	yes
P49840	yes
P49841	yes
Q8IWB6	yes
Q99986	yes
Q9H4A3	yes
Q9BXA7	yes
Q9BXA6	yes
P29597	yes
Q86Y07	yes
Q9Y3S1	yes
O75191	yes
Q8IV63	yes
Q96J92	yes
P07947	yes
P30291	yes
P0C1S8	yes
Q9BYP7	yes
O75385	yes
Q9BX84	yes
Q96QT4	yes
Q96PN8	yes
P33981	yes
Q9HA47	yes
P30530	yes
P42681	yes
Q06418	yes
Q6PHR2	yes
Q9NWZ5	yes
D3DSX2	yes
Q541P7	yes
Q5JY90	yes
Q499G7	yes
B7Z6U2	yes
A8MPP7	yes
A8K869	yes
A8K8B7	yes
B6D4Y6	yes
H3BR70	yes
H3BVG6	yes
A8K0I1	yes
B2RA70	yes
B4DGP5	yes
B7Z340	yes
Q9BRS0	yes
