Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,# Protein Pathway Groups,# Razor Peptides,"Abundances (Normalized): F7: 126, Sample","Abundances (Normalized): F7: 127N, Sample","Abundances (Normalized): F7: 127C, Sample","Abundances (Normalized): F7: 128N, Sample","Abundances (Normalized): F7: 128C, Sample","Abundances (Normalized): F7: 129N, Sample","Abundances (Normalized): F7: 129C, Sample","Abundances (Normalized): F7: 130N, Sample","Abundances (Normalized): F7: 130C, Sample","Abundances (Normalized): F7: 131N, Sample","Abundances (Normalized): F7: 131C, Sample","Abundance: F7: 126, Sample","Abundance: F7: 127N, Sample","Abundance: F7: 127C, Sample","Abundance: F7: 128N, Sample","Abundance: F7: 128C, Sample","Abundance: F7: 129N, Sample","Abundance: F7: 129C, Sample","Abundance: F7: 130N, Sample","Abundance: F7: 130C, Sample","Abundance: F7: 131N, Sample","Abundance: F7: 131C, Sample","Found in Sample: [S67] F7: 126, Sample","Found in Sample: [S69] F7: 127C, Sample","Found in Sample: [S68] F7: 127N, Sample","Found in Sample: [S71] F7: 128C, Sample","Found in Sample: [S70] F7: 128N, Sample","Found in Sample: [S73] F7: 129C, Sample","Found in Sample: [S72] F7: 129N, Sample","Found in Sample: [S75] F7: 130C, Sample","Found in Sample: [S74] F7: 130N, Sample","Found in Sample: [S77] F7: 131C, Sample","Found in Sample: [S76] F7: 131N, Sample",# Protein Groups
FALSE,High,Master Protein,P49327,Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3,0,FALSE,992.556,58,126,500,125,2511,273.3,6.44,1768.2,126,0,1,78784.6,79874.6,78483.3,88187.2,71409.7,80930.3,79788.9,74476.6,69644.2,112895.7,111416.7,33703.4,64925.9,65577.7,82187.9,54181.5,67165.5,60622.8,53722.6,54694.5,112895.7,95055.6,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q09666,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,0,FALSE,856.436,56,184,271,184,5890,628.7,6.15,875.02,184,0,0,41852.4,44693.8,44129,43135.7,41967.6,45326.7,43899.9,44148.3,47367.4,47069.1,47489.2,17904.1,36329.3,36872.6,40201.2,31842.5,37617.4,33354.7,31845.8,37199.6,47069.1,40515.6,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q14204,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5,0,FALSE,838.481,38,169,278,169,4646,532.1,6.4,950.56,169,0,0,53635.1,52219.5,53202.9,55686.1,53486.4,50794,51930.5,52215.3,53861.7,53791.4,53809,22944.6,42446.6,44454.4,51897.8,40582.3,42154.8,39456.3,37664.8,42299.9,53791.4,45907.3,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P08238,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,0,FALSE,826.624,72,80,685,30,724,83.2,5.03,2396.02,80,0,67,98385.2,111900,111042.4,126845.5,112881.2,116471.4,114231.3,105435,108458.8,161702.7,164606.6,42088.3,90957.7,92782.9,118216.3,85647.6,96661.6,86791.9,76054.1,85177.3,161702.7,140434.8,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P06733,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2,0,FALSE,793.025,96,57,628,52,434,47.1,7.39,2437.1,57,0,7,108769,118261.9,131210,117450.2,145460.3,139405.9,131001.2,129856,115529.2,73989.3,72788.5,46530.4,96129,109634.2,109460.2,110366.7,115695.4,99533.5,93669.8,90729.9,73989.3,62099.8,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P12270,Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,0,FALSE,735.156,53,133,269,131,2363,267.1,5.02,963.1,133,0,2,57642,57385.4,56557.8,55641.8,57102.8,55916.4,57074.3,60377.5,59605.5,41483.6,43665.3,24658.8,46645.7,47257.6,51856.5,43326.2,46406,43364.5,43552.5,46810.7,41483.6,37253.2,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,0,FALSE,728.427,77,68,419,56,646,70.9,5.52,1521.98,68,0,17,83587.4,92241.9,99783.1,92168.5,107337.5,92971.8,92877.7,95423.3,88664.4,77574.7,82865.9,35757.9,74978.7,83375.1,85898.3,81441.4,77158.9,70567.6,68832.3,69631.8,77574.7,70697.4,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P14618,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,0,FALSE,716.124,84,59,414,56,531,57.9,7.84,1496.01,59,0,3,76708.6,87989.3,93643.9,83337.6,99614,89307.2,91376.4,91136,84195,60906.1,61509.1,32815.2,71522,78245.4,77668.2,75581.2,74117.6,69426.9,65739.7,66121.9,60906.1,52476.7,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,0,FALSE,711.219,66,71,600,41,732,84.6,5.02,2075.2,71,0,4,33436.8,35193.7,35150.4,40086.1,35598.9,37127.7,35679.7,32365.3,34537.2,44275.5,44874.5,14304,28607.1,29370.4,37359,27010.4,30812.9,27109.1,23346.3,27123.5,44275.5,38284.8,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,0,FALSE,703.271,56,121,239,96,1960,226.4,5.6,872.21,121,0,27,47108.1,46843.5,47878.1,46007.6,43404.1,45274,47418.3,58233.4,50902.6,56467.3,59115.2,20152.4,38076.6,40005.2,42877.7,32932.5,37573.6,36028,42005.9,39976,56467.3,50434.4,High,High,High,High,High,High,High,High,High,High,High,1
