Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,# Protein Pathway Groups,# Razor Peptides,"Abundances (Normalized): F1: 126, Sample","Abundances (Normalized): F1: 127N, Sample","Abundances (Normalized): F1: 127C, Sample","Abundances (Normalized): F1: 128N, Sample","Abundances (Normalized): F1: 128C, Sample","Abundances (Normalized): F1: 129N, Sample","Abundances (Normalized): F1: 129C, Sample","Abundances (Normalized): F1: 130N, Sample","Abundances (Normalized): F1: 130C, Sample","Abundances (Normalized): F1: 131N, Sample","Abundances (Normalized): F1: 131C, Sample","Abundance: F1: 126, Sample","Abundance: F1: 127N, Sample","Abundance: F1: 127C, Sample","Abundance: F1: 128N, Sample","Abundance: F1: 128C, Sample","Abundance: F1: 129N, Sample","Abundance: F1: 129C, Sample","Abundance: F1: 130N, Sample","Abundance: F1: 130C, Sample","Abundance: F1: 131N, Sample","Abundance: F1: 131C, Sample","Found in Sample: [S1] F1: 126, Sample","Found in Sample: [S4] F1: 127C, Sample","Found in Sample: [S3] F1: 127N, Sample","Found in Sample: [S6] F1: 128C, Sample","Found in Sample: [S5] F1: 128N, Sample","Found in Sample: [S8] F1: 129C, Sample","Found in Sample: [S7] F1: 129N, Sample","Found in Sample: [S10] F1: 130C, Sample","Found in Sample: [S9] F1: 130N, Sample","Found in Sample: [S12] F1: 131C, Sample","Found in Sample: [S11] F1: 131N, Sample",# Protein Groups,Modifications
FALSE,High,Master Protein,P49327,Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3,0,FALSE,1378,61,157,683,156,2511,273.3,6.44,2257.51,157,0,1,279426.6,261179.7,250794.6,234493.6,268533.5,278736,260119.7,275703.9,246223,312234.7,310178.6,139814.2,123928,128132.6,114733.5,107914.8,147868.3,118002.3,133706.7,115166.9,298250.8,310178.6,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q09666,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,0,FALSE,1336.318,68,235,419,234,5890,628.7,6.15,1230.63,235,0,1,157434.4,157884.7,164440.9,161884.3,163863.2,157860.3,153388.5,154819.7,169509.3,214431.8,214418.6,78774,74915.2,84013.9,79207,65851.2,83744.3,69584.1,75082.1,79285.2,204828.2,214418.6,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P08238,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,0,FALSE,1130.687,79,110,1052,69,724,83.2,5.03,3412.1,110,0,55,453405.1,430100.9,443437.2,425224.3,425932.9,455408.5,415867.8,463829,418192,388893.6,380525.1,226866.3,204079.9,226554.9,208054.5,171168.5,241592.4,188656.8,224940.7,195602.6,371476.5,380525.1,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,0,FALSE,1126.873,66,165,367,136,1960,226.4,5.6,1210.47,165,0,30,162156.4,162406.4,159304,155554.3,166198.2,157894.8,161289.4,167941.4,160999.5,177023.6,178425.5,81136.7,77060.7,81389.4,76109.9,66789.6,83762.6,73168.3,81445.7,75304.9,169095.3,178425.5,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,0,FALSE,980.724,76,98,893,66,732,84.6,5.02,2858.69,98,0,0,169702.2,157994.1,162941.3,154040.4,152827.8,164502.9,148701.3,165790.2,150518.9,124547.4,125299,84912.4,74967.1,83247.8,75369.2,61416.5,87268.1,67457.8,80402.4,70402.8,118969.4,125299,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,0,FALSE,899.996,64,153,299,123,1976,228.9,5.54,987.27,153,0,4,94169.4,94106.6,96222.1,91333.3,89617.6,89579.6,90126.8,93257.1,89990.2,106198.2,109488.8,47118.7,44652.9,49160.5,44687.7,36014.4,47521.6,40885.7,45226.4,42091.5,101442,109488.8,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q14204,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5,0,FALSE,896.41,42,177,295,177,4646,532.1,6.4,878.68,177,0,0,110922.2,112472.8,113797.7,108565.9,117405.7,112931.1,113119.4,110931.9,113798.1,154375,152412,55501.1,53367.6,58140,53119.3,47181.5,59909.5,51316.2,53798.1,53227.2,147461.1,152412,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P06733,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2,0,FALSE,885.172,95,64,843,56,434,47.1,7.39,2982.15,64,0,11,372382.4,371441.9,383072.5,406210.3,366885.6,381162.7,422874.5,398328.1,375509.2,213425.4,209261.6,186325.6,176246.6,195714.2,198751.3,147439.3,202205.3,191835.4,193175.1,175638.4,203866.8,209261.6,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P13639,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,0,FALSE,849.192,80,94,625,92,858,95.3,6.83,2041.4,94,0,2,282389.7,285152.5,286959,292162.8,280900.8,286164.6,287154.6,293914.8,284383.3,171233.7,172142.9,141296.8,135302.8,146609.2,142949.9,112884.8,151809.2,130266.6,142538.3,133015.7,163564.7,172142.9,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q7Z6Z7,E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens OX=9606 GN=HUWE1 PE=1 SV=3,0,FALSE,826.51,36,139,266,139,4374,481.6,5.22,857.55,139,0,0,96463,99263,100672.2,94791.5,101509,99381.3,99087.1,103730.4,100478.2,79792,79484.2,48266.3,47099.6,51434.1,46379.8,40793.2,52721.4,44950.5,50305.6,46997,76218.4,79484.2,High,High,High,High,High,High,High,High,High,High,High,1,
